seed,method,n_iter,dataset,value
0,random,0,mnist,0.7428571428571429
0,random,1,mnist,0.8357142857142857
0,random,2,mnist,0.8666666666666667
0,random,3,mnist,0.8821428571428571
0,random,4,mnist,0.8857142857142857
0,random,5,mnist,0.8833333333333333
0,random,6,mnist,0.8734693877551021
0,random,7,mnist,0.8892857142857142
0,random,8,mnist,0.8984126984126984
0,random,9,mnist,0.9
0,margin,0,mnist,0.7428571428571429
0,margin,1,mnist,0.7285714285714285
0,margin,2,mnist,0.7380952380952381
0,margin,3,mnist,0.7607142857142857
0,margin,4,mnist,0.78
0,margin,5,mnist,0.7595238095238095
0,margin,6,mnist,0.7510204081632653
0,margin,7,mnist,0.7857142857142857
0,margin,8,mnist,0.7714285714285715
0,margin,9,mnist,0.7685714285714286
0,confidence,0,mnist,0.7428571428571429
0,confidence,1,mnist,0.75
0,confidence,2,mnist,0.7428571428571429
0,confidence,3,mnist,0.7142857142857143
0,confidence,4,mnist,0.7228571428571429
0,confidence,5,mnist,0.7357142857142858
0,confidence,6,mnist,0.726530612244898
0,confidence,7,mnist,0.7553571428571428
0,confidence,8,mnist,0.7555555555555555
0,confidence,9,mnist,0.7514285714285714
0,entropy,0,mnist,0.7428571428571429
0,entropy,1,mnist,0.7857142857142857
0,entropy,2,mnist,0.7571428571428571
0,entropy,3,mnist,0.7357142857142858
0,entropy,4,mnist,0.7257142857142858
0,entropy,5,mnist,0.7166666666666667
0,entropy,6,mnist,0.6959183673469388
0,entropy,7,mnist,0.7339285714285714
0,entropy,8,mnist,0.7333333333333333
0,entropy,9,mnist,0.7371428571428571
0,kmeans,0,mnist,0.7428571428571429
0,kmeans,1,mnist,0.85
0,kmeans,2,mnist,0.9285714285714286
0,kmeans,3,mnist,0.95
0,kmeans,4,mnist,0.9571428571428572
0,kmeans,5,mnist,0.9619047619047619
0,kmeans,6,mnist,0.9551020408163265
0,kmeans,7,mnist,0.9678571428571429
0,kmeans,8,mnist,0.9714285714285714
0,kmeans,9,mnist,0.97
0,wkmeans,0,mnist,0.7428571428571429
0,wkmeans,1,mnist,0.7285714285714285
0,wkmeans,2,mnist,0.7666666666666667
0,wkmeans,3,mnist,0.7428571428571429
0,wkmeans,4,mnist,0.7628571428571429
0,wkmeans,5,mnist,0.7833333333333333
0,wkmeans,6,mnist,0.789795918367347
0,wkmeans,7,mnist,0.7839285714285714
0,wkmeans,8,mnist,0.8031746031746032
0,wkmeans,9,mnist,0.81
1,random,0,mnist,0.7285714285714285
1,random,1,mnist,0.7857142857142857
1,random,2,mnist,0.8666666666666667
1,random,3,mnist,0.8642857142857143
1,random,4,mnist,0.8942857142857142
1,random,5,mnist,0.9023809523809524
1,random,6,mnist,0.9040816326530612
1,random,7,mnist,0.9017857142857143
1,random,8,mnist,0.9095238095238095
1,random,9,mnist,0.9071428571428571
1,margin,0,mnist,0.7285714285714285
1,margin,1,mnist,0.75
1,margin,2,mnist,0.7476190476190476
1,margin,3,mnist,0.7535714285714286
1,margin,4,mnist,0.7514285714285714
1,margin,5,mnist,0.7404761904761905
1,margin,6,mnist,0.773469387755102
1,margin,7,mnist,0.7892857142857143
1,margin,8,mnist,0.7857142857142857
1,margin,9,mnist,0.7728571428571429
1,confidence,0,mnist,0.7285714285714285
1,confidence,1,mnist,0.7071428571428572
1,confidence,2,mnist,0.7095238095238096
1,confidence,3,mnist,0.6892857142857143
1,confidence,4,mnist,0.7028571428571428
1,confidence,5,mnist,0.6904761904761905
1,confidence,6,mnist,0.710204081632653
1,confidence,7,mnist,0.7375
1,confidence,8,mnist,0.7476190476190476
1,confidence,9,mnist,0.7485714285714286
1,entropy,0,mnist,0.7285714285714285
1,entropy,1,mnist,0.7714285714285715
1,entropy,2,mnist,0.7047619047619048
