seed,method,n_iter,dataset,value
0,random,0,1590,0.8958333333333334
0,random,1,1590,0.8958333333333334
0,random,2,1590,0.8888888888888888
0,random,3,1590,0.9114583333333334
0,random,4,1590,0.9041666666666667
0,random,5,1590,0.8819444444444444
0,random,6,1590,0.9017857142857143
0,random,7,1590,0.875
0,random,8,1590,0.8796296296296297
0,random,9,1590,0.8875
0,margin,0,1590,0.8958333333333334
0,margin,1,1590,0.9375
0,margin,2,1590,0.9027777777777778
0,margin,3,1590,0.8489583333333334
0,margin,4,1590,0.8541666666666666
0,margin,5,1590,0.7916666666666666
0,margin,6,1590,0.8005952380952381
0,margin,7,1590,0.7708333333333334
0,margin,8,1590,0.7800925925925926
0,margin,9,1590,0.75625
0,confidence,0,1590,0.8958333333333334
0,confidence,1,1590,0.9375
0,confidence,2,1590,0.9027777777777778
0,confidence,3,1590,0.8489583333333334
0,confidence,4,1590,0.8541666666666666
0,confidence,5,1590,0.7916666666666666
0,confidence,6,1590,0.8005952380952381
0,confidence,7,1590,0.7708333333333334
0,confidence,8,1590,0.7800925925925926
0,confidence,9,1590,0.75625
0,entropy,0,1590,0.8958333333333334
0,entropy,1,1590,0.9375
0,entropy,2,1590,0.9027777777777778
0,entropy,3,1590,0.8489583333333334
0,entropy,4,1590,0.8541666666666666
0,entropy,5,1590,0.7916666666666666
0,entropy,6,1590,0.8005952380952381
0,entropy,7,1590,0.7708333333333334
0,entropy,8,1590,0.7800925925925926
0,entropy,9,1590,0.75625
0,kmeans,0,1590,0.8958333333333334
0,kmeans,1,1590,0.90625
0,kmeans,2,1590,0.9097222222222222
0,kmeans,3,1590,0.9427083333333334
0,kmeans,4,1590,0.9458333333333333
0,kmeans,5,1590,0.9340277777777778
0,kmeans,6,1590,0.9255952380952381
0,kmeans,7,1590,0.9401041666666666
0,kmeans,8,1590,0.9120370370370371
0,kmeans,9,1590,0.9083333333333333
0,wkmeans,0,1590,0.8958333333333334
0,wkmeans,1,1590,0.8333333333333334
0,wkmeans,2,1590,0.8472222222222222
0,wkmeans,3,1590,0.8697916666666666
0,wkmeans,4,1590,0.8791666666666667
0,wkmeans,5,1590,0.8680555555555556
0,wkmeans,6,1590,0.8095238095238095
0,wkmeans,7,1590,0.7760416666666666
0,wkmeans,8,1590,0.7708333333333334
0,wkmeans,9,1590,0.7541666666666667
1,random,0,1590,0.8333333333333334
1,random,1,1590,0.8645833333333334
1,random,2,1590,0.8819444444444444
1,random,3,1590,0.8854166666666666
1,random,4,1590,0.9041666666666667
1,random,5,1590,0.8784722222222222
1,random,6,1590,0.8869047619047619
1,random,7,1590,0.8932291666666666
1,random,8,1590,0.8819444444444444
1,random,9,1590,0.8770833333333333
1,margin,0,1590,0.8333333333333334
1,margin,1,1590,0.9270833333333334
1,margin,2,1590,0.7916666666666666
1,margin,3,1590,0.828125
1,margin,4,1590,0.8541666666666666
1,margin,5,1590,0.8402777777777778
1,margin,6,1590,0.7976190476190477
1,margin,7,1590,0.7864583333333334
1,margin,8,1590,0.7962962962962963
1,margin,9,1590,0.7958333333333333
1,confidence,0,1590,0.8333333333333334
1,confidence,1,1590,0.9270833333333334
1,confidence,2,1590,0.7916666666666666
1,confidence,3,1590,0.828125
1,confidence,4,1590,0.8541666666666666
1,confidence,5,1590,0.8402777777777778
1,confidence,6,1590,0.7976190476190477
1,confidence,7,1590,0.7864583333333334
1,confidence,8,1590,0.7962962962962963
1,confidence,9,1590,0.7958333333333333
1,entropy,0,1590,0.8333333333333334
1,entropy,1,1590,0.9270833333333334
1,entropy,2,1590,0.7916666666666666
1,entropy,3,1590,0.828125
1,entropy,4,1590,0.8541666666666666
1,entropy,5,1590,0.8402777777777778
1,entropy,6,1590,0.7976190476190477
1,entropy,7,1590,0.7864583333333334
1,entropy,8,1590,0.7962962962962963
1,entropy,9,1590,0.7958333333333333
1,kmeans,0,1590,0.8333333333333334
1,kmeans,1,1590,0.8645833333333334
1,kmeans,2,1590,0.9027777777777778
1,kmeans,3,1590,0.9114583333333334
1,kmeans,4,1590,0.9083333333333333
1,kmeans,5,1590,0.8854166666666666
1,kmeans,6,1590,0.8898809523809523
1,kmeans,7,1590,0.8802083333333334
1,kmeans,8,1590,0.8796296296296297
1,kmeans,9,1590,0.8729166666666667
1,wkmeans,0,1590,0.8333333333333334
1,wkmeans,1,1590,0.8125
1,wkmeans,2,1590,0.8125
1,wkmeans,3,1590,0.8333333333333334
1,wkmeans,4,1590,0.8041666666666667
1,wkmeans,5,1590,0.7916666666666666
1,wkmeans,6,1590,0.8005952380952381
1,wkmeans,7,1590,0.8046875
1,wkmeans,8,1590,0.7870370370370371
1,wkmeans,9,1590,0.7625
2,random,0,1590,0.8958333333333334
2,random,1,1590,0.9270833333333334
2,random,2,1590,0.9444444444444444
2,random,3,1590,0.9166666666666666
2,random,4,1590,0.9041666666666667
2,random,5,1590,0.8888888888888888
2,random,6,1590,0.8988095238095238
2,random,7,1590,0.8645833333333334
2,random,8,1590,0.8634259259259259
2,random,9,1590,0.8708333333333333
2,margin,0,1590,0.8958333333333334
2,margin,1,1590,0.8854166666666666
2,margin,2,1590,0.9097222222222222
2,margin,3,1590,0.859375
2,margin,4,1590,0.85
2,margin,5,1590,0.8472222222222222
2,margin,6,1590,0.8482142857142857
2,margin,7,1590,0.8463541666666666
2,margin,8,1590,0.8402777777777778
2,margin,9,1590,0.8270833333333333
2,confidence,0,1590,0.8958333333333334
2,confidence,1,1590,0.8854166666666666
2,confidence,2,1590,0.9097222222222222
2,confidence,3,1590,0.859375
2,confidence,4,1590,0.85
2,confidence,5,1590,0.8472222222222222
2,confidence,6,1590,0.8482142857142857
2,confidence,7,1590,0.8463541666666666
2,confidence,8,1590,0.8402777777777778
2,confidence,9,1590,0.8270833333333333
2,entropy,0,1590,0.8958333333333334
2,entropy,1,1590,0.8854166666666666
2,entropy,2,1590,0.9097222222222222
2,entropy,3,1590,0.859375
2,entropy,4,1590,0.85
2,entropy,5,1590,0.8472222222222222
2,entropy,6,1590,0.8482142857142857
2,entropy,7,1590,0.8463541666666666
2,entropy,8,1590,0.8402777777777778
2,entropy,9,1590,0.8270833333333333
2,kmeans,0,1590,0.8958333333333334
2,kmeans,1,1590,0.9166666666666666
2,kmeans,2,1590,0.9236111111111112
2,kmeans,3,1590,0.9583333333333334
2,kmeans,4,1590,0.95
2,kmeans,5,1590,0.9305555555555556
2,kmeans,6,1590,0.9553571428571429
2,kmeans,7,1590,0.9505208333333334
2,kmeans,8,1590,0.9305555555555556
2,kmeans,9,1590,0.9354166666666667
2,wkmeans,0,1590,0.8958333333333334
2,wkmeans,1,1590,0.9270833333333334
2,wkmeans,2,1590,0.8958333333333334
2,wkmeans,3,1590,0.8697916666666666
2,wkmeans,4,1590,0.8458333333333333
2,wkmeans,5,1590,0.8159722222222222
2,wkmeans,6,1590,0.7886904761904762
2,wkmeans,7,1590,0.7395833333333334
2,wkmeans,8,1590,0.7430555555555556
2,wkmeans,9,1590,0.75625
3,random,0,1590,0.8958333333333334
3,random,1,1590,0.875
3,random,2,1590,0.8819444444444444
3,random,3,1590,0.9114583333333334
3,random,4,1590,0.9083333333333333
3,random,5,1590,0.9305555555555556
3,random,6,1590,0.8898809523809523
3,random,7,1590,0.8671875
3,random,8,1590,0.8935185185185185
3,random,9,1590,0.89375
3,margin,0,1590,0.8958333333333334
3,margin,1,1590,0.90625
3,margin,2,1590,0.8333333333333334
3,margin,3,1590,0.8333333333333334
3,margin,4,1590,0.7916666666666666
3,margin,5,1590,0.84375
3,margin,6,1590,0.8452380952380952
3,margin,7,1590,0.8463541666666666
3,margin,8,1590,0.8310185185185185
3,margin,9,1590,0.8104166666666667
3,confidence,0,1590,0.8958333333333334
3,confidence,1,1590,0.90625
3,confidence,2,1590,0.8333333333333334
3,confidence,3,1590,0.8333333333333334
3,confidence,4,1590,0.7916666666666666
3,confidence,5,1590,0.84375
3,confidence,6,1590,0.8452380952380952
3,confidence,7,1590,0.8463541666666666
