seed,method,n_iter,dataset,value
0,random,0,42395,1.9153451202267393
0,random,1,42395,0.5827627351253276
0,random,2,42395,0.3337724606338667
0,random,3,42395,0.21406591501137287
0,random,4,42395,0.16237776756595457
0,random,5,42395,0.14089461642936313
0,random,6,42395,0.08745167968826009
0,random,7,42395,0.09489509710560395
0,random,8,42395,0.0722214666099312
0,random,9,42395,0.05625652360623613
0,margin,0,42395,2.1181008436594673
0,margin,1,42395,0.566020408755525
0,margin,2,42395,0.3647544140734879
0,margin,3,42395,0.24469574179646686
0,margin,4,42395,0.1394771128747928
0,margin,5,42395,0.11850431776374999
0,margin,6,42395,0.10190855316417
0,margin,7,42395,0.08375445577388829
0,margin,8,42395,0.06928322211354863
0,margin,9,42395,0.05070078325708868
0,confidence,0,42395,2.1181008436594673
0,confidence,1,42395,0.566020408755525
0,confidence,2,42395,0.3647544140734879
0,confidence,3,42395,0.24469574179646686
0,confidence,4,42395,0.1394771128747928
0,confidence,5,42395,0.11850431776374999
0,confidence,6,42395,0.10190855316417
0,confidence,7,42395,0.08375445577388829
0,confidence,8,42395,0.06928322211354863
0,confidence,9,42395,0.05070078325708868
0,entropy,0,42395,2.1181008436594673
0,entropy,1,42395,0.566020408755525
0,entropy,2,42395,0.3647544140734879
0,entropy,3,42395,0.24469574179646686
0,entropy,4,42395,0.1394771128747928
0,entropy,5,42395,0.11850431776374999
0,entropy,6,42395,0.10190855316417
0,entropy,7,42395,0.08375445577388829
0,entropy,8,42395,0.06928322211354863
0,entropy,9,42395,0.05070078325708868
0,kmeans,0,42395,1.4819333328632633
0,kmeans,1,42395,0.5920831814070174
0,kmeans,2,42395,0.3314004702867196
0,kmeans,3,42395,0.18034685413180876
0,kmeans,4,42395,0.1589912003073519
0,kmeans,5,42395,0.1255328946031876
0,kmeans,6,42395,0.10654545502649759
0,kmeans,7,42395,0.07521654734871835
0,kmeans,8,42395,0.0659119480148463
0,kmeans,9,42395,0.05062779923429775
0,wkmeans,0,42395,1.735820700615826
0,wkmeans,1,42395,0.5864105131689115
0,wkmeans,2,42395,0.387621950455695
0,wkmeans,3,42395,0.19976085054869197
0,wkmeans,4,42395,0.1293709409103831
0,wkmeans,5,42395,0.11329922284524493
0,wkmeans,6,42395,0.10146606680592696
0,wkmeans,7,42395,0.11015486205975944
0,wkmeans,8,42395,0.07207979555800131
0,wkmeans,9,42395,0.07093930764822104
1,random,0,42395,1.9980224051193705
1,random,1,42395,0.4702157363458004
1,random,2,42395,0.3285069685024512
1,random,3,42395,0.22025071100715063
1,random,4,42395,0.16123134094616193
1,random,5,42395,0.11587642972742516
