seed,method,n_iter,dataset,value
0,random,1,42395,0.23086252434592117
0,random,2,42395,0.12425633455243498
0,random,3,42395,0.0758511966501122
0,random,4,42395,0.0552058950684167
0,random,5,42395,0.03578051938671581
0,random,6,42395,0.03143515402670799
0,random,7,42395,0.023100955549072984
0,random,8,42395,0.02604075729074475
0,random,9,42395,0.02202518828228242
0,margin,1,42395,0.11300490331894304
0,margin,2,42395,0.07298609640640671
0,margin,3,42395,0.03601772816608956
0,margin,4,42395,0.04291379534718579
0,margin,5,42395,0.04448583662299699
0,margin,6,42395,0.021242330306378236
0,margin,7,42395,0.026122442774787112
0,margin,8,42395,0.014088442379126459
0,margin,9,42395,0.013848894732619504
0,confidence,1,42395,0.11300490331894304
0,confidence,2,42395,0.07298609640640671
0,confidence,3,42395,0.03601772816608956
0,confidence,4,42395,0.04291379534718579
0,confidence,5,42395,0.04448583662299699
0,confidence,6,42395,0.021242330306378236
0,confidence,7,42395,0.026122442774787112
0,confidence,8,42395,0.014088442379126459
0,confidence,9,42395,0.013848894732619504
0,entropy,1,42395,0.11300490331894304
0,entropy,2,42395,0.07298609640640671
0,entropy,3,42395,0.03601772816608956
0,entropy,4,42395,0.04291379534718579
0,entropy,5,42395,0.04448583662299699
0,entropy,6,42395,0.021242330306378236
0,entropy,7,42395,0.026122442774787112
0,entropy,8,42395,0.014088442379126459
0,entropy,9,42395,0.013848894732619504
0,kmeans,1,42395,0.8413586545059374
0,kmeans,2,42395,0.09823706853098074
0,kmeans,3,42395,0.06037166490749585
0,kmeans,4,42395,0.036761101949375305
0,kmeans,5,42395,0.03257937247640935
0,kmeans,6,42395,0.02333627937092744
0,kmeans,7,42395,0.019938543503074037
0,kmeans,8,42395,0.020252218156303518
0,kmeans,9,42395,0.014541683790973706
0,wkmeans,1,42395,0.29571638196836403
0,wkmeans,2,42395,0.11376312375714888
0,wkmeans,3,42395,0.056088123946807886
0,wkmeans,4,42395,0.04286788813760147
0,wkmeans,5,42395,0.0364408755528184
0,wkmeans,6,42395,0.024446644834011252
0,wkmeans,7,42395,0.021578063416079707
0,wkmeans,8,42395,0.019265804722219507
0,wkmeans,9,42395,0.01867731012790186
1,random,1,42395,0.19883359363484251
1,random,2,42395,0.11835968137098171
1,random,3,42395,0.07020170647043333
1,random,4,42395,0.07132448270096457
1,random,5,42395,0.0428981786422304
1,random,6,42395,0.02941021838175621
1,random,7,42395,0.034004703179562
1,random,8,42395,0.027533119427750198
