seed,method,n_iter,dataset,value
0,random,1,43439,0.10909090909090909
0,random,2,43439,0.09090909090909091
0,random,3,43439,0.08181818181818182
0,random,4,43439,0.06
0,random,5,43439,0.06212121212121212
0,random,6,43439,0.06623376623376623
0,random,7,43439,0.05454545454545454
0,random,8,43439,0.06363636363636363
0,random,9,43439,0.042727272727272725
0,margin,1,43439,0.16818181818181818
0,margin,2,43439,0.20606060606060606
0,margin,3,43439,0.13863636363636364
0,margin,4,43439,0.08727272727272728
0,margin,5,43439,0.10303030303030303
0,margin,6,43439,0.10649350649350649
0,margin,7,43439,0.08977272727272727
0,margin,8,43439,0.09090909090909091
0,margin,9,43439,0.09818181818181818
0,confidence,1,43439,0.16818181818181818
0,confidence,2,43439,0.20606060606060606
0,confidence,3,43439,0.13863636363636364
0,confidence,4,43439,0.08727272727272728
0,confidence,5,43439,0.10303030303030303
0,confidence,6,43439,0.10649350649350649
0,confidence,7,43439,0.08977272727272727
0,confidence,8,43439,0.09090909090909091
0,confidence,9,43439,0.09818181818181818
0,entropy,1,43439,0.16818181818181818
0,entropy,2,43439,0.20606060606060606
0,entropy,3,43439,0.13863636363636364
0,entropy,4,43439,0.08727272727272728
0,entropy,5,43439,0.10303030303030303
0,entropy,6,43439,0.10649350649350649
0,entropy,7,43439,0.08977272727272727
0,entropy,8,43439,0.09090909090909091
0,entropy,9,43439,0.09818181818181818
0,kmeans,1,43439,0.09545454545454546
0,kmeans,2,43439,0.07878787878787878
0,kmeans,3,43439,0.06363636363636363
0,kmeans,4,43439,0.06545454545454546
0,kmeans,5,43439,0.04393939393939394
0,kmeans,6,43439,0.048051948051948054
0,kmeans,7,43439,0.05
0,kmeans,8,43439,0.02727272727272727
0,kmeans,9,43439,0.028181818181818183
0,wkmeans,1,43439,0.2818181818181818
0,wkmeans,2,43439,0.22727272727272727
0,wkmeans,3,43439,0.1
0,wkmeans,4,43439,0.14727272727272728
0,wkmeans,5,43439,0.08484848484848485
0,wkmeans,6,43439,0.11298701298701298
0,wkmeans,7,43439,0.09318181818181819
0,wkmeans,8,43439,0.09595959595959595
0,wkmeans,9,43439,0.08272727272727273
1,random,1,43439,0.1409090909090909
1,random,2,43439,0.10303030303030303
1,random,3,43439,0.09772727272727273
1,random,4,43439,0.05818181818181818
1,random,5,43439,0.07424242424242425
1,random,6,43439,0.06753246753246753
1,random,7,43439,0.04659090909090909
1,random,8,43439,0.049494949494949494
1,random,9,43439,0.06363636363636363
1,margin,1,43439,0.4318181818181818
1,margin,2,43439,0.2
1,margin,3,43439,0.15227272727272728
1,margin,4,43439,0.17272727272727273
1,margin,5,43439,0.1803030303030303
1,margin,6,43439,0.1012987012987013
1,margin,7,43439,0.10795454545454546
1,margin,8,43439,0.06262626262626263
1,margin,9,43439,0.1009090909090909
1,confidence,1,43439,0.4318181818181818
1,confidence,2,43439,0.2
1,confidence,3,43439,0.15227272727272728
1,confidence,4,43439,0.17272727272727273
1,confidence,5,43439,0.1803030303030303
1,confidence,6,43439,0.1012987012987013
1,confidence,7,43439,0.10795454545454546
1,confidence,8,43439,0.06262626262626263
1,confidence,9,43439,0.1009090909090909
1,entropy,1,43439,0.4318181818181818
1,entropy,2,43439,0.2
1,entropy,3,43439,0.15227272727272728
1,entropy,4,43439,0.17272727272727273
1,entropy,5,43439,0.1803030303030303
1,entropy,6,43439,0.1012987012987013
1,entropy,7,43439,0.10795454545454546
1,entropy,8,43439,0.06262626262626263
1,entropy,9,43439,0.1009090909090909
1,kmeans,1,43439,0.10909090909090909
1,kmeans,2,43439,0.09393939393939393
1,kmeans,3,43439,0.08636363636363636
1,kmeans,4,43439,0.07454545454545454
1,kmeans,5,43439,0.06666666666666667
1,kmeans,6,43439,0.06363636363636363
1,kmeans,7,43439,0.07272727272727272
1,kmeans,8,43439,0.04040404040404041
1,kmeans,9,43439,0.038181818181818185
1,wkmeans,1,43439,0.2909090909090909
1,wkmeans,2,43439,0.24242424242424243
1,wkmeans,3,43439,0.12954545454545455
1,wkmeans,4,43439,0.13818181818181818
1,wkmeans,5,43439,0.09242424242424242
1,wkmeans,6,43439,0.11688311688311688
1,wkmeans,7,43439,0.10681818181818181
1,wkmeans,8,43439,0.08484848484848485
1,wkmeans,9,43439,0.08545454545454545
2,random,1,43439,0.15
2,random,2,43439,0.09393939393939393
2,random,3,43439,0.06363636363636363
2,random,4,43439,0.05272727272727273
2,random,5,43439,0.051515151515151514
2,random,6,43439,0.04935064935064935
2,random,7,43439,0.048863636363636366
2,random,8,43439,0.046464646464646465
2,random,9,43439,0.05454545454545454
2,margin,1,43439,0.20454545454545456
2,margin,2,43439,0.07272727272727272
2,margin,3,43439,0.12954545454545455
2,margin,4,43439,0.1509090909090909
2,margin,5,43439,0.09242424242424242
2,margin,6,43439,0.14155844155844155
2,margin,7,43439,0.11477272727272728
2,margin,8,43439,0.1101010101010101
2,margin,9,43439,0.1009090909090909
2,confidence,1,43439,0.20454545454545456
2,confidence,2,43439,0.07272727272727272
2,confidence,3,43439,0.12954545454545455
2,confidence,4,43439,0.1509090909090909
2,confidence,5,43439,0.09242424242424242
2,confidence,6,43439,0.14155844155844155
2,confidence,7,43439,0.11477272727272728
2,confidence,8,43439,0.1101010101010101
2,confidence,9,43439,0.1009090909090909
2,entropy,1,43439,0.20454545454545456
2,entropy,2,43439,0.07272727272727272
2,entropy,3,43439,0.12954545454545455
2,entropy,4,43439,0.1509090909090909
2,entropy,5,43439,0.09242424242424242
2,entropy,6,43439,0.14155844155844155
2,entropy,7,43439,0.11477272727272728
2,entropy,8,43439,0.1101010101010101
2,entropy,9,43439,0.1009090909090909
2,kmeans,1,43439,0.08181818181818182
2,kmeans,2,43439,0.06666666666666667
2,kmeans,3,43439,0.07727272727272727
2,kmeans,4,43439,0.04727272727272727
2,kmeans,5,43439,0.04393939393939394
2,kmeans,6,43439,0.04025974025974026
2,kmeans,7,43439,0.04318181818181818
2,kmeans,8,43439,0.052525252525252523
2,kmeans,9,43439,0.046363636363636364
2,wkmeans,1,43439,0.3
2,wkmeans,2,43439,0.23636363636363636
2,wkmeans,3,43439,0.20454545454545456
2,wkmeans,4,43439,0.15272727272727274
2,wkmeans,5,43439,0.11818181818181818
2,wkmeans,6,43439,0.1025974025974026
2,wkmeans,7,43439,0.1
2,wkmeans,8,43439,0.09393939393939393
2,wkmeans,9,43439,0.09272727272727273
3,random,1,43439,0.1590909090909091
3,random,2,43439,0.11212121212121212
3,random,3,43439,0.07272727272727272
3,random,4,43439,0.06727272727272728
3,random,5,43439,0.06212121212121212
3,random,6,43439,0.04935064935064935
3,random,7,43439,0.04318181818181818
3,random,8,43439,0.047474747474747475
3,random,9,43439,0.045454545454545456
3,margin,1,43439,0.4954545454545455
3,margin,2,43439,0.1696969696969697
3,margin,3,43439,0.08409090909090909
3,margin,4,43439,0.06
3,margin,5,43439,0.1606060606060606
3,margin,6,43439,0.13506493506493505
3,margin,7,43439,0.10909090909090909
3,margin,8,43439,0.10101010101010101
3,margin,9,43439,0.10636363636363637
3,confidence,1,43439,0.4954545454545455
3,confidence,2,43439,0.1696969696969697
3,confidence,3,43439,0.08409090909090909
3,confidence,4,43439,0.06
3,confidence,5,43439,0.1606060606060606
3,confidence,6,43439,0.13506493506493505
3,confidence,7,43439,0.10909090909090909
3,confidence,8,43439,0.10101010101010101
3,confidence,9,43439,0.10636363636363637
3,entropy,1,43439,0.4954545454545455
3,entropy,2,43439,0.1696969696969697
3,entropy,3,43439,0.08409090909090909
3,entropy,4,43439,0.06
3,entropy,5,43439,0.1606060606060606
3,entropy,6,43439,0.13506493506493505
3,entropy,7,43439,0.10909090909090909
3,entropy,8,43439,0.10101010101010101
3,entropy,9,43439,0.10636363636363637
3,kmeans,1,43439,0.12272727272727273
3,kmeans,2,43439,0.10303030303030303
3,kmeans,3,43439,0.05454545454545454
3,kmeans,4,43439,0.07454545454545454
3,kmeans,5,43439,0.05454545454545454
3,kmeans,6,43439,0.07142857142857142
3,kmeans,7,43439,0.05795454545454545
3,kmeans,8,43439,0.03737373737373737
3,kmeans,9,43439,0.05181818181818182
3,wkmeans,1,43439,0.4818181818181818
3,wkmeans,2,43439,0.2
3,wkmeans,3,43439,0.15454545454545454
3,wkmeans,4,43439,0.12727272727272726
3,wkmeans,5,43439,0.10757575757575757
3,wkmeans,6,43439,0.12207792207792208
3,wkmeans,7,43439,0.10909090909090909
3,wkmeans,8,43439,0.08787878787878788
3,wkmeans,9,43439,0.09272727272727273
4,random,1,43439,0.10909090909090909
4,random,2,43439,0.09090909090909091
4,random,3,43439,0.06363636363636363
4,random,4,43439,0.07636363636363637
4,random,5,43439,0.06212121212121212
4,random,6,43439,0.05844155844155844
4,random,7,43439,0.05227272727272727
4,random,8,43439,0.06262626262626263
4,random,9,43439,0.05909090909090909
4,margin,1,43439,0.35
4,margin,2,43439,0.13333333333333333
4,margin,3,43439,0.1409090909090909
4,margin,4,43439,0.13636363636363635
4,margin,5,43439,0.16363636363636364
4,margin,6,43439,0.11948051948051948
4,margin,7,43439,0.10227272727272728
4,margin,8,43439,0.10404040404040404
4,margin,9,43439,0.10818181818181818
4,confidence,1,43439,0.35
4,confidence,2,43439,0.13333333333333333
4,confidence,3,43439,0.1409090909090909
4,confidence,4,43439,0.13636363636363635
4,confidence,5,43439,0.16363636363636364
4,confidence,6,43439,0.11948051948051948
4,confidence,7,43439,0.10227272727272728
4,confidence,8,43439,0.10404040404040404
4,confidence,9,43439,0.10818181818181818
4,entropy,1,43439,0.35
4,entropy,2,43439,0.13333333333333333
4,entropy,3,43439,0.1409090909090909
4,entropy,4,43439,0.13636363636363635
4,entropy,5,43439,0.16363636363636364
4,entropy,6,43439,0.11948051948051948
4,entropy,7,43439,0.10227272727272728
4,entropy,8,43439,0.10404040404040404
4,entropy,9,43439,0.10818181818181818
4,kmeans,1,43439,0.1318181818181818
4,kmeans,2,43439,0.10606060606060606
4,kmeans,3,43439,0.09318181818181819
4,kmeans,4,43439,0.06909090909090909
4,kmeans,5,43439,0.051515151515151514
4,kmeans,6,43439,0.06753246753246753
4,kmeans,7,43439,0.05227272727272727
4,kmeans,8,43439,0.043434343434343436
4,kmeans,9,43439,0.02909090909090909
4,wkmeans,1,43439,0.33636363636363636
4,wkmeans,2,43439,0.21515151515151515
4,wkmeans,3,43439,0.16363636363636364
4,wkmeans,4,43439,0.15454545454545454
4,wkmeans,5,43439,0.18484848484848485
4,wkmeans,6,43439,0.13636363636363635
4,wkmeans,7,43439,0.13295454545454546
4,wkmeans,8,43439,0.12727272727272726
4,wkmeans,9,43439,0.09545454545454546
5,random,1,43439,0.1409090909090909
5,random,2,43439,0.08787878787878788
5,random,3,43439,0.0659090909090909
5,random,4,43439,0.06
5,random,5,43439,0.07424242424242425
5,random,6,43439,0.05714285714285714
5,random,7,43439,0.03409090909090909
5,random,8,43439,0.03535353535353535
5,random,9,43439,0.03909090909090909
5,margin,1,43439,0.15454545454545454
5,margin,2,43439,0.23333333333333334
5,margin,3,43439,0.20681818181818182
5,margin,4,43439,0.13636363636363635
5,margin,5,43439,0.15151515151515152
5,margin,6,43439,0.14025974025974025
5,margin,7,43439,0.0875
5,margin,8,43439,0.11616161616161616
5,margin,9,43439,0.11727272727272728
5,confidence,1,43439,0.15454545454545454
5,confidence,2,43439,0.23333333333333334
5,confidence,3,43439,0.20681818181818182
5,confidence,4,43439,0.13636363636363635
5,confidence,5,43439,0.15151515151515152
5,confidence,6,43439,0.14025974025974025
5,confidence,7,43439,0.0875
5,confidence,8,43439,0.11616161616161616
5,confidence,9,43439,0.11727272727272728
5,entropy,1,43439,0.15454545454545454
5,entropy,2,43439,0.23333333333333334
5,entropy,3,43439,0.20681818181818182
5,entropy,4,43439,0.13636363636363635
5,entropy,5,43439,0.15151515151515152
5,entropy,6,43439,0.14025974025974025
5,entropy,7,43439,0.0875
5,entropy,8,43439,0.11616161616161616
5,entropy,9,43439,0.11727272727272728
5,kmeans,1,43439,0.15454545454545454
5,kmeans,2,43439,0.07878787878787878
5,kmeans,3,43439,0.056818181818181816
5,kmeans,4,43439,0.04727272727272727
5,kmeans,5,43439,0.08181818181818182
5,kmeans,6,43439,0.06103896103896104
5,kmeans,7,43439,0.05568181818181818
5,kmeans,8,43439,0.04141414141414142
5,kmeans,9,43439,0.04727272727272727
5,wkmeans,1,43439,0.1318181818181818
5,wkmeans,2,43439,0.24242424242424243
5,wkmeans,3,43439,0.16818181818181818
5,wkmeans,4,43439,0.1618181818181818
5,wkmeans,5,43439,0.17272727272727273
5,wkmeans,6,43439,0.11558441558441558
5,wkmeans,7,43439,0.12840909090909092
5,wkmeans,8,43439,0.10909090909090909
5,wkmeans,9,43439,0.10636363636363637
6,random,1,43439,0.11818181818181818
6,random,2,43439,0.10909090909090909
6,random,3,43439,0.09090909090909091
6,random,4,43439,0.07090909090909091
6,random,5,43439,0.048484848484848485
6,random,6,43439,0.08051948051948052
6,random,7,43439,0.0659090909090909
6,random,8,43439,0.052525252525252523
6,random,9,43439,0.05909090909090909
6,margin,1,43439,0.11818181818181818
6,margin,2,43439,0.18484848484848485
6,margin,3,43439,0.18636363636363637
6,margin,4,43439,0.08
6,margin,5,43439,0.13333333333333333
6,margin,6,43439,0.15064935064935064
6,margin,7,43439,0.12386363636363637
6,margin,8,43439,0.09595959595959595
6,margin,9,43439,0.13636363636363635
6,confidence,1,43439,0.11818181818181818
6,confidence,2,43439,0.18484848484848485
6,confidence,3,43439,0.18636363636363637
6,confidence,4,43439,0.08
6,confidence,5,43439,0.13333333333333333
6,confidence,6,43439,0.15064935064935064
6,confidence,7,43439,0.12386363636363637
6,confidence,8,43439,0.09595959595959595
6,confidence,9,43439,0.13636363636363635
6,entropy,1,43439,0.11818181818181818
6,entropy,2,43439,0.18484848484848485
6,entropy,3,43439,0.18636363636363637
6,entropy,4,43439,0.08
6,entropy,5,43439,0.13333333333333333
6,entropy,6,43439,0.15064935064935064
6,entropy,7,43439,0.12386363636363637
6,entropy,8,43439,0.09595959595959595
6,entropy,9,43439,0.13636363636363635
6,kmeans,1,43439,0.10454545454545454
6,kmeans,2,43439,0.11212121212121212
6,kmeans,3,43439,0.0659090909090909
6,kmeans,4,43439,0.07272727272727272
6,kmeans,5,43439,0.05303030303030303
6,kmeans,6,43439,0.046753246753246755
6,kmeans,7,43439,0.042045454545454546
6,kmeans,8,43439,0.047474747474747475
6,kmeans,9,43439,0.04909090909090909
6,wkmeans,1,43439,0.18636363636363637
6,wkmeans,2,43439,0.19393939393939394
6,wkmeans,3,43439,0.17727272727272728
6,wkmeans,4,43439,0.1618181818181818
6,wkmeans,5,43439,0.10606060606060606
6,wkmeans,6,43439,0.12857142857142856
6,wkmeans,7,43439,0.10227272727272728
6,wkmeans,8,43439,0.11616161616161616
6,wkmeans,9,43439,0.11545454545454545
7,random,1,43439,0.14545454545454545
7,random,2,43439,0.11515151515151516
7,random,3,43439,0.06136363636363636
7,random,4,43439,0.05454545454545454
7,random,5,43439,0.05303030303030303
7,random,6,43439,0.03506493506493506
7,random,7,43439,0.05227272727272727
7,random,8,43439,0.046464646464646465
7,random,9,43439,0.04090909090909091
7,margin,1,43439,0.2545454545454545
7,margin,2,43439,0.1787878787878788
7,margin,3,43439,0.17272727272727273
7,margin,4,43439,0.14181818181818182
7,margin,5,43439,0.05606060606060606
7,margin,6,43439,0.14285714285714285
7,margin,7,43439,0.07840909090909091
7,margin,8,43439,0.08383838383838384
7,margin,9,43439,0.10727272727272727
7,confidence,1,43439,0.2545454545454545
7,confidence,2,43439,0.1787878787878788
7,confidence,3,43439,0.17272727272727273
7,confidence,4,43439,0.14181818181818182
7,confidence,5,43439,0.05606060606060606
7,confidence,6,43439,0.14285714285714285
7,confidence,7,43439,0.07840909090909091
