seed,method,n_iter,dataset,value
0,random,0,1461,0.6454478982517542
0,random,1,1461,1.4838203805604375
0,random,2,1461,2.176742653531517
0,random,3,1461,3.082736327853832
0,random,4,1461,3.672592646145161
0,random,5,1461,4.655491366577215
0,random,6,1461,5.651837235906457
0,random,7,1461,6.100107650276147
0,random,8,1461,6.741613250042744
0,random,9,1461,7.466101385755052
1,random,0,1461,0.7864876759258153
1,random,1,1461,1.594111994068458
1,random,2,1461,2.427942475381761
1,random,3,1461,3.3934731230610375
1,random,4,1461,3.8560210936767754
1,random,5,1461,4.34627056415633
1,random,6,1461,5.392322411255182
1,random,7,1461,7.228503947751234
1,random,8,1461,8.528289567910086
1,random,9,1461,9.611049592969188
2,random,0,1461,0.6948427470295233
2,random,1,1461,1.3001304650671832
2,random,2,1461,1.9933797967621971
2,random,3,1461,2.849414999490195
2,random,4,1461,3.175688273631318
2,random,5,1461,3.5485926330255264
2,random,6,1461,4.390517299697324
2,random,7,1461,4.6943036657474755
2,random,8,1461,6.3656039508008
2,random,9,1461,6.3531507827100455
3,random,0,1461,0.5062814723967737
3,random,1,1461,1.5683952862834125
3,random,2,1461,1.965974023432695
3,random,3,1461,2.8424177940238438
3,random,4,1461,3.5299788323863126
3,random,5,1461,4.108010168547784
3,random,6,1461,4.880611824004355
3,random,7,1461,5.817429702406376
3,random,8,1461,7.1893340593810695
3,random,9,1461,7.920246908242775
4,random,0,1461,0.6761002338688624
4,random,1,1461,1.7246504081598077
4,random,2,1461,2.1323735729115376
4,random,3,1461,2.8290871296075917
4,random,4,1461,3.4649584660610735
4,random,5,1461,5.017239147090694
4,random,6,1461,5.01231162891365
4,random,7,1461,6.911350156850117
4,random,8,1461,7.027012839044415
4,random,9,1461,7.0545754804684275
0,margin,0,1461,0.6454478982517542
0,margin,1,1461,1.0989572513895274
0,margin,2,1461,1.0321841293636995
0,margin,3,1461,1.6379146965381075
0,margin,4,1461,2.689582320834604
0,margin,5,1461,3.5478130738175535
0,margin,6,1461,3.9571156155299656
0,margin,7,1461,4.218791160322658
0,margin,8,1461,4.425389882741255
0,margin,9,1461,4.872023134435077
0,confidence,0,1461,0.6454478982517542
0,confidence,1,1461,1.0989572513895274
0,confidence,2,1461,1.0321841293636995
0,confidence,3,1461,1.6379146965381075
0,confidence,4,1461,2.689582320834604
0,confidence,5,1461,3.5478130738175535
0,confidence,6,1461,3.9571156155299656
0,confidence,7,1461,4.218791160322658
0,confidence,8,1461,4.425389882741255
0,confidence,9,1461,4.872023134435077
0,entropy,0,1461,0.6454478982517542
0,entropy,1,1461,1.0989572513895274
0,entropy,2,1461,1.0321841293636995
0,entropy,3,1461,1.6379146965381075
0,entropy,4,1461,2.689582320834604
0,entropy,5,1461,3.5478130738175535
0,entropy,6,1461,3.9571156155299656
0,entropy,7,1461,4.218791160322658
0,entropy,8,1461,4.425389882741255
0,entropy,9,1461,4.872023134435077
0,kmeans,0,1461,0.6454478982517542
0,kmeans,1,1461,1.219043836301703
0,kmeans,2,1461,1.9866796489052554
0,kmeans,3,1461,3.03646204315627
0,kmeans,4,1461,3.6005475534960976
0,kmeans,5,1461,4.629417795413244
0,kmeans,6,1461,5.56281998963175
0,kmeans,7,1461,6.5777655655394405
0,kmeans,8,1461,6.229166454033531
0,kmeans,9,1461,7.564945537591663
0,wkmeans,0,1461,0.6454478982517542
0,wkmeans,1,1461,1.0690074545284158
0,wkmeans,2,1461,1.8563449981238598
0,wkmeans,3,1461,2.506297633853578
0,wkmeans,4,1461,2.2030053444793225
0,wkmeans,5,1461,3.2321397079670775
0,wkmeans,6,1461,3.315632903519645
0,wkmeans,7,1461,3.5043269373836763
0,wkmeans,8,1461,4.79942112106325
0,wkmeans,9,1461,4.1691721435279705
1,margin,0,1461,0.7864876759258153
1,margin,1,1461,1.3671957963941737
1,margin,2,1461,1.8665696117239208
1,margin,3,1461,2.333854397535676
1,margin,4,1461,2.7918749796306077
1,margin,5,1461,3.5461188398231145
1,margin,6,1461,3.936382962627296
1,margin,7,1461,5.125603236717766
1,margin,8,1461,5.708948588199463
1,margin,9,1461,5.618751069753753
1,confidence,0,1461,0.7864876759258153
1,confidence,1,1461,1.3671957963941737
1,confidence,2,1461,1.8665696117239208
1,confidence,3,1461,2.333854397535676
1,confidence,4,1461,2.7918749796306077
1,confidence,5,1461,3.5461188398231145
1,confidence,6,1461,3.936382962627296
1,confidence,7,1461,5.125603236717766
1,confidence,8,1461,5.708948588199463
1,confidence,9,1461,5.618751069753753
1,entropy,0,1461,0.7864876759258153
1,entropy,1,1461,1.3671957963941737
1,entropy,2,1461,1.8665696117239208
1,entropy,3,1461,2.333854397535676
1,entropy,4,1461,2.7918749796306077
1,entropy,5,1461,3.5461188398231145
1,entropy,6,1461,3.936382962627296
1,entropy,7,1461,5.125603236717766
1,entropy,8,1461,5.708948588199463
1,entropy,9,1461,5.618751069753753
1,kmeans,0,1461,0.7864876759258153
1,kmeans,1,1461,1.4951046506859267
1,kmeans,2,1461,2.0851402101812595
1,kmeans,3,1461,2.6464964211152653
1,kmeans,4,1461,3.7258820444313234
1,kmeans,5,1461,4.826133150280262
1,kmeans,6,1461,4.997803080181539
1,kmeans,7,1461,5.8176349675512515
1,kmeans,8,1461,6.609283833908194
1,kmeans,9,1461,7.5210516276933514
1,wkmeans,0,1461,0.7864876759258153
1,wkmeans,1,1461,1.4529543237831082
1,wkmeans,2,1461,2.044145027837571
1,wkmeans,3,1461,2.910272292957889
1,wkmeans,4,1461,4.273752733877792
1,wkmeans,5,1461,4.852296917364152
1,wkmeans,6,1461,5.487061245986415
1,wkmeans,7,1461,6.300329555871435
1,wkmeans,8,1461,6.658848850484474
1,wkmeans,9,1461,7.252008092274019
2,margin,0,1461,0.6948427470295233
2,margin,1,1461,1.0008137614670958
2,margin,2,1461,1.785273693177437
2,margin,3,1461,1.831515895124296
2,margin,4,1461,2.390825564473062
2,margin,5,1461,3.472530940619219
2,margin,6,1461,3.87789225737551
2,margin,7,1461,3.607166324026706
2,margin,8,1461,5.070853062112541
2,margin,9,1461,6.464522273095725
2,confidence,0,1461,0.6948427470295233
2,confidence,1,1461,1.0008137614670958
2,confidence,2,1461,1.785273693177437
2,confidence,3,1461,1.831515895124296
2,confidence,4,1461,2.390825564473062
2,confidence,5,1461,3.472530940619219
2,confidence,6,1461,3.87789225737551
2,confidence,7,1461,3.607166324026706
2,confidence,8,1461,5.070853062112541
2,confidence,9,1461,6.464522273095725
2,entropy,0,1461,0.6948427470295233
2,entropy,1,1461,1.0008137614670958
2,entropy,2,1461,1.785273693177437
2,entropy,3,1461,1.831515895124296
2,entropy,4,1461,2.390825564473062
2,entropy,5,1461,3.472530940619219
2,entropy,6,1461,3.87789225737551
2,entropy,7,1461,3.607166324026706
2,entropy,8,1461,5.070853062112541
2,entropy,9,1461,6.464522273095725
2,kmeans,0,1461,0.6948427470295233
2,kmeans,1,1461,1.7246748064906585
2,kmeans,2,1461,2.3678728931944852
2,kmeans,3,1461,3.5296320803878314
2,kmeans,4,1461,4.245984014049927
2,kmeans,5,1461,5.051699493253466
2,kmeans,6,1461,5.0924632872522135
2,kmeans,7,1461,5.746269789434525
2,kmeans,8,1461,6.370938617599043
2,kmeans,9,1461,7.190279008766747
2,wkmeans,0,1461,0.6948427470295233
2,wkmeans,1,1461,0.9800659635921269
2,wkmeans,2,1461,1.6738800450436064
2,wkmeans,3,1461,2.0448296204200154
2,wkmeans,4,1461,2.592566776781888
2,wkmeans,5,1461,3.7142925515078615
2,wkmeans,6,1461,4.78668484061048
2,wkmeans,7,1461,5.031447293508863
2,wkmeans,8,1461,5.7594589976655834
2,wkmeans,9,1461,6.767495688918749
3,margin,0,1461,0.5062814723967737
3,margin,1,1461,1.1150059162247299
3,margin,2,1461,1.6130228120878827
3,margin,3,1461,2.178460112732118
3,margin,4,1461,2.6855375398717944
3,margin,5,1461,2.98694133881444
3,margin,6,1461,3.0818137518330095
3,margin,7,1461,3.345169426509319
3,margin,8,1461,3.690623489468533
3,margin,9,1461,4.576593235559835
3,confidence,0,1461,0.5062814723967737
3,confidence,1,1461,1.1150059162247299
3,confidence,2,1461,1.6130228120878827
3,confidence,3,1461,2.178460112732118
3,confidence,4,1461,2.6855375398717944
3,confidence,5,1461,2.98694133881444
3,confidence,6,1461,3.0818137518330095
3,confidence,7,1461,3.345169426509319
3,confidence,8,1461,3.690623489468533
3,confidence,9,1461,4.576593235559835
3,entropy,0,1461,0.5062814723967737
3,entropy,1,1461,1.1150059162247299
3,entropy,2,1461,1.6130228120878827
3,entropy,3,1461,2.178460112732118
3,entropy,4,1461,2.6855375398717944
3,entropy,5,1461,2.98694133881444
3,entropy,6,1461,3.0818137518330095
3,entropy,7,1461,3.345169426509319
3,entropy,8,1461,3.690623489468533
3,entropy,9,1461,4.576593235559835
3,kmeans,0,1461,0.5062814723967737
3,kmeans,1,1461,1.3831938902072765
3,kmeans,2,1461,2.0895149470553873
3,kmeans,3,1461,2.729580068610735
3,kmeans,4,1461,3.3794497652997424
3,kmeans,5,1461,4.1845592389878306
3,kmeans,6,1461,5.287171483210533
3,kmeans,7,1461,6.1115487546104745
3,kmeans,8,1461,6.874804102719451
3,kmeans,9,1461,7.36463644201236
3,wkmeans,0,1461,0.5062814723967737
3,wkmeans,1,1461,1.127880638214024
3,wkmeans,2,1461,1.5815893527794551
3,wkmeans,3,1461,2.302448705154958
3,wkmeans,4,1461,2.9512472671907726
3,wkmeans,5,1461,3.9266342722617837
3,wkmeans,6,1461,4.719394826037325
3,wkmeans,7,1461,4.78344871954836
3,wkmeans,8,1461,5.368386842502263
3,wkmeans,9,1461,4.628302106233561
4,margin,0,1461,0.6761002338688624
4,margin,1,1461,1.01942800249982
4,margin,2,1461,1.3565344925924063
4,margin,3,1461,2.02813928555415
4,margin,4,1461,2.2645863015702705
4,margin,5,1461,3.15438630172695
4,margin,6,1461,4.005774801831823
4,margin,7,1461,4.5028485061106345
4,margin,8,1461,4.805727589647216
4,margin,9,1461,6.160950032228275
4,confidence,0,1461,0.6761002338688624
4,confidence,1,1461,1.01942800249982
4,confidence,2,1461,1.3565344925924063
4,confidence,3,1461,2.02813928555415
4,confidence,4,1461,2.2645863015702705
4,confidence,5,1461,3.15438630172695
4,confidence,6,1461,4.005774801831823
4,confidence,7,1461,4.5028485061106345
4,confidence,8,1461,4.805727589647216
4,confidence,9,1461,6.160950032228275
4,entropy,0,1461,0.6761002338688624
4,entropy,1,1461,1.01942800249982
4,entropy,2,1461,1.3565344925924063
4,entropy,3,1461,2.02813928555415
4,entropy,4,1461,2.2645863015702705
4,entropy,5,1461,3.15438630172695
4,entropy,6,1461,4.005774801831823
4,entropy,7,1461,4.5028485061106345
4,entropy,8,1461,4.805727589647216
4,entropy,9,1461,6.160950032228275
4,kmeans,0,1461,0.6761002338688624
4,kmeans,1,1461,1.3889751433032314
4,kmeans,2,1461,2.264092253228819
4,kmeans,3,1461,3.543772233128483
4,kmeans,4,1461,4.011894424747143
4,kmeans,5,1461,4.368959656621947
4,kmeans,6,1461,5.519293053090323
4,kmeans,7,1461,6.1745884343072035
4,kmeans,8,1461,7.124144715131896
4,kmeans,9,1461,7.586763893295067
4,wkmeans,0,1461,0.6761002338688624
4,wkmeans,1,1461,1.4485500166429892
4,wkmeans,2,1461,2.287458664878628
4,wkmeans,3,1461,2.3428270617388756
4,wkmeans,4,1461,2.74804681404255
4,wkmeans,5,1461,3.3592063091632482
4,wkmeans,6,1461,4.046021544047451
4,wkmeans,7,1461,5.112686415939066
4,wkmeans,8,1461,5.887915440599805
4,wkmeans,9,1461,5.952131396897779
5,random,0,1461,0.4906966945035231
5,random,1,1461,1.3199706776780915
5,random,2,1461,2.2373827308502863
5,random,3,1461,2.579657375227352
5,random,4,1461,3.912397237010887
5,random,5,1461,4.186170294967757
5,random,6,1461,4.95824355723509
5,random,7,1461,5.907358472567577
5,random,8,1461,7.250092104683023
5,random,9,1461,7.8852341469174805
5,margin,0,1461,0.4906966945035231
5,margin,1,1461,0.9678519809856649
5,margin,2,1461,1.1810801997382425
5,margin,3,1461,1.4721904295019692
5,margin,4,1461,2.204024310958101
5,margin,5,1461,2.8705016581524467
5,margin,6,1461,3.9532169440773037
5,margin,7,1461,4.489872411198905
5,margin,8,1461,5.160518259791441
5,margin,9,1461,6.086811247498245
5,confidence,0,1461,0.4906966945035231
5,confidence,1,1461,0.9678519809856649
5,confidence,2,1461,1.1810801997382425
5,confidence,3,1461,1.4721904295019692
5,confidence,4,1461,2.204024310958101
5,confidence,5,1461,2.8705016581524467
5,confidence,6,1461,3.9532169440773037
5,confidence,7,1461,4.489872411198905
5,confidence,8,1461,5.160518259791441
5,confidence,9,1461,6.086811247498245
5,entropy,0,1461,0.4906966945035231
5,entropy,1,1461,0.9678519809856649
5,entropy,2,1461,1.1810801997382425
5,entropy,3,1461,1.4721904295019692
5,entropy,4,1461,2.204024310958101
5,entropy,5,1461,2.8705016581524467
5,entropy,6,1461,3.9532169440773037
5,entropy,7,1461,4.489872411198905
5,entropy,8,1461,5.160518259791441
5,entropy,9,1461,6.086811247498245
5,kmeans,0,1461,0.4906966945035231
5,kmeans,1,1461,1.4211769999011645
5,kmeans,2,1461,2.1490269198809377
5,kmeans,3,1461,2.748582550200333
5,kmeans,4,1461,3.8061722111927856
5,kmeans,5,1461,4.516899654946625
5,kmeans,6,1461,5.595614115090382
5,kmeans,7,1461,6.700751984998634
5,kmeans,8,1461,7.216195554698022
5,kmeans,9,1461,7.254675185039708
5,wkmeans,0,1461,0.4906966945035231
5,wkmeans,1,1461,1.2634931091917012
5,wkmeans,2,1461,1.9753906235310055
5,wkmeans,3,1461,2.797665820210022
5,wkmeans,4,1461,3.6109170536861863
5,wkmeans,5,1461,4.340509573301613
5,wkmeans,6,1461,4.954009208067925
5,wkmeans,7,1461,5.566396634480662
5,wkmeans,8,1461,5.6434714938587955
5,wkmeans,9,1461,6.267079282301578
6,random,0,1461,0.6567296515039617
6,random,1,1461,1.430623612908666
6,random,2,1461,2.048079287844192
6,random,3,1461,2.4900575994645435
6,random,4,1461,3.3754609383251037
6,random,5,1461,4.147768239402094
6,random,6,1461,5.428482029149631
6,random,7,1461,5.59301196985535
6,random,8,1461,6.947489189585703
6,random,9,1461,7.339876412204772
6,margin,0,1461,0.6567296515039617
6,margin,1,1461,0.9789913133535693
6,margin,2,1461,1.6539539747759378
6,margin,3,1461,2.101074224986874
6,margin,4,1461,2.607076523989462
