seed,method,n_iter,dataset,value
0,random,0,1590,0.8401639344262295
0,random,1,1590,0.8442622950819673
0,random,2,1590,0.8524590163934426
0,random,3,1590,0.8401639344262295
0,random,4,1590,0.8278688524590164
0,random,5,1590,0.8401639344262295
0,random,6,1590,0.8729508196721312
0,random,7,1590,0.8524590163934426
0,random,8,1590,0.8278688524590164
0,random,9,1590,0.8319672131147541
0,margin,0,1590,0.5778688524590164
0,margin,1,1590,0.5409836065573771
0,margin,2,1590,0.8729508196721312
0,margin,3,1590,0.47540983606557374
0,margin,4,1590,0.45491803278688525
0,margin,5,1590,0.5163934426229508
0,margin,6,1590,0.5450819672131147
0,margin,7,1590,0.5901639344262295
0,margin,8,1590,0.5
0,margin,9,1590,0.4959016393442623
0,confidence,0,1590,0.5778688524590164
0,confidence,1,1590,0.5409836065573771
0,confidence,2,1590,0.8729508196721312
0,confidence,3,1590,0.47540983606557374
0,confidence,4,1590,0.45491803278688525
0,confidence,5,1590,0.5163934426229508
0,confidence,6,1590,0.5450819672131147
0,confidence,7,1590,0.5901639344262295
0,confidence,8,1590,0.5
0,confidence,9,1590,0.4959016393442623
0,entropy,0,1590,0.5778688524590164
0,entropy,1,1590,0.5409836065573771
0,entropy,2,1590,0.8729508196721312
0,entropy,3,1590,0.47540983606557374
0,entropy,4,1590,0.45491803278688525
0,entropy,5,1590,0.5163934426229508
0,entropy,6,1590,0.5450819672131147
0,entropy,7,1590,0.5901639344262295
0,entropy,8,1590,0.5
0,entropy,9,1590,0.4959016393442623
0,kmeans,0,1590,0.8155737704918032
0,kmeans,1,1590,0.8442622950819673
0,kmeans,2,1590,0.8360655737704918
0,kmeans,3,1590,0.8360655737704918
0,kmeans,4,1590,0.8524590163934426
0,kmeans,5,1590,0.8852459016393442
0,kmeans,6,1590,0.8278688524590164
0,kmeans,7,1590,0.8278688524590164
0,kmeans,8,1590,0.8360655737704918
0,kmeans,9,1590,0.8237704918032787
0,wkmeans,0,1590,0.48770491803278687
0,wkmeans,1,1590,0.6065573770491803
0,wkmeans,2,1590,0.6270491803278688
0,wkmeans,3,1590,0.6598360655737705
0,wkmeans,4,1590,0.5942622950819673
0,wkmeans,5,1590,0.5163934426229508
0,wkmeans,6,1590,0.4713114754098361
0,wkmeans,7,1590,0.4918032786885246
0,wkmeans,8,1590,0.5081967213114754
0,wkmeans,9,1590,0.5409836065573771
1,random,0,1590,0.8770491803278688
1,random,1,1590,0.8114754098360656
1,random,2,1590,0.8401639344262295
1,random,3,1590,0.8565573770491803
1,random,4,1590,0.8483606557377049
1,random,5,1590,0.819672131147541
1,random,6,1590,0.860655737704918
1,random,7,1590,0.8442622950819673
1,random,8,1590,0.8688524590163934
1,random,9,1590,0.819672131147541
1,margin,0,1590,0.46311475409836067
1,margin,1,1590,0.5491803278688525
1,margin,2,1590,0.5450819672131147
1,margin,3,1590,0.5655737704918032
1,margin,4,1590,0.5942622950819673
1,margin,5,1590,0.48360655737704916
1,margin,6,1590,0.430327868852459
1,margin,7,1590,0.5286885245901639
1,margin,8,1590,0.5614754098360656
1,margin,9,1590,0.5450819672131147
1,confidence,0,1590,0.46311475409836067
1,confidence,1,1590,0.5491803278688525
1,confidence,2,1590,0.5450819672131147
1,confidence,3,1590,0.5655737704918032
1,confidence,4,1590,0.5942622950819673
1,confidence,5,1590,0.48360655737704916
1,confidence,6,1590,0.430327868852459
1,confidence,7,1590,0.5286885245901639
1,confidence,8,1590,0.5614754098360656
1,confidence,9,1590,0.5450819672131147
1,entropy,0,1590,0.46311475409836067
1,entropy,1,1590,0.5491803278688525
1,entropy,2,1590,0.5450819672131147
1,entropy,3,1590,0.5655737704918032
1,entropy,4,1590,0.5942622950819673
1,entropy,5,1590,0.48360655737704916
1,entropy,6,1590,0.430327868852459
1,entropy,7,1590,0.5286885245901639
1,entropy,8,1590,0.5614754098360656
1,entropy,9,1590,0.5450819672131147
1,kmeans,0,1590,0.7622950819672131
1,kmeans,1,1590,0.8442622950819673
1,kmeans,2,1590,0.8483606557377049
1,kmeans,3,1590,0.8073770491803278
1,kmeans,4,1590,0.8729508196721312
1,kmeans,5,1590,0.8729508196721312
1,kmeans,6,1590,0.8114754098360656
1,kmeans,7,1590,0.8688524590163934
1,kmeans,8,1590,0.889344262295082
1,kmeans,9,1590,0.8770491803278688
1,wkmeans,0,1590,0.5204918032786885
1,wkmeans,1,1590,0.5983606557377049
1,wkmeans,2,1590,0.5983606557377049
1,wkmeans,3,1590,0.5081967213114754
1,wkmeans,4,1590,0.5040983606557377
1,wkmeans,5,1590,0.5122950819672131
1,wkmeans,6,1590,0.5081967213114754
1,wkmeans,7,1590,0.5532786885245902
1,wkmeans,8,1590,0.6065573770491803
1,wkmeans,9,1590,0.6065573770491803
2,random,0,1590,0.7991803278688525
2,random,1,1590,0.860655737704918
2,random,2,1590,0.8237704918032787
2,random,3,1590,0.8155737704918032
2,random,4,1590,0.8319672131147541
2,random,5,1590,0.8524590163934426
2,random,6,1590,0.860655737704918
2,random,7,1590,0.8811475409836066
2,random,8,1590,0.8565573770491803
2,random,9,1590,0.8360655737704918
2,margin,0,1590,0.4344262295081967
2,margin,1,1590,0.4918032786885246
2,margin,2,1590,0.5778688524590164
2,margin,3,1590,0.46311475409836067
2,margin,4,1590,0.5655737704918032
2,margin,5,1590,0.5081967213114754
2,margin,6,1590,0.45901639344262296
2,margin,7,1590,0.7172131147540983
2,margin,8,1590,0.5942622950819673
2,margin,9,1590,0.5081967213114754
2,confidence,0,1590,0.4344262295081967
2,confidence,1,1590,0.4918032786885246
2,confidence,2,1590,0.5778688524590164
2,confidence,3,1590,0.46311475409836067
2,confidence,4,1590,0.5655737704918032
2,confidence,5,1590,0.5081967213114754
2,confidence,6,1590,0.45901639344262296
2,confidence,7,1590,0.7172131147540983
2,confidence,8,1590,0.5942622950819673
2,confidence,9,1590,0.5081967213114754
2,entropy,0,1590,0.4344262295081967
2,entropy,1,1590,0.4918032786885246
2,entropy,2,1590,0.5778688524590164
2,entropy,3,1590,0.46311475409836067
2,entropy,4,1590,0.5655737704918032
2,entropy,5,1590,0.5081967213114754
2,entropy,6,1590,0.45901639344262296
2,entropy,7,1590,0.7172131147540983
2,entropy,8,1590,0.5942622950819673
2,entropy,9,1590,0.5081967213114754
2,kmeans,0,1590,0.7663934426229508
2,kmeans,1,1590,0.8483606557377049
2,kmeans,2,1590,0.8647540983606558
2,kmeans,3,1590,0.860655737704918
2,kmeans,4,1590,0.8401639344262295
2,kmeans,5,1590,0.9057377049180327
2,kmeans,6,1590,0.889344262295082
