seed,method,n_iter,dataset,value
0,random,0,1590,0.8975409836065574
0,random,1,1590,0.8729508196721312
0,random,2,1590,0.9262295081967213
0,random,3,1590,0.9098360655737705
0,random,4,1590,0.9057377049180327
0,random,5,1590,0.9098360655737705
0,random,6,1590,0.9057377049180327
0,random,7,1590,0.9344262295081968
0,random,8,1590,0.9016393442622951
0,random,9,1590,0.9016393442622951
0,margin,0,1590,0.7663934426229508
0,margin,1,1590,0.430327868852459
0,margin,2,1590,0.38114754098360654
0,margin,3,1590,0.5122950819672131
0,margin,4,1590,0.4139344262295082
0,margin,5,1590,0.5081967213114754
0,margin,6,1590,0.5737704918032787
0,margin,7,1590,0.4262295081967213
0,margin,8,1590,0.5573770491803278
0,margin,9,1590,0.4344262295081967
0,confidence,0,1590,0.7663934426229508
0,confidence,1,1590,0.430327868852459
0,confidence,2,1590,0.38114754098360654
0,confidence,3,1590,0.5122950819672131
0,confidence,4,1590,0.4139344262295082
0,confidence,5,1590,0.5081967213114754
0,confidence,6,1590,0.5737704918032787
0,confidence,7,1590,0.4262295081967213
0,confidence,8,1590,0.5573770491803278
0,confidence,9,1590,0.4344262295081967
0,entropy,0,1590,0.7663934426229508
0,entropy,1,1590,0.430327868852459
0,entropy,2,1590,0.38114754098360654
0,entropy,3,1590,0.5122950819672131
0,entropy,4,1590,0.4139344262295082
0,entropy,5,1590,0.5081967213114754
0,entropy,6,1590,0.5737704918032787
0,entropy,7,1590,0.4262295081967213
0,entropy,8,1590,0.5573770491803278
0,entropy,9,1590,0.4344262295081967
0,kmeans,0,1590,0.9385245901639344
0,kmeans,1,1590,0.9385245901639344
0,kmeans,2,1590,0.9344262295081968
0,kmeans,3,1590,0.9016393442622951
0,kmeans,4,1590,0.9180327868852459
0,kmeans,5,1590,0.8811475409836066
0,kmeans,6,1590,0.8811475409836066
0,kmeans,7,1590,0.9016393442622951
0,kmeans,8,1590,0.9180327868852459
0,kmeans,9,1590,0.8975409836065574
0,wkmeans,0,1590,0.5245901639344263
0,wkmeans,1,1590,0.6024590163934426
0,wkmeans,2,1590,0.7049180327868853
0,wkmeans,3,1590,0.6639344262295082
0,wkmeans,4,1590,0.6967213114754098
0,wkmeans,5,1590,0.4959016393442623
0,wkmeans,6,1590,0.5450819672131147
0,wkmeans,7,1590,0.5450819672131147
0,wkmeans,8,1590,0.5532786885245902
0,wkmeans,9,1590,0.5942622950819673
1,random,0,1590,0.8811475409836066
1,random,1,1590,0.9016393442622951
1,random,2,1590,0.8770491803278688
1,random,3,1590,0.9016393442622951
1,random,4,1590,0.8647540983606558
1,random,5,1590,0.8934426229508197
1,random,6,1590,0.8934426229508197
1,random,7,1590,0.8852459016393442
1,random,8,1590,0.8811475409836066
1,random,9,1590,0.8852459016393442
1,margin,0,1590,0.48360655737704916
1,margin,1,1590,0.6844262295081968
1,margin,2,1590,0.5737704918032787
1,margin,3,1590,0.4262295081967213
1,margin,4,1590,0.36065573770491804
1,margin,5,1590,0.5778688524590164
1,margin,6,1590,0.4918032786885246
1,margin,7,1590,0.47950819672131145
1,margin,8,1590,0.6680327868852459
1,margin,9,1590,0.5409836065573771
1,confidence,0,1590,0.48360655737704916
1,confidence,1,1590,0.6844262295081968
1,confidence,2,1590,0.5737704918032787
1,confidence,3,1590,0.4262295081967213
1,confidence,4,1590,0.36065573770491804
1,confidence,5,1590,0.5778688524590164
1,confidence,6,1590,0.4918032786885246
1,confidence,7,1590,0.47950819672131145
1,confidence,8,1590,0.6680327868852459
1,confidence,9,1590,0.5409836065573771
1,entropy,0,1590,0.48360655737704916
1,entropy,1,1590,0.6844262295081968
1,entropy,2,1590,0.5737704918032787
1,entropy,3,1590,0.4262295081967213
1,entropy,4,1590,0.36065573770491804
1,entropy,5,1590,0.5778688524590164
1,entropy,6,1590,0.4918032786885246
1,entropy,7,1590,0.47950819672131145
1,entropy,8,1590,0.6680327868852459
1,entropy,9,1590,0.5409836065573771
1,kmeans,0,1590,0.8729508196721312
1,kmeans,1,1590,0.8852459016393442
1,kmeans,2,1590,0.8934426229508197
1,kmeans,3,1590,0.8647540983606558
1,kmeans,4,1590,0.8483606557377049
1,kmeans,5,1590,0.8688524590163934
1,kmeans,6,1590,0.9057377049180327
1,kmeans,7,1590,0.9016393442622951
1,kmeans,8,1590,0.9180327868852459
1,kmeans,9,1590,0.9344262295081968
1,wkmeans,0,1590,0.4057377049180328
1,wkmeans,1,1590,0.6434426229508197
1,wkmeans,2,1590,0.5368852459016393
1,wkmeans,3,1590,0.5573770491803278
1,wkmeans,4,1590,0.5122950819672131
1,wkmeans,5,1590,0.5368852459016393
1,wkmeans,6,1590,0.6147540983606558
1,wkmeans,7,1590,0.6270491803278688
1,wkmeans,8,1590,0.6024590163934426
1,wkmeans,9,1590,0.6926229508196722
2,random,0,1590,0.8565573770491803
2,random,1,1590,0.8934426229508197
2,random,2,1590,0.8688524590163934
2,random,3,1590,0.8934426229508197
2,random,4,1590,0.8975409836065574
2,random,5,1590,0.889344262295082
2,random,6,1590,0.8524590163934426
2,random,7,1590,0.8934426229508197
