seed,method,n_iter,dataset,value
0,random,0,41138,1.0
0,random,1,41138,1.0
0,random,2,41138,0.9991228070175439
0,random,3,41138,1.0
0,random,4,41138,1.0
0,random,5,41138,1.0
0,random,6,41138,0.999624060150376
0,random,7,41138,0.9990131578947369
0,random,8,41138,0.9991228070175439
0,random,9,41138,0.9989473684210526
0,margin,0,41138,1.0
0,margin,1,41138,1.0
0,margin,2,41138,0.9964912280701754
0,margin,3,41138,0.9815789473684211
0,margin,4,41138,0.9726315789473684
0,margin,5,41138,0.9495614035087719
0,margin,6,41138,0.9383458646616541
0,margin,7,41138,0.9361842105263158
0,margin,8,41138,0.9385964912280702
0,margin,9,41138,0.9452631578947368
0,confidence,0,41138,1.0
0,confidence,1,41138,1.0
0,confidence,2,41138,0.9964912280701754
0,confidence,3,41138,0.9815789473684211
0,confidence,4,41138,0.9726315789473684
0,confidence,5,41138,0.9495614035087719
0,confidence,6,41138,0.9383458646616541
0,confidence,7,41138,0.9361842105263158
0,confidence,8,41138,0.9385964912280702
0,confidence,9,41138,0.9452631578947368
0,entropy,0,41138,1.0
0,entropy,1,41138,1.0
0,entropy,2,41138,0.9964912280701754
0,entropy,3,41138,0.9815789473684211
0,entropy,4,41138,0.9726315789473684
0,entropy,5,41138,0.9495614035087719
0,entropy,6,41138,0.9383458646616541
0,entropy,7,41138,0.9361842105263158
0,entropy,8,41138,0.9385964912280702
0,entropy,9,41138,0.9452631578947368
0,kmeans,0,41138,1.0
0,kmeans,1,41138,1.0
0,kmeans,2,41138,0.9991228070175439
0,kmeans,3,41138,1.0
0,kmeans,4,41138,0.9994736842105263
0,kmeans,5,41138,0.999561403508772
0,kmeans,6,41138,0.9981203007518797
0,kmeans,7,41138,0.9983552631578947
0,kmeans,8,41138,0.997953216374269
0,kmeans,9,41138,0.9973684210526316
0,wkmeans,0,41138,1.0
0,wkmeans,1,41138,0.9973684210526316
0,wkmeans,2,41138,0.9912280701754386
0,wkmeans,3,41138,0.9842105263157894
0,wkmeans,4,41138,0.9768421052631578
0,wkmeans,5,41138,0.9706140350877193
0,wkmeans,6,41138,0.9646616541353383
0,wkmeans,7,41138,0.968421052631579
0,wkmeans,8,41138,0.9657894736842105
0,wkmeans,9,41138,0.9607894736842105
1,random,0,41138,1.0
1,random,1,41138,1.0
1,random,2,41138,1.0
1,random,3,41138,1.0
1,random,4,41138,1.0
1,random,5,41138,0.999561403508772
1,random,6,41138,1.0
1,random,7,41138,0.999671052631579
1,random,8,41138,0.9997076023391813
1,random,9,41138,0.9989473684210526
1,margin,0,41138,1.0
1,margin,1,41138,0.9986842105263158
1,margin,2,41138,0.9894736842105263
1,margin,3,41138,0.9802631578947368
1,margin,4,41138,0.9752631578947368
1,margin,5,41138,0.9513157894736842
1,margin,6,41138,0.9353383458646617
1,margin,7,41138,0.9332236842105263
1,margin,8,41138,0.9365497076023391
1,margin,9,41138,0.9407894736842105
1,confidence,0,41138,1.0
1,confidence,1,41138,0.9986842105263158
1,confidence,2,41138,0.9894736842105263
1,confidence,3,41138,0.9802631578947368
1,confidence,4,41138,0.9752631578947368
1,confidence,5,41138,0.9513157894736842
1,confidence,6,41138,0.9353383458646617
1,confidence,7,41138,0.9332236842105263
1,confidence,8,41138,0.9365497076023391
1,confidence,9,41138,0.9407894736842105
1,entropy,0,41138,1.0
1,entropy,1,41138,0.9986842105263158
1,entropy,2,41138,0.9894736842105263
1,entropy,3,41138,0.9802631578947368
1,entropy,4,41138,0.9752631578947368
1,entropy,5,41138,0.9513157894736842
1,entropy,6,41138,0.9353383458646617
1,entropy,7,41138,0.9332236842105263
1,entropy,8,41138,0.9365497076023391
1,entropy,9,41138,0.9407894736842105
1,kmeans,0,41138,1.0
1,kmeans,1,41138,1.0
1,kmeans,2,41138,1.0
1,kmeans,3,41138,1.0
1,kmeans,4,41138,1.0
1,kmeans,5,41138,1.0
1,kmeans,6,41138,1.0
1,kmeans,7,41138,0.9993421052631579
1,kmeans,8,41138,0.9985380116959064
1,kmeans,9,41138,0.9986842105263158
1,wkmeans,0,41138,1.0
1,wkmeans,1,41138,0.9960526315789474
1,wkmeans,2,41138,0.9859649122807017
1,wkmeans,3,41138,0.9828947368421053
1,wkmeans,4,41138,0.9789473684210527
1,wkmeans,5,41138,0.9631578947368421
1,wkmeans,6,41138,0.9597744360902256
1,wkmeans,7,41138,0.95625
1,wkmeans,8,41138,0.9535087719298245
1,wkmeans,9,41138,0.9560526315789474
2,random,0,41138,1.0
2,random,1,41138,1.0
2,random,2,41138,1.0
2,random,3,41138,1.0
2,random,4,41138,1.0
2,random,5,41138,1.0
2,random,6,41138,1.0
2,random,7,41138,1.0
2,random,8,41138,0.9997076023391813
2,random,9,41138,1.0
2,margin,0,41138,1.0
2,margin,1,41138,0.9894736842105263
2,margin,2,41138,0.9824561403508771
2,margin,3,41138,0.9809210526315789
2,margin,4,41138,0.9710526315789474
2,margin,5,41138,0.9543859649122807
2,margin,6,41138,0.9390977443609022
2,margin,7,41138,0.9342105263157895
2,margin,8,41138,0.9312865497076024
2,margin,9,41138,0.9389473684210526
2,confidence,0,41138,1.0
2,confidence,1,41138,0.9894736842105263
2,confidence,2,41138,0.9824561403508771
2,confidence,3,41138,0.9809210526315789
2,confidence,4,41138,0.9710526315789474
2,confidence,5,41138,0.9543859649122807
2,confidence,6,41138,0.9390977443609022
2,confidence,7,41138,0.9342105263157895
2,confidence,8,41138,0.9312865497076024
2,confidence,9,41138,0.9389473684210526
2,entropy,0,41138,1.0
2,entropy,1,41138,0.9894736842105263
2,entropy,2,41138,0.9824561403508771
2,entropy,3,41138,0.9809210526315789
2,entropy,4,41138,0.9710526315789474
2,entropy,5,41138,0.9543859649122807
2,entropy,6,41138,0.9390977443609022
2,entropy,7,41138,0.9342105263157895
2,entropy,8,41138,0.9312865497076024
2,entropy,9,41138,0.9389473684210526
2,kmeans,0,41138,1.0
2,kmeans,1,41138,1.0
2,kmeans,2,41138,1.0
2,kmeans,3,41138,1.0
2,kmeans,4,41138,1.0
2,kmeans,5,41138,0.9982456140350877
2,kmeans,6,41138,0.9981203007518797
2,kmeans,7,41138,0.9983552631578947
2,kmeans,8,41138,0.9976608187134502
2,kmeans,9,41138,0.9976315789473684
2,wkmeans,0,41138,1.0
2,wkmeans,1,41138,0.9960526315789474
2,wkmeans,2,41138,0.9859649122807017
2,wkmeans,3,41138,0.9815789473684211
2,wkmeans,4,41138,0.9757894736842105
2,wkmeans,5,41138,0.968421052631579
2,wkmeans,6,41138,0.9609022556390977
2,wkmeans,7,41138,0.9628289473684211
2,wkmeans,8,41138,0.9599415204678362
2,wkmeans,9,41138,0.9571052631578948
3,random,0,41138,1.0
3,random,1,41138,1.0
3,random,2,41138,1.0
3,random,3,41138,1.0
3,random,4,41138,1.0
3,random,5,41138,1.0
3,random,6,41138,0.999624060150376
3,random,7,41138,1.0
3,random,8,41138,0.9991228070175439
3,random,9,41138,0.9994736842105263
3,margin,0,41138,1.0
3,margin,1,41138,0.9973684210526316
3,margin,2,41138,0.9754385964912281
3,margin,3,41138,0.9703947368421053
3,margin,4,41138,0.9642105263157895
3,margin,5,41138,0.9451754385964912
3,margin,6,41138,0.9383458646616541
3,margin,7,41138,0.9365131578947369
3,margin,8,41138,0.9362573099415205
3,margin,9,41138,0.94
3,confidence,0,41138,1.0
3,confidence,1,41138,0.9973684210526316
3,confidence,2,41138,0.9754385964912281
3,confidence,3,41138,0.9703947368421053
3,confidence,4,41138,0.9642105263157895
3,confidence,5,41138,0.9451754385964912
3,confidence,6,41138,0.9383458646616541
3,confidence,7,41138,0.9365131578947369
3,confidence,8,41138,0.9362573099415205
3,confidence,9,41138,0.94
3,entropy,0,41138,1.0
3,entropy,1,41138,0.9973684210526316
3,entropy,2,41138,0.9754385964912281
3,entropy,3,41138,0.9703947368421053
3,entropy,4,41138,0.9642105263157895
3,entropy,5,41138,0.9451754385964912
3,entropy,6,41138,0.9383458646616541
3,entropy,7,41138,0.9365131578947369
3,entropy,8,41138,0.9362573099415205
3,entropy,9,41138,0.94
3,kmeans,0,41138,1.0
3,kmeans,1,41138,1.0
3,kmeans,2,41138,1.0
3,kmeans,3,41138,1.0
3,kmeans,4,41138,1.0
3,kmeans,5,41138,1.0
3,kmeans,6,41138,1.0
3,kmeans,7,41138,1.0
3,kmeans,8,41138,1.0
3,kmeans,9,41138,0.9981578947368421
3,wkmeans,0,41138,1.0
3,wkmeans,1,41138,0.9986842105263158
3,wkmeans,2,41138,0.9894736842105263
3,wkmeans,3,41138,0.9828947368421053
3,wkmeans,4,41138,0.9721052631578947
3,wkmeans,5,41138,0.968859649122807
3,wkmeans,6,41138,0.9661654135338346
3,wkmeans,7,41138,0.9657894736842105
3,wkmeans,8,41138,0.960233918128655
3,wkmeans,9,41138,0.9594736842105264
4,random,0,41138,1.0
4,random,1,41138,1.0
4,random,2,41138,1.0
4,random,3,41138,1.0
4,random,4,41138,1.0
4,random,5,41138,1.0
4,random,6,41138,1.0
4,random,7,41138,1.0
4,random,8,41138,1.0
4,random,9,41138,1.0
4,margin,0,41138,1.0
4,margin,1,41138,1.0
4,margin,2,41138,0.9868421052631579
4,margin,3,41138,0.9789473684210527
4,margin,4,41138,0.9510526315789474
4,margin,5,41138,0.9469298245614035
4,margin,6,41138,0.9379699248120301
4,margin,7,41138,0.9322368421052631
4,margin,8,41138,0.9380116959064327
4,margin,9,41138,0.9415789473684211
4,confidence,0,41138,1.0
4,confidence,1,41138,1.0
4,confidence,2,41138,0.9868421052631579
4,confidence,3,41138,0.9789473684210527
4,confidence,4,41138,0.9510526315789474
4,confidence,5,41138,0.9469298245614035
4,confidence,6,41138,0.9379699248120301
4,confidence,7,41138,0.9322368421052631
4,confidence,8,41138,0.9380116959064327
4,confidence,9,41138,0.9415789473684211
4,entropy,0,41138,1.0
4,entropy,1,41138,1.0
4,entropy,2,41138,0.9868421052631579
4,entropy,3,41138,0.9789473684210527
4,entropy,4,41138,0.9510526315789474
4,entropy,5,41138,0.9469298245614035
4,entropy,6,41138,0.9379699248120301
4,entropy,7,41138,0.9322368421052631
4,entropy,8,41138,0.9380116959064327
4,entropy,9,41138,0.9415789473684211
4,kmeans,0,41138,1.0
4,kmeans,1,41138,1.0
4,kmeans,2,41138,1.0
4,kmeans,3,41138,1.0
4,kmeans,4,41138,1.0
4,kmeans,5,41138,1.0
4,kmeans,6,41138,0.999624060150376
4,kmeans,7,41138,0.999671052631579
4,kmeans,8,41138,0.9997076023391813
4,kmeans,9,41138,0.9997368421052631
4,wkmeans,0,41138,1.0
4,wkmeans,1,41138,0.9986842105263158
4,wkmeans,2,41138,0.9824561403508771
4,wkmeans,3,41138,0.9809210526315789
4,wkmeans,4,41138,0.9763157894736842
4,wkmeans,5,41138,0.9710526315789474
4,wkmeans,6,41138,0.9710526315789474
4,wkmeans,7,41138,0.9605263157894737
4,wkmeans,8,41138,0.9605263157894737
4,wkmeans,9,41138,0.9605263157894737
5,random,0,41138,1.0
5,random,1,41138,1.0
5,random,2,41138,1.0
5,random,3,41138,1.0
5,random,4,41138,1.0
5,random,5,41138,1.0
5,random,6,41138,0.999624060150376
5,random,7,41138,0.9990131578947369
5,random,8,41138,0.9985380116959064
5,random,9,41138,0.9989473684210526
5,margin,0,41138,1.0
5,margin,1,41138,0.9947368421052631
5,margin,2,41138,0.9921052631578947
5,margin,3,41138,0.9835526315789473
5,margin,4,41138,0.9663157894736842
5,margin,5,41138,0.9486842105263158
5,margin,6,41138,0.937218045112782
5,margin,7,41138,0.9345394736842105
5,margin,8,41138,0.9391812865497076
5,margin,9,41138,0.94
5,confidence,0,41138,1.0
5,confidence,1,41138,0.9947368421052631
5,confidence,2,41138,0.9921052631578947
5,confidence,3,41138,0.9835526315789473
5,confidence,4,41138,0.9663157894736842
5,confidence,5,41138,0.9486842105263158
5,confidence,6,41138,0.937218045112782
5,confidence,7,41138,0.9345394736842105
5,confidence,8,41138,0.9391812865497076
5,confidence,9,41138,0.94
5,entropy,0,41138,1.0
5,entropy,1,41138,0.9947368421052631
5,entropy,2,41138,0.9921052631578947
5,entropy,3,41138,0.9835526315789473
5,entropy,4,41138,0.9663157894736842
5,entropy,5,41138,0.9486842105263158
5,entropy,6,41138,0.937218045112782
5,entropy,7,41138,0.9345394736842105
5,entropy,8,41138,0.9391812865497076
5,entropy,9,41138,0.94
5,kmeans,0,41138,1.0
5,kmeans,1,41138,1.0
5,kmeans,2,41138,1.0
