seed,method,n_iter,dataset,value
0,random,1,42395,0.0
0,random,2,42395,0.002
0,random,3,42395,0.002
0,random,4,42395,0.002
0,random,5,42395,0.001
0,random,6,42395,0.0
0,random,7,42395,0.001
0,random,8,42395,0.003
0,random,9,42395,0.0
0,margin,1,42395,0.103
0,margin,2,42395,0.322
0,margin,3,42395,0.208
0,margin,4,42395,0.253
0,margin,5,42395,0.129
0,margin,6,42395,0.063
0,margin,7,42395,0.036
0,margin,8,42395,0.031
0,margin,9,42395,0.02
0,confidence,1,42395,0.103
0,confidence,2,42395,0.322
0,confidence,3,42395,0.208
0,confidence,4,42395,0.253
0,confidence,5,42395,0.129
0,confidence,6,42395,0.063
0,confidence,7,42395,0.036
0,confidence,8,42395,0.031
0,confidence,9,42395,0.02
0,entropy,1,42395,0.103
0,entropy,2,42395,0.322
0,entropy,3,42395,0.208
0,entropy,4,42395,0.253
0,entropy,5,42395,0.129
0,entropy,6,42395,0.063
0,entropy,7,42395,0.036
0,entropy,8,42395,0.031
0,entropy,9,42395,0.02
0,kmeans,1,42395,0.003
0,kmeans,2,42395,0.0
0,kmeans,3,42395,0.0
0,kmeans,4,42395,0.0
0,kmeans,5,42395,0.002
0,kmeans,6,42395,0.002
0,kmeans,7,42395,0.0
0,kmeans,8,42395,0.001
0,kmeans,9,42395,0.001
0,wkmeans,1,42395,0.016
0,wkmeans,2,42395,0.011
0,wkmeans,3,42395,0.008
0,wkmeans,4,42395,0.005
0,wkmeans,5,42395,0.008
0,wkmeans,6,42395,0.007
0,wkmeans,7,42395,0.002
0,wkmeans,8,42395,0.002
0,wkmeans,9,42395,0.002
1,random,1,42395,0.002
1,random,2,42395,0.0
1,random,3,42395,0.001
1,random,4,42395,0.002
1,random,5,42395,0.002
1,random,6,42395,0.001
1,random,7,42395,0.0
1,random,8,42395,0.0
1,random,9,42395,0.001
1,margin,1,42395,0.2
1,margin,2,42395,0.1
1,margin,3,42395,0.238
1,margin,4,42395,0.151
1,margin,5,42395,0.142
1,margin,6,42395,0.072
1,margin,7,42395,0.047
1,margin,8,42395,0.03
1,margin,9,42395,0.021
1,confidence,1,42395,0.2
1,confidence,2,42395,0.1
1,confidence,3,42395,0.238
1,confidence,4,42395,0.151
1,confidence,5,42395,0.142
1,confidence,6,42395,0.072
1,confidence,7,42395,0.047
1,confidence,8,42395,0.03
