seed,method,n_iter,dataset,value
0,random,1,43439,0.8766850628788564
0,random,2,43439,0.9134624083959106
0,random,3,43439,0.9430018999366688
0,random,4,43439,0.9495159685153352
0,random,5,43439,0.9563919297928164
0,random,6,43439,0.9664344521849272
0,random,7,43439,0.96919388401339
0,random,8,43439,0.9684700986157604
0,random,9,43439,0.9762960282276305
0,margin,1,43439,0.888582285352393
0,margin,2,43439,0.8999819053650593
0,margin,3,43439,0.9198407672125215
0,margin,4,43439,0.9306070750022618
0,margin,5,43439,0.9360354654844838
0,margin,6,43439,0.9324165384963359
0,margin,7,43439,0.947480322084502
0,margin,8,43439,0.9594227811453904
0,margin,9,43439,0.9627250520220755
0,confidence,1,43439,0.888582285352393
0,confidence,2,43439,0.8999819053650593
0,confidence,3,43439,0.9198407672125215
0,confidence,4,43439,0.9306070750022618
0,confidence,5,43439,0.9360354654844838
0,confidence,6,43439,0.9324165384963359
0,confidence,7,43439,0.947480322084502
0,confidence,8,43439,0.9594227811453904
0,confidence,9,43439,0.9627250520220755
0,entropy,1,43439,0.888582285352393
0,entropy,2,43439,0.8999819053650593
0,entropy,3,43439,0.9198407672125215
0,entropy,4,43439,0.9306070750022618
0,entropy,5,43439,0.9360354654844838
0,entropy,6,43439,0.9324165384963359
0,entropy,7,43439,0.947480322084502
0,entropy,8,43439,0.9594227811453904
0,entropy,9,43439,0.9627250520220755
0,kmeans,1,43439,0.8915226635302633
0,kmeans,2,43439,0.9331403238939654
0,kmeans,3,43439,0.9529539491540758
0,kmeans,4,43439,0.9608703519406496
0,kmeans,5,43439,0.9639012032932236
0,kmeans,6,43439,0.966479688772279
0,kmeans,7,43439,0.9729485207635936
0,kmeans,8,43439,0.9775626526734823
0,kmeans,9,43439,0.9793721161675564
0,wkmeans,1,43439,0.8747851262100788
0,wkmeans,2,43439,0.8957296661539853
0,wkmeans,3,43439,0.9183479598299105
0,wkmeans,4,43439,0.9363973581832986
0,wkmeans,5,43439,0.9341807654030579
0,wkmeans,6,43439,0.9447208902560391
0,wkmeans,7,43439,0.9530896589161314
0,wkmeans,8,43439,0.9608251153532977
0,wkmeans,9,43439,0.9627250520220755
1,random,1,43439,0.8661449380258753
1,random,2,43439,0.9247263186465213
