seed,method,n_iter,dataset,value
0,random,0,43551,0.4970588235294118
0,random,1,43551,0.4823529411764706
0,random,2,43551,0.5
0,random,3,43551,0.4970588235294118
0,random,4,43551,0.49707602339181284
0,random,5,43551,0.49707602339181284
0,random,6,43551,0.49707602339181284
0,random,7,43551,0.5
0,random,8,43551,0.5
0,random,9,43551,0.49707602339181284
0,margin,0,43551,0.4582156973461322
0,margin,1,43551,0.4634146341463415
0,margin,2,43551,0.5602409638554218
0,margin,3,43551,0.575
0,margin,4,43551,0.4642857142857143
0,margin,5,43551,0.5
0,margin,6,43551,0.5115543928493569
0,margin,7,43551,0.48493975903614456
0,margin,8,43551,0.5
0,margin,9,43551,0.5
0,confidence,0,43551,0.4582156973461322
0,confidence,1,43551,0.4634146341463415
0,confidence,2,43551,0.5602409638554218
0,confidence,3,43551,0.575
0,confidence,4,43551,0.4642857142857143
0,confidence,5,43551,0.5
0,confidence,6,43551,0.5115543928493569
0,confidence,7,43551,0.48493975903614456
0,confidence,8,43551,0.5
0,confidence,9,43551,0.5
0,entropy,0,43551,0.4582156973461322
0,entropy,1,43551,0.4634146341463415
0,entropy,2,43551,0.5602409638554218
0,entropy,3,43551,0.575
0,entropy,4,43551,0.4642857142857143
0,entropy,5,43551,0.5
0,entropy,6,43551,0.5115543928493569
0,entropy,7,43551,0.48493975903614456
0,entropy,8,43551,0.5
0,entropy,9,43551,0.5
0,kmeans,0,43551,0.49700598802395207
0,kmeans,1,43551,0.48502994011976047
0,kmeans,2,43551,0.4970588235294118
0,kmeans,3,43551,0.49411764705882355
0,kmeans,4,43551,0.49415204678362573
0,kmeans,5,43551,0.49702380952380953
0,kmeans,6,43551,0.6607495069033531
0,kmeans,7,43551,0.75
0,kmeans,8,43551,0.49707602339181284
0,kmeans,9,43551,0.49698795180722893
