seed,method,n_iter,dataset,value
0,random,1,43551,0.0
0,random,2,43551,0.0
0,random,3,43551,0.0
0,random,4,43551,0.0
0,random,5,43551,0.0
0,random,6,43551,0.0
0,random,7,43551,0.0
0,random,8,43551,0.0
0,random,9,43551,0.0
0,margin,1,43551,0.005813953488372093
0,margin,2,43551,0.023255813953488372
0,margin,3,43551,0.0
0,margin,4,43551,0.0
0,margin,5,43551,0.0
0,margin,6,43551,0.046511627906976744
0,margin,7,43551,0.05813953488372093
0,margin,8,43551,0.0
0,margin,9,43551,0.0
0,confidence,1,43551,0.005813953488372093
0,confidence,2,43551,0.023255813953488372
0,confidence,3,43551,0.0
0,confidence,4,43551,0.0
0,confidence,5,43551,0.0
0,confidence,6,43551,0.046511627906976744
0,confidence,7,43551,0.05813953488372093
0,confidence,8,43551,0.0
0,confidence,9,43551,0.0
0,entropy,1,43551,0.005813953488372093
0,entropy,2,43551,0.023255813953488372
0,entropy,3,43551,0.0
0,entropy,4,43551,0.0
0,entropy,5,43551,0.0
0,entropy,6,43551,0.046511627906976744
0,entropy,7,43551,0.05813953488372093
0,entropy,8,43551,0.0
0,entropy,9,43551,0.0
0,kmeans,1,43551,0.0
0,kmeans,2,43551,0.0
0,kmeans,3,43551,0.0
0,kmeans,4,43551,0.0
0,kmeans,5,43551,0.0
0,kmeans,6,43551,0.0
0,kmeans,7,43551,0.0
0,kmeans,8,43551,0.0
0,kmeans,9,43551,0.0
0,wkmeans,1,43551,0.0
0,wkmeans,2,43551,0.0
0,wkmeans,3,43551,0.0
0,wkmeans,4,43551,0.0
0,wkmeans,5,43551,0.0
0,wkmeans,6,43551,0.01744186046511628
0,wkmeans,7,43551,0.011627906976744186
0,wkmeans,8,43551,0.0
0,wkmeans,9,43551,0.0
1,random,1,43551,0.0
1,random,2,43551,0.0
1,random,3,43551,0.0
1,random,4,43551,0.0
1,random,5,43551,0.0
1,random,6,43551,0.0
1,random,7,43551,0.0
1,random,8,43551,0.0
1,random,9,43551,0.0
1,margin,1,43551,0.0
1,margin,2,43551,0.0
1,margin,3,43551,0.1744186046511628
1,margin,4,43551,0.011627906976744186
1,margin,5,43551,0.0
1,margin,6,43551,0.0
1,margin,7,43551,0.0
1,margin,8,43551,0.0
1,margin,9,43551,0.0
1,confidence,1,43551,0.0
1,confidence,2,43551,0.0
1,confidence,3,43551,0.1744186046511628
1,confidence,4,43551,0.011627906976744186
1,confidence,5,43551,0.0
1,confidence,6,43551,0.0
1,confidence,7,43551,0.0
1,confidence,8,43551,0.0
1,confidence,9,43551,0.0
1,entropy,1,43551,0.0
1,entropy,2,43551,0.0
1,entropy,3,43551,0.1744186046511628
1,entropy,4,43551,0.011627906976744186
1,entropy,5,43551,0.0
1,entropy,6,43551,0.0
1,entropy,7,43551,0.0
1,entropy,8,43551,0.0
1,entropy,9,43551,0.0
1,kmeans,1,43551,0.0
1,kmeans,2,43551,0.0
1,kmeans,3,43551,0.0
1,kmeans,4,43551,0.0
1,kmeans,5,43551,0.0
1,kmeans,6,43551,0.0
1,kmeans,7,43551,0.0
1,kmeans,8,43551,0.0
1,kmeans,9,43551,0.0
1,wkmeans,1,43551,0.0
1,wkmeans,2,43551,0.0
1,wkmeans,3,43551,0.0
1,wkmeans,4,43551,0.0
1,wkmeans,5,43551,0.0
1,wkmeans,6,43551,0.0
1,wkmeans,7,43551,0.0
1,wkmeans,8,43551,0.0
1,wkmeans,9,43551,0.0
2,random,1,43551,0.0
2,random,2,43551,0.0
2,random,3,43551,0.0
2,random,4,43551,0.0
2,random,5,43551,0.0
2,random,6,43551,0.0
2,random,7,43551,0.0
2,random,8,43551,0.0
2,random,9,43551,0.0
2,margin,1,43551,0.0
2,margin,2,43551,0.0
2,margin,3,43551,0.029069767441860465
2,margin,4,43551,0.0
2,margin,5,43551,0.1511627906976744
2,margin,6,43551,0.4011627906976744
2,margin,7,43551,0.0755813953488372
2,margin,8,43551,0.023255813953488372
2,margin,9,43551,0.0
2,confidence,1,43551,0.0
2,confidence,2,43551,0.0
2,confidence,3,43551,0.029069767441860465
2,confidence,4,43551,0.0
2,confidence,5,43551,0.1511627906976744
2,confidence,6,43551,0.4011627906976744
2,confidence,7,43551,0.0755813953488372
2,confidence,8,43551,0.023255813953488372
2,confidence,9,43551,0.0
2,entropy,1,43551,0.0
2,entropy,2,43551,0.0
2,entropy,3,43551,0.029069767441860465
2,entropy,4,43551,0.0
2,entropy,5,43551,0.1511627906976744
2,entropy,6,43551,0.4011627906976744
2,entropy,7,43551,0.0755813953488372
