seed,method,n_iter,dataset,value
0,random,1,43551,0.0
0,random,2,43551,0.0
0,random,3,43551,0.0
0,random,4,43551,0.0
0,random,5,43551,0.0
0,random,6,43551,0.0
0,random,7,43551,0.0
0,random,8,43551,0.0
0,random,9,43551,0.0
0,margin,1,43551,0.0
0,margin,2,43551,0.003875968992248062
0,margin,3,43551,0.0014534883720930232
0,margin,4,43551,0.0011627906976744186
0,margin,5,43551,0.0
0,margin,6,43551,0.007475083056478406
0,margin,7,43551,0.018168604651162792
0,margin,8,43551,0.00904392764857881
0,margin,9,43551,0.0
0,confidence,1,43551,0.0
0,confidence,2,43551,0.003875968992248062
0,confidence,3,43551,0.0014534883720930232
0,confidence,4,43551,0.0011627906976744186
0,confidence,5,43551,0.0
0,confidence,6,43551,0.007475083056478406
0,confidence,7,43551,0.018168604651162792
0,confidence,8,43551,0.00904392764857881
0,confidence,9,43551,0.0
0,entropy,1,43551,0.0
0,entropy,2,43551,0.003875968992248062
0,entropy,3,43551,0.0014534883720930232
0,entropy,4,43551,0.0011627906976744186
0,entropy,5,43551,0.0
0,entropy,6,43551,0.007475083056478406
0,entropy,7,43551,0.018168604651162792
0,entropy,8,43551,0.00904392764857881
0,entropy,9,43551,0.0
0,kmeans,1,43551,0.0
0,kmeans,2,43551,0.0
0,kmeans,3,43551,0.0
0,kmeans,4,43551,0.0
0,kmeans,5,43551,0.0
0,kmeans,6,43551,0.0
0,kmeans,7,43551,0.002180232558139535
0,kmeans,8,43551,0.0
0,kmeans,9,43551,0.0005813953488372093
0,wkmeans,1,43551,0.0
0,wkmeans,2,43551,0.0
0,wkmeans,3,43551,0.0
0,wkmeans,4,43551,0.0
0,wkmeans,5,43551,0.0
0,wkmeans,6,43551,0.004152823920265781
0,wkmeans,7,43551,0.005813953488372093
0,wkmeans,8,43551,0.0012919896640826874
0,wkmeans,9,43551,0.0011627906976744186
1,random,1,43551,0.0
1,random,2,43551,0.0
1,random,3,43551,0.0
1,random,4,43551,0.0
1,random,5,43551,0.0
1,random,6,43551,0.0
1,random,7,43551,0.0
1,random,8,43551,0.0
1,random,9,43551,0.0
1,margin,1,43551,0.0
1,margin,2,43551,0.0
1,margin,3,43551,0.011627906976744186
1,margin,4,43551,0.04534883720930233
1,margin,5,43551,0.0
1,margin,6,43551,0.0
1,margin,7,43551,0.0
1,margin,8,43551,0.0
1,margin,9,43551,0.0
1,confidence,1,43551,0.0
1,confidence,2,43551,0.0
1,confidence,3,43551,0.011627906976744186
1,confidence,4,43551,0.04534883720930233
1,confidence,5,43551,0.0
1,confidence,6,43551,0.0
1,confidence,7,43551,0.0
1,confidence,8,43551,0.0
1,confidence,9,43551,0.0
1,entropy,1,43551,0.0
1,entropy,2,43551,0.0
1,entropy,3,43551,0.011627906976744186
1,entropy,4,43551,0.04534883720930233
1,entropy,5,43551,0.0
1,entropy,6,43551,0.0
1,entropy,7,43551,0.0
1,entropy,8,43551,0.0
1,entropy,9,43551,0.0
1,kmeans,1,43551,0.0
1,kmeans,2,43551,0.0
1,kmeans,3,43551,0.0
1,kmeans,4,43551,0.0
1,kmeans,5,43551,0.0
1,kmeans,6,43551,0.0
1,kmeans,7,43551,0.0
1,kmeans,8,43551,0.0
1,kmeans,9,43551,0.0
1,wkmeans,1,43551,0.0
1,wkmeans,2,43551,0.0
1,wkmeans,3,43551,0.0
1,wkmeans,4,43551,0.0
1,wkmeans,5,43551,0.0
1,wkmeans,6,43551,0.0
1,wkmeans,7,43551,0.0
1,wkmeans,8,43551,0.0
1,wkmeans,9,43551,0.0
2,random,1,43551,0.0
2,random,2,43551,0.0
2,random,3,43551,0.0
2,random,4,43551,0.0
2,random,5,43551,0.0
2,random,6,43551,0.0
2,random,7,43551,0.0
2,random,8,43551,0.0
2,random,9,43551,0.0
2,margin,1,43551,0.0
2,margin,2,43551,0.001937984496124031
2,margin,3,43551,0.0014534883720930232
2,margin,4,43551,0.005813953488372093
2,margin,5,43551,0.00872093023255814
2,margin,6,43551,0.03239202657807309
2,margin,7,43551,0.06031976744186047
2,margin,8,43551,0.008397932816537468
2,margin,9,43551,0.0011627906976744186
2,confidence,1,43551,0.0
2,confidence,2,43551,0.001937984496124031
2,confidence,3,43551,0.0014534883720930232
2,confidence,4,43551,0.005813953488372093
2,confidence,5,43551,0.00872093023255814
2,confidence,6,43551,0.03239202657807309
2,confidence,7,43551,0.06031976744186047
2,confidence,8,43551,0.008397932816537468
2,confidence,9,43551,0.0011627906976744186
2,entropy,1,43551,0.0
2,entropy,2,43551,0.001937984496124031
