seed,method,n_iter,dataset,value
0,random,0,43551,0.0
0,random,1,43551,0.0
0,random,2,43551,0.0
0,random,3,43551,0.0
0,random,4,43551,0.0
0,random,5,43551,0.0
0,random,6,43551,0.0
0,random,7,43551,0.0
0,random,8,43551,0.0
0,random,9,43551,0.0
0,margin,0,43551,0.09195402298850575
0,margin,1,43551,0.0
0,margin,2,43551,0.08333333333333334
0,margin,3,43551,0.1935483870967742
0,margin,4,43551,0.0
0,margin,5,43551,0.0
0,margin,6,43551,0.05714285714285715
0,margin,7,43551,0.0
0,margin,8,43551,0.0
0,margin,9,43551,0.0
0,confidence,0,43551,0.09195402298850575
0,confidence,1,43551,0.0
0,confidence,2,43551,0.08333333333333334
0,confidence,3,43551,0.1935483870967742
0,confidence,4,43551,0.0
0,confidence,5,43551,0.0
0,confidence,6,43551,0.05714285714285715
0,confidence,7,43551,0.0
0,confidence,8,43551,0.0
0,confidence,9,43551,0.0
0,entropy,0,43551,0.09195402298850575
0,entropy,1,43551,0.0
0,entropy,2,43551,0.08333333333333334
0,entropy,3,43551,0.1935483870967742
0,entropy,4,43551,0.0
0,entropy,5,43551,0.0
0,entropy,6,43551,0.05714285714285715
0,entropy,7,43551,0.0
0,entropy,8,43551,0.0
0,entropy,9,43551,0.0
0,kmeans,0,43551,0.0
0,kmeans,1,43551,0.0
0,kmeans,2,43551,0.0
0,kmeans,3,43551,0.0
0,kmeans,4,43551,0.0
0,kmeans,5,43551,0.0
0,kmeans,6,43551,0.3333333333333333
0,kmeans,7,43551,0.6666666666666666
0,kmeans,8,43551,0.0
0,kmeans,9,43551,0.0
0,wkmeans,0,43551,0.0
0,wkmeans,1,43551,0.0
0,wkmeans,2,43551,0.0
0,wkmeans,3,43551,0.16666666666666666
0,wkmeans,4,43551,0.2247191011235955
0,wkmeans,5,43551,0.0
0,wkmeans,6,43551,0.0
0,wkmeans,7,43551,0.0
0,wkmeans,8,43551,0.0
0,wkmeans,9,43551,0.0
1,random,0,43551,0.0
1,random,1,43551,0.0
1,random,2,43551,0.0
1,random,3,43551,0.0
1,random,4,43551,0.0
1,random,5,43551,0.0
1,random,6,43551,0.33333333333333337
1,random,7,43551,0.0
1,random,8,43551,0.0
1,random,9,43551,0.0
1,margin,0,43551,0.056338028169014086
1,margin,1,43551,0.05649717514124294
1,margin,2,43551,0.19847328244274812
1,margin,3,43551,0.22727272727272727
1,margin,4,43551,0.3333333333333333
1,margin,5,43551,0.0
1,margin,6,43551,0.0
1,margin,7,43551,0.0
1,margin,8,43551,0.0
1,margin,9,43551,0.0
1,confidence,0,43551,0.056338028169014086
1,confidence,1,43551,0.05649717514124294
1,confidence,2,43551,0.19847328244274812
1,confidence,3,43551,0.22727272727272727
1,confidence,4,43551,0.3333333333333333
1,confidence,5,43551,0.0
1,confidence,6,43551,0.0
1,confidence,7,43551,0.0
1,confidence,8,43551,0.0
1,confidence,9,43551,0.0
1,entropy,0,43551,0.056338028169014086
1,entropy,1,43551,0.05649717514124294
1,entropy,2,43551,0.19847328244274812
1,entropy,3,43551,0.22727272727272727
1,entropy,4,43551,0.3333333333333333
1,entropy,5,43551,0.0
1,entropy,6,43551,0.0
1,entropy,7,43551,0.0
1,entropy,8,43551,0.0
1,entropy,9,43551,0.0
1,kmeans,0,43551,0.0
1,kmeans,1,43551,0.0
1,kmeans,2,43551,0.0
1,kmeans,3,43551,0.0
1,kmeans,4,43551,0.0
1,kmeans,5,43551,0.0
1,kmeans,6,43551,0.0
1,kmeans,7,43551,0.2222222222222222
1,kmeans,8,43551,0.0
1,kmeans,9,43551,0.0
1,wkmeans,0,43551,0.0
1,wkmeans,1,43551,0.1111111111111111
1,wkmeans,2,43551,0.0
1,wkmeans,3,43551,0.0
1,wkmeans,4,43551,0.0
1,wkmeans,5,43551,0.0
1,wkmeans,6,43551,0.0
1,wkmeans,7,43551,0.0
1,wkmeans,8,43551,0.0
1,wkmeans,9,43551,0.0
2,random,0,43551,0.0
2,random,1,43551,0.0
2,random,2,43551,0.0
2,random,3,43551,0.4
2,random,4,43551,0.0
2,random,5,43551,0.0
2,random,6,43551,0.0
2,random,7,43551,0.0
2,random,8,43551,0.0
2,random,9,43551,0.0
2,margin,0,43551,0.05128205128205127
2,margin,1,43551,0.1142857142857143
2,margin,2,43551,0.057971014492753624
2,margin,3,43551,0.0
2,margin,4,43551,0.2162162162162162
2,margin,5,43551,0.12244897959183672
2,margin,6,43551,0.2
2,margin,7,43551,0.0
2,margin,8,43551,0.0
2,margin,9,43551,0.0
2,confidence,0,43551,0.05128205128205127
2,confidence,1,43551,0.1142857142857143
2,confidence,2,43551,0.057971014492753624
2,confidence,3,43551,0.0
2,confidence,4,43551,0.2162162162162162
2,confidence,5,43551,0.12244897959183672
2,confidence,6,43551,0.2
2,confidence,7,43551,0.0
2,confidence,8,43551,0.0
2,confidence,9,43551,0.0
2,entropy,0,43551,0.05128205128205127
2,entropy,1,43551,0.1142857142857143
2,entropy,2,43551,0.057971014492753624
2,entropy,3,43551,0.0
2,entropy,4,43551,0.2162162162162162
2,entropy,5,43551,0.12244897959183672
2,entropy,6,43551,0.2
2,entropy,7,43551,0.0
2,entropy,8,43551,0.0
2,entropy,9,43551,0.0
2,kmeans,0,43551,0.18181818181818182
2,kmeans,1,43551,0.0
2,kmeans,2,43551,0.0
2,kmeans,3,43551,0.0
2,kmeans,4,43551,0.0
2,kmeans,5,43551,0.0
2,kmeans,6,43551,0.0
2,kmeans,7,43551,0.0
2,kmeans,8,43551,0.0
2,kmeans,9,43551,0.0
2,wkmeans,0,43551,0.0
2,wkmeans,1,43551,0.0
2,wkmeans,2,43551,0.0
2,wkmeans,3,43551,0.0
2,wkmeans,4,43551,0.0
2,wkmeans,5,43551,0.0
2,wkmeans,6,43551,0.0
2,wkmeans,7,43551,0.0
2,wkmeans,8,43551,0.0
2,wkmeans,9,43551,0.0
3,random,0,43551,0.0
3,random,1,43551,0.0
3,random,2,43551,0.0
3,random,3,43551,0.0
3,random,4,43551,0.0
3,random,5,43551,0.0
3,random,6,43551,0.0
3,random,7,43551,0.0
3,random,8,43551,0.0
3,random,9,43551,0.0
3,margin,0,43551,0.07339449541284404
3,margin,1,43551,0.024999999999999998
3,margin,2,43551,0.06060606060606061
3,margin,3,43551,0.0
3,margin,4,43551,0.06451612903225806
3,margin,5,43551,0.0
3,margin,6,43551,0.0
3,margin,7,43551,0.0
3,margin,8,43551,0.0
3,margin,9,43551,0.0
3,confidence,0,43551,0.07339449541284404
3,confidence,1,43551,0.024999999999999998
3,confidence,2,43551,0.06060606060606061
3,confidence,3,43551,0.0
3,confidence,4,43551,0.06451612903225806
3,confidence,5,43551,0.0
3,confidence,6,43551,0.0
3,confidence,7,43551,0.0
3,confidence,8,43551,0.0
3,confidence,9,43551,0.0
3,entropy,0,43551,0.07339449541284404
3,entropy,1,43551,0.024999999999999998
3,entropy,2,43551,0.06060606060606061
3,entropy,3,43551,0.0
3,entropy,4,43551,0.06451612903225806
3,entropy,5,43551,0.0
3,entropy,6,43551,0.0
3,entropy,7,43551,0.0
3,entropy,8,43551,0.0
3,entropy,9,43551,0.0
3,kmeans,0,43551,0.0
3,kmeans,1,43551,0.0
3,kmeans,2,43551,0.0
3,kmeans,3,43551,0.0
3,kmeans,4,43551,0.0
3,kmeans,5,43551,0.0
3,kmeans,6,43551,0.0
3,kmeans,7,43551,0.0
3,kmeans,8,43551,0.0
3,kmeans,9,43551,0.0
3,wkmeans,0,43551,0.03125
3,wkmeans,1,43551,0.0
3,wkmeans,2,43551,0.3333333333333333
3,wkmeans,3,43551,0.0
3,wkmeans,4,43551,0.33333333333333337
3,wkmeans,5,43551,0.0
3,wkmeans,6,43551,0.0
3,wkmeans,7,43551,0.0
3,wkmeans,8,43551,0.0
3,wkmeans,9,43551,0.0
4,random,0,43551,0.0
4,random,1,43551,0.0
4,random,2,43551,0.0
4,random,3,43551,0.0
4,random,4,43551,0.5
4,random,5,43551,0.0
4,random,6,43551,0.0
4,random,7,43551,0.0
4,random,8,43551,0.0
4,random,9,43551,0.0
4,margin,0,43551,0.028169014084507043
4,margin,1,43551,0.03636363636363636
4,margin,2,43551,0.032520325203252036
4,margin,3,43551,0.08571428571428572
4,margin,4,43551,0.04081632653061224
4,margin,5,43551,0.0
4,margin,6,43551,0.0
4,margin,7,43551,0.0
4,margin,8,43551,0.0
4,margin,9,43551,0.0
4,confidence,0,43551,0.028169014084507043
4,confidence,1,43551,0.03636363636363636
4,confidence,2,43551,0.032520325203252036
4,confidence,3,43551,0.08571428571428572
4,confidence,4,43551,0.04081632653061224
4,confidence,5,43551,0.0
4,confidence,6,43551,0.0
4,confidence,7,43551,0.0
4,confidence,8,43551,0.0
4,confidence,9,43551,0.0
4,entropy,0,43551,0.028169014084507043
4,entropy,1,43551,0.03636363636363636
4,entropy,2,43551,0.032520325203252036
4,entropy,3,43551,0.08571428571428572
4,entropy,4,43551,0.04081632653061224
4,entropy,5,43551,0.0
4,entropy,6,43551,0.0
4,entropy,7,43551,0.0
4,entropy,8,43551,0.0
4,entropy,9,43551,0.0
4,kmeans,0,43551,0.0
4,kmeans,1,43551,0.0
4,kmeans,2,43551,0.0
4,kmeans,3,43551,0.0
4,kmeans,4,43551,0.0
4,kmeans,5,43551,0.0
4,kmeans,6,43551,0.0
4,kmeans,7,43551,0.0
4,kmeans,8,43551,0.0
4,kmeans,9,43551,0.0
4,wkmeans,0,43551,0.04347826086956522
4,wkmeans,1,43551,0.0
4,wkmeans,2,43551,0.0
4,wkmeans,3,43551,0.0
4,wkmeans,4,43551,0.0
4,wkmeans,5,43551,0.0
4,wkmeans,6,43551,0.0
4,wkmeans,7,43551,0.0
4,wkmeans,8,43551,0.0
4,wkmeans,9,43551,0.0
5,random,0,43551,0.4
5,random,1,43551,0.0
5,random,2,43551,0.25
5,random,3,43551,0.4
5,random,4,43551,0.0
5,random,5,43551,0.0
5,random,6,43551,0.0
5,random,7,43551,0.0
5,random,8,43551,0.0
5,random,9,43551,0.4
5,margin,0,43551,0.09944751381215469
5,margin,1,43551,0.14285714285714285
5,margin,2,43551,0.16326530612244897
5,margin,3,43551,0.0
5,margin,4,43551,0.0
5,margin,5,43551,0.0
5,margin,6,43551,0.0
5,margin,7,43551,0.0
5,margin,8,43551,0.0
5,margin,9,43551,0.0
5,confidence,0,43551,0.09944751381215469
5,confidence,1,43551,0.14285714285714285
5,confidence,2,43551,0.16326530612244897
5,confidence,3,43551,0.0
5,confidence,4,43551,0.0
5,confidence,5,43551,0.0
5,confidence,6,43551,0.0
5,confidence,7,43551,0.0
5,confidence,8,43551,0.0
5,confidence,9,43551,0.0
5,entropy,0,43551,0.09944751381215469
5,entropy,1,43551,0.14285714285714285
5,entropy,2,43551,0.16326530612244897
5,entropy,3,43551,0.0
5,entropy,4,43551,0.0
5,entropy,5,43551,0.0
5,entropy,6,43551,0.0
5,entropy,7,43551,0.0
5,entropy,8,43551,0.0
5,entropy,9,43551,0.0
5,kmeans,0,43551,0.2222222222222222
5,kmeans,1,43551,0.0
5,kmeans,2,43551,0.0
5,kmeans,3,43551,0.0
5,kmeans,4,43551,0.0
5,kmeans,5,43551,0.0
5,kmeans,6,43551,0.0
5,kmeans,7,43551,0.0
5,kmeans,8,43551,0.28571428571428575
5,kmeans,9,43551,0.0
5,wkmeans,0,43551,0.02439024390243903
5,wkmeans,1,43551,0.0
5,wkmeans,2,43551,0.0
5,wkmeans,3,43551,0.0
5,wkmeans,4,43551,0.0
5,wkmeans,5,43551,0.0
5,wkmeans,6,43551,0.0
5,wkmeans,7,43551,0.0
5,wkmeans,8,43551,0.0
5,wkmeans,9,43551,0.0
6,random,0,43551,0.0
6,random,1,43551,0.0
6,random,2,43551,0.0
6,random,3,43551,0.0
6,random,4,43551,0.0
6,random,5,43551,0.0
6,random,6,43551,0.0
6,random,7,43551,0.0
6,random,8,43551,0.0
6,random,9,43551,0.0
6,margin,0,43551,0.047619047619047616
6,margin,1,43551,0.0
6,margin,2,43551,0.045454545454545456
6,margin,3,43551,0.03125
6,margin,4,43551,0.0
6,margin,5,43551,0.030303030303030304
6,margin,6,43551,0.0
6,margin,7,43551,0.05882352941176471
6,margin,8,43551,0.0
6,margin,9,43551,0.0
6,confidence,0,43551,0.047619047619047616
6,confidence,1,43551,0.0
6,confidence,2,43551,0.045454545454545456
6,confidence,3,43551,0.03125
6,confidence,4,43551,0.0
6,confidence,5,43551,0.030303030303030304
6,confidence,6,43551,0.0
6,confidence,7,43551,0.05882352941176471
6,confidence,8,43551,0.0
6,confidence,9,43551,0.0
6,entropy,0,43551,0.047619047619047616
6,entropy,1,43551,0.0
6,entropy,2,43551,0.045454545454545456
6,entropy,3,43551,0.03125
6,entropy,4,43551,0.0
6,entropy,5,43551,0.030303030303030304
6,entropy,6,43551,0.0
6,entropy,7,43551,0.05882352941176471
6,entropy,8,43551,0.0
