seed,method,n_iter,dataset,value
0,random,0,43551,1.0
0,random,1,43551,1.0
0,random,2,43551,1.0
0,random,3,43551,0.9333333333333333
0,random,4,43551,0.888888888888889
0,random,5,43551,0.7777777777777778
0,random,6,43551,0.8
0,random,7,43551,0.8181818181818181
0,random,8,43551,0.7692307692307692
0,random,9,43551,0.7586206896551724
0,margin,0,43551,1.0
0,margin,1,43551,0.375
0,margin,2,43551,0.5517241379310345
0,margin,3,43551,0.4444444444444444
0,margin,4,43551,0.4313725490196078
0,margin,5,43551,0.339622641509434
0,margin,6,43551,0.2702702702702703
0,margin,7,43551,0.18867924528301885
0,margin,8,43551,0.07547169811320754
0,margin,9,43551,0.03571428571428572
0,confidence,0,43551,1.0
0,confidence,1,43551,0.375
0,confidence,2,43551,0.5517241379310345
0,confidence,3,43551,0.4444444444444444
0,confidence,4,43551,0.4313725490196078
0,confidence,5,43551,0.339622641509434
0,confidence,6,43551,0.2702702702702703
0,confidence,7,43551,0.18867924528301885
0,confidence,8,43551,0.07547169811320754
0,confidence,9,43551,0.03571428571428572
0,entropy,0,43551,1.0
0,entropy,1,43551,0.375
0,entropy,2,43551,0.5517241379310345
0,entropy,3,43551,0.4444444444444444
0,entropy,4,43551,0.4313725490196078
0,entropy,5,43551,0.339622641509434
0,entropy,6,43551,0.2702702702702703
0,entropy,7,43551,0.18867924528301885
0,entropy,8,43551,0.07547169811320754
0,entropy,9,43551,0.03571428571428572
0,kmeans,0,43551,1.0
0,kmeans,1,43551,0.923076923076923
0,kmeans,2,43551,0.8
0,kmeans,3,43551,0.8333333333333333
0,kmeans,4,43551,0.6086956521739131
0,kmeans,5,43551,0.6923076923076924
0,kmeans,6,43551,0.6875000000000001
0,kmeans,7,43551,0.5454545454545454
0,kmeans,8,43551,0.6666666666666666
0,kmeans,9,43551,0.5405405405405406
0,wkmeans,0,43551,1.0
0,wkmeans,1,43551,1.0
0,wkmeans,2,43551,1.0
0,wkmeans,3,43551,1.0
0,wkmeans,4,43551,1.0
0,wkmeans,5,43551,0.23076923076923078
0,wkmeans,6,43551,0.25806451612903225
0,wkmeans,7,43551,0.0625
0,wkmeans,8,43551,0.09756097560975609
0,wkmeans,9,43551,0.08695652173913045
1,random,0,43551,1.0
1,random,1,43551,1.0
1,random,2,43551,1.0
1,random,3,43551,1.0
1,random,4,43551,0.7777777777777778
1,random,5,43551,0.7272727272727273
1,random,6,43551,0.888888888888889
1,random,7,43551,0.6666666666666666
