seed,method,n_iter,dataset,value
0,random,0,1502,0.9574468085106383
0,random,1,1502,0.9400000000000001
0,random,2,1502,0.9791666666666666
0,random,3,1502,0.9690721649484536
0,random,4,1502,0.9791666666666666
0,random,5,1502,0.9896907216494846
0,random,6,1502,0.9896907216494846
0,random,7,1502,1.0
0,random,8,1502,0.98989898989899
0,random,9,1502,1.0
0,margin,0,1502,0.7403598971722366
0,margin,1,1502,0.7105263157894737
0,margin,2,1502,0.952991452991453
0,margin,3,1502,0.4186046511627907
0,margin,4,1502,0.880597014925373
0,margin,5,1502,0.6220472440944882
0,margin,6,1502,0.7438016528925621
0,margin,7,1502,0.8870967741935484
0,margin,8,1502,0.91875
0,margin,9,1502,0.8833333333333334
0,confidence,0,1502,0.7403598971722366
0,confidence,1,1502,0.7105263157894737
0,confidence,2,1502,0.952991452991453
0,confidence,3,1502,0.4186046511627907
0,confidence,4,1502,0.880597014925373
0,confidence,5,1502,0.6220472440944882
0,confidence,6,1502,0.7438016528925621
0,confidence,7,1502,0.8870967741935484
0,confidence,8,1502,0.91875
0,confidence,9,1502,0.8833333333333334
0,entropy,0,1502,0.7403598971722366
0,entropy,1,1502,0.7105263157894737
0,entropy,2,1502,0.952991452991453
0,entropy,3,1502,0.4186046511627907
0,entropy,4,1502,0.880597014925373
0,entropy,5,1502,0.6220472440944882
0,entropy,6,1502,0.7438016528925621
0,entropy,7,1502,0.8870967741935484
0,entropy,8,1502,0.91875
0,entropy,9,1502,0.8833333333333334
0,kmeans,0,1502,0.9256198347107439
0,kmeans,1,1502,1.0
0,kmeans,2,1502,0.9622641509433962
0,kmeans,3,1502,0.9821428571428571
0,kmeans,4,1502,0.9821428571428572
0,kmeans,5,1502,0.9913043478260869
0,kmeans,6,1502,1.0
0,kmeans,7,1502,0.9914529914529915
0,kmeans,8,1502,0.9917355371900827
0,kmeans,9,1502,0.98989898989899
0,wkmeans,0,1502,0.646288209606987
0,wkmeans,1,1502,0.7542857142857143
0,wkmeans,2,1502,0.7730061349693251
0,wkmeans,3,1502,0.8235294117647058
0,wkmeans,4,1502,0.9477911646586347
0,wkmeans,5,1502,0.9538461538461539
0,wkmeans,6,1502,0.968
0,wkmeans,7,1502,0.960352422907489
0,wkmeans,8,1502,0.9779411764705882
0,wkmeans,9,1502,0.9857142857142858
0,iwkmeans,0,1502,0.6160714285714285
0,iwkmeans,1,1502,0.6588921282798833
0,iwkmeans,2,1502,0.7639484978540773
0,iwkmeans,3,1502,0.8965517241379309
0,iwkmeans,4,1502,0.9791044776119403
0,iwkmeans,5,1502,0.9649122807017544
0,iwkmeans,6,1502,0.9696969696969696
0,iwkmeans,7,1502,0.9836065573770493
0,iwkmeans,8,1502,0.9734513274336283
0,iwkmeans,9,1502,0.9885057471264368
0,kcenter,0,1502,0.6741573033707865
0,kcenter,1,1502,0.8731343283582088
0,kcenter,2,1502,0.8695652173913043
0,kcenter,3,1502,0.9473684210526315
0,kcenter,4,1502,0.9285714285714286
0,kcenter,5,1502,0.9467455621301775
0,kcenter,6,1502,0.923076923076923
0,kcenter,7,1502,1.0
0,kcenter,8,1502,0.9746835443037974
0,kcenter,9,1502,0.9813664596273292
1,random,0,1502,1.0
1,random,1,1502,0.9074074074074074
1,random,2,1502,0.970873786407767
1,random,3,1502,0.9714285714285714
1,random,4,1502,0.9807692307692307
1,random,5,1502,0.9902912621359222
1,random,6,1502,0.9902912621359222
1,random,7,1502,0.9803921568627451
1,random,8,1502,1.0
1,random,9,1502,0.99009900990099
1,margin,0,1502,0.9324618736383442
1,margin,1,1502,0.07086614173228348
1,margin,2,1502,0.8048780487804877
1,margin,3,1502,0.8792270531400966
1,margin,4,1502,0.7789473684210527
1,margin,5,1502,0.6105263157894737
1,margin,6,1502,0.7338129496402878
1,margin,7,1502,0.5980707395498392
1,margin,8,1502,0.7905759162303665
1,margin,9,1502,0.8810810810810811
1,confidence,0,1502,0.9324618736383442
1,confidence,1,1502,0.07086614173228348
1,confidence,2,1502,0.8048780487804877
1,confidence,3,1502,0.8792270531400966
1,confidence,4,1502,0.7789473684210527
1,confidence,5,1502,0.6105263157894737
1,confidence,6,1502,0.7338129496402878
1,confidence,7,1502,0.5980707395498392
1,confidence,8,1502,0.7905759162303665
1,confidence,9,1502,0.8810810810810811
1,entropy,0,1502,0.9324618736383442
1,entropy,1,1502,0.07086614173228348
1,entropy,2,1502,0.8048780487804877
1,entropy,3,1502,0.8792270531400966
1,entropy,4,1502,0.7789473684210527
1,entropy,5,1502,0.6105263157894737
1,entropy,6,1502,0.7338129496402878
1,entropy,7,1502,0.5980707395498392
1,entropy,8,1502,0.7905759162303665
1,entropy,9,1502,0.8810810810810811
1,kmeans,0,1502,0.8547008547008547
1,kmeans,1,1502,0.9702970297029703
1,kmeans,2,1502,0.9666666666666667
1,kmeans,3,1502,1.0
1,kmeans,4,1502,0.9913043478260869
1,kmeans,5,1502,0.9747899159663865
1,kmeans,6,1502,0.9914529914529915
1,kmeans,7,1502,1.0
1,kmeans,8,1502,0.9909909909909909
1,kmeans,9,1502,0.9814814814814815
1,wkmeans,0,1502,0.6583333333333333
1,wkmeans,1,1502,0.7457627118644069
1,wkmeans,2,1502,0.7860696517412936
1,wkmeans,3,1502,0.9156626506024097
1,wkmeans,4,1502,0.9238095238095237
1,wkmeans,5,1502,0.9690140845070422
1,wkmeans,6,1502,0.97165991902834
1,wkmeans,7,1502,0.9694656488549618
1,wkmeans,8,1502,0.9795918367346939
1,wkmeans,9,1502,0.9790794979079498
1,iwkmeans,0,1502,0.625
1,iwkmeans,1,1502,0.7090301003344482
1,iwkmeans,2,1502,0.6889952153110048
1,iwkmeans,3,1502,0.8978494623655914
1,iwkmeans,4,1502,0.9400921658986177
1,iwkmeans,5,1502,0.9438202247191013
1,iwkmeans,6,1502,0.9812734082397003
1,iwkmeans,7,1502,0.9915254237288136
1,iwkmeans,8,1502,0.976303317535545
1,iwkmeans,9,1502,0.9866666666666668
1,kcenter,0,1502,0.5222222222222221
1,kcenter,1,1502,0.8686868686868686
1,kcenter,2,1502,0.9098039215686274
1,kcenter,3,1502,0.9111111111111111
1,kcenter,4,1502,0.935064935064935
1,kcenter,5,1502,0.9289617486338798
1,kcenter,6,1502,0.990909090909091
1,kcenter,7,1502,0.9253731343283582
1,kcenter,8,1502,0.9773755656108597
1,kcenter,9,1502,0.9714285714285714
2,random,0,1502,0.9565217391304348
2,random,1,1502,0.9484536082474228
2,random,2,1502,0.989247311827957
2,random,3,1502,0.9782608695652174
2,random,4,1502,0.989247311827957
2,random,5,1502,0.989247311827957
2,random,6,1502,0.967032967032967
2,random,7,1502,1.0
2,random,8,1502,0.9565217391304347
2,random,9,1502,0.989010989010989
2,margin,0,1502,0.5789473684210525
2,margin,1,1502,0.9574468085106383
2,margin,2,1502,0.9439655172413792
2,margin,3,1502,0.6978021978021978
2,margin,4,1502,0.623076923076923
2,margin,5,1502,0.8904109589041096
2,margin,6,1502,0.3018867924528302
2,margin,7,1502,0.9052132701421801
2,margin,8,1502,0.8116883116883117
2,margin,9,1502,0.8359133126934984
2,confidence,0,1502,0.5789473684210525
2,confidence,1,1502,0.9574468085106383
2,confidence,2,1502,0.9439655172413792
2,confidence,3,1502,0.6978021978021978
2,confidence,4,1502,0.623076923076923
2,confidence,5,1502,0.8904109589041096
2,confidence,6,1502,0.3018867924528302
2,confidence,7,1502,0.9052132701421801
2,confidence,8,1502,0.8116883116883117
2,confidence,9,1502,0.8359133126934984
2,entropy,0,1502,0.5789473684210525
2,entropy,1,1502,0.9574468085106383
2,entropy,2,1502,0.9439655172413792
2,entropy,3,1502,0.6978021978021978
2,entropy,4,1502,0.623076923076923
2,entropy,5,1502,0.8904109589041096
2,entropy,6,1502,0.3018867924528302
2,entropy,7,1502,0.9052132701421801
2,entropy,8,1502,0.8116883116883117
2,entropy,9,1502,0.8359133126934984
