seed,method,n_iter,dataset,value
0,random,0,1590,1.0
0,random,1,1590,0.8421052631578947
0,random,2,1590,0.8333333333333333
0,random,3,1590,0.8265306122448979
0,random,4,1590,0.7909090909090909
0,random,5,1590,0.7596244131455399
0,random,6,1590,0.7236412521605531
0,random,7,1590,0.7490929990301375
0,random,8,1590,0.7469325153374233
0,random,9,1590,0.7299661594419761
0,margin,0,1590,1.0
0,margin,1,1590,0.9776119402985074
0,margin,2,1590,0.9308845577211394
0,margin,3,1590,0.9083034181364132
0,margin,4,1590,0.802579365079365
0,margin,5,1590,0.8830915893598481
0,margin,6,1590,0.8403061224489796
0,margin,7,1590,0.816382589097056
0,margin,8,1590,0.7989663572322074
0,margin,9,1590,0.8092638993534369
0,confidence,0,1590,1.0
0,confidence,1,1590,0.9776119402985074
0,confidence,2,1590,0.9308845577211394
0,confidence,3,1590,0.9083034181364132
0,confidence,4,1590,0.802579365079365
0,confidence,5,1590,0.8830915893598481
0,confidence,6,1590,0.8403061224489796
0,confidence,7,1590,0.816382589097056
0,confidence,8,1590,0.7989663572322074
0,confidence,9,1590,0.8092638993534369
0,entropy,0,1590,1.0
0,entropy,1,1590,0.9776119402985074
0,entropy,2,1590,0.9308845577211394
0,entropy,3,1590,0.9083034181364132
0,entropy,4,1590,0.802579365079365
0,entropy,5,1590,0.8830915893598481
0,entropy,6,1590,0.8403061224489796
0,entropy,7,1590,0.816382589097056
0,entropy,8,1590,0.7989663572322074
0,entropy,9,1590,0.8092638993534369
0,kmeans,0,1590,1.0
0,kmeans,1,1590,0.8809523809523809
0,kmeans,2,1590,0.8816964285714285
0,kmeans,3,1590,0.8726338958180484
0,kmeans,4,1590,0.838888888888889
0,kmeans,5,1590,0.83071041733036
0,kmeans,6,1590,0.8333333333333334
0,kmeans,7,1590,0.8315972222222221
0,kmeans,8,1590,0.8193146417445483
0,kmeans,9,1590,0.8308759563694765
0,wkmeans,0,1590,1.0
0,wkmeans,1,1590,0.975295934122491
0,wkmeans,2,1590,0.8854166666666667
0,wkmeans,3,1590,0.8861501050071847
0,wkmeans,4,1590,0.8745791245791245
0,wkmeans,5,1590,0.8424922600619195
0,wkmeans,6,1590,0.8344497607655502
0,wkmeans,7,1590,0.809687220247945
0,wkmeans,8,1590,0.8172211266398011
0,wkmeans,9,1590,0.7877621587809074
0,iwkmeans,0,1590,1.0
0,iwkmeans,1,1590,0.9672131147540984
0,iwkmeans,2,1590,0.9016282225237449
0,iwkmeans,3,1590,0.8555221888555221
0,iwkmeans,4,1590,0.8487639190419498
0,iwkmeans,5,1590,0.8193473193473194
0,iwkmeans,6,1590,0.811641876430206
0,iwkmeans,7,1590,0.7948661753828452
0,iwkmeans,8,1590,0.7998493327593628
0,iwkmeans,9,1590,0.7929411764705883
