seed,method,n_iter,dataset,value
0,random,1,40922,0.19886363636363635
0,random,2,40922,0.09090909090909091
0,random,3,40922,0.019886363636363636
0,random,4,40922,0.03636363636363636
0,random,5,40922,0.028409090909090908
0,random,6,40922,0.021103896103896104
0,random,7,40922,0.017045454545454544
0,random,8,40922,0.015151515151515152
0,random,9,40922,0.022727272727272728
0,margin,1,40922,0.3181818181818182
0,margin,2,40922,0.32196969696969696
0,margin,3,40922,0.19886363636363635
0,margin,4,40922,0.08636363636363636
0,margin,5,40922,0.13636363636363635
0,margin,6,40922,0.06655844155844155
0,margin,7,40922,0.09517045454545454
0,margin,8,40922,0.09343434343434344
0,margin,9,40922,0.07840909090909091
0,confidence,1,40922,0.3181818181818182
0,confidence,2,40922,0.32196969696969696
0,confidence,3,40922,0.19886363636363635
0,confidence,4,40922,0.08636363636363636
0,confidence,5,40922,0.13636363636363635
0,confidence,6,40922,0.06655844155844155
0,confidence,7,40922,0.09517045454545454
0,confidence,8,40922,0.09343434343434344
0,confidence,9,40922,0.07840909090909091
0,entropy,1,40922,0.3181818181818182
0,entropy,2,40922,0.32196969696969696
0,entropy,3,40922,0.19886363636363635
0,entropy,4,40922,0.08636363636363636
0,entropy,5,40922,0.13636363636363635
0,entropy,6,40922,0.06655844155844155
0,entropy,7,40922,0.09517045454545454
0,entropy,8,40922,0.09343434343434344
0,entropy,9,40922,0.07840909090909091
0,kmeans,1,40922,0.19886363636363635
0,kmeans,2,40922,0.04924242424242424
0,kmeans,3,40922,0.05397727272727273
0,kmeans,4,40922,0.006818181818181818
0,kmeans,5,40922,0.013257575757575758
0,kmeans,6,40922,0.016233766233766232
0,kmeans,7,40922,0.018465909090909092
0,kmeans,8,40922,0.015151515151515152
0,kmeans,9,40922,0.00909090909090909
0,wkmeans,1,40922,0.23863636363636365
0,wkmeans,2,40922,0.24242424242424243
0,wkmeans,3,40922,0.11363636363636363
0,wkmeans,4,40922,0.10454545454545454
0,wkmeans,5,40922,0.08901515151515152
0,wkmeans,6,40922,0.11038961038961038
0,wkmeans,7,40922,0.07954545454545454
0,wkmeans,8,40922,0.0707070707070707
0,wkmeans,9,40922,0.05454545454545454
1,random,1,40922,0.14204545454545456
1,random,2,40922,0.06439393939393939
1,random,3,40922,0.05113636363636364
1,random,4,40922,0.038636363636363635
1,random,5,40922,0.030303030303030304
1,random,6,40922,0.01948051948051948
1,random,7,40922,0.03551136363636364
1,random,8,40922,0.013888888888888888
1,random,9,40922,0.022727272727272728
1,margin,1,40922,0.26136363636363635
1,margin,2,40922,0.2765151515151515
1,margin,3,40922,0.14772727272727273
1,margin,4,40922,0.08181818181818182
1,margin,5,40922,0.07007575757575757
1,margin,6,40922,0.07142857142857142
1,margin,7,40922,0.06960227272727272
1,margin,8,40922,0.04671717171717172
1,margin,9,40922,0.05568181818181818
1,confidence,1,40922,0.26136363636363635
1,confidence,2,40922,0.2765151515151515
1,confidence,3,40922,0.14772727272727273
1,confidence,4,40922,0.08181818181818182
1,confidence,5,40922,0.07007575757575757
1,confidence,6,40922,0.07142857142857142
1,confidence,7,40922,0.06960227272727272
1,confidence,8,40922,0.04671717171717172
1,confidence,9,40922,0.05568181818181818
1,entropy,1,40922,0.26136363636363635
1,entropy,2,40922,0.2765151515151515
1,entropy,3,40922,0.14772727272727273
1,entropy,4,40922,0.08181818181818182
1,entropy,5,40922,0.07007575757575757
1,entropy,6,40922,0.07142857142857142
1,entropy,7,40922,0.06960227272727272
1,entropy,8,40922,0.04671717171717172
1,entropy,9,40922,0.05568181818181818
1,kmeans,1,40922,0.09090909090909091
1,kmeans,2,40922,0.04924242424242424
1,kmeans,3,40922,0.045454545454545456
1,kmeans,4,40922,0.022727272727272728
1,kmeans,5,40922,0.01893939393939394
