seed,type,index
0,1,243
0,1,683
0,1,774
0,1,2178
0,1,2544
0,1,4082
0,1,6877
0,1,7822
0,1,8242
0,1,8662
0,1,8679
0,1,8697
0,1,9436
0,1,10028
0,1,10575
0,1,13123
0,1,13142
0,1,15733
0,1,16045
0,1,17665
0,1,17951
0,1,18508
0,1,19367
0,1,19674
0,1,21091
0,1,22605
0,1,23210
0,1,25434
0,1,25946
0,1,26010
0,1,26736
0,1,26763
0,1,28458
0,1,28489
0,1,30920
0,1,31243
0,1,31483
0,1,32447
0,1,32900
0,1,33048
0,1,33809
0,1,34605
0,1,35203
0,1,35460
0,1,35758
0,1,35975
0,1,36197
0,1,38964
0,1,40616
0,1,40953
0,1,41422
0,1,42628
0,1,45163
0,1,46005
0,1,47810
0,1,49142
0,1,49304
0,1,50564
0,1,54157
0,1,54478
0,1,54524
0,1,56205
0,1,56393
0,1,58893
0,1,59474
0,1,59703
0,1,61223
0,1,62102
0,1,62410
0,1,68117
0,1,68492
0,1,68641
0,1,69825
0,1,71546
0,1,72960
0,1,75987
0,1,79204
0,1,79410
0,1,81272
0,1,81303
0,1,81549
0,1,82392
0,1,82964
0,1,84487
0,1,85334
0,1,85624
0,1,85820
0,1,86410
0,2,10
0,2,11
0,2,13
0,2,19
0,2,21
0,2,26
0,2,30
0,2,41
0,2,43
0,2,49
0,2,52
0,2,55
0,2,63
0,2,73
0,2,75
0,2,77
0,2,80
0,2,81
0,2,93
0,2,95
0,2,99
0,2,100
0,2,102
0,2,104
0,2,106
0,2,107
0,2,108
0,2,110
0,2,111
0,2,113
0,2,117
0,2,120
0,2,128
0,2,131
0,2,132
0,2,160
0,2,161
0,2,163
0,2,171
0,2,177
0,2,184
0,2,195
0,2,197
0,2,199
0,2,207
0,2,211
0,2,213
0,2,215
0,2,227
0,2,228
0,2,239
0,2,244
0,2,259
0,2,266
0,2,279
0,2,285
0,2,288
0,2,305
0,2,315
0,2,326
0,2,327
0,2,328
0,2,330
0,2,336
0,2,337
0,2,344
0,2,357
0,2,358
0,2,359
0,2,363
0,2,365
0,2,367
0,2,368
0,2,370
0,2,372
0,2,374
0,2,375
0,2,383
0,2,386
0,2,388
0,2,389
0,2,391
0,2,401
0,2,404
0,2,409
0,2,421
0,2,423
0,2,430
0,2,432
0,2,440
0,2,442
0,2,447
0,2,453
0,2,458
0,2,469
0,2,471
0,2,483
0,2,490
0,2,492
0,2,493
0,2,494
0,2,502
0,2,504
0,2,508
0,2,511
0,2,515
0,2,523
0,2,535
0,2,540
0,2,559
0,2,563
0,2,564
0,2,585
0,2,586
0,2,592
0,2,603
0,2,607
0,2,609
0,2,611
0,2,612
0,2,627
0,2,636
0,2,645
0,2,646
0,2,647
0,2,648
0,2,653
0,2,656
0,2,668
0,2,673
0,2,677
0,2,685
0,2,687
0,2,689
0,2,710
0,2,711
0,2,715
0,2,720
0,2,726
0,2,731
0,2,736
0,2,739
0,2,741
0,2,742
0,2,744
0,2,746
0,2,750
0,2,755
0,2,759
0,2,760
0,2,765
0,2,768
0,2,776
0,2,786
0,2,787
0,2,790
