seed,method,n_iter,dataset,value
0,random,0,41138,1.0
0,random,1,41138,1.0
0,random,2,41138,1.0
0,random,3,41138,1.0
0,random,4,41138,1.0
0,random,5,41138,1.0
0,random,6,41138,1.0
0,random,7,41138,1.0
0,random,8,41138,1.0
0,random,9,41138,1.0
0,margin,0,41138,1.0
0,margin,1,41138,1.0
0,margin,2,41138,1.0
0,margin,3,41138,1.0
0,margin,4,41138,0.9973684210526316
0,margin,5,41138,1.0
0,margin,6,41138,0.9962406015037594
0,margin,7,41138,0.9917763157894736
0,margin,8,41138,0.9970760233918128
0,margin,9,41138,0.9973684210526316
0,confidence,0,41138,1.0
0,confidence,1,41138,1.0
0,confidence,2,41138,1.0
0,confidence,3,41138,1.0
0,confidence,4,41138,0.9973684210526316
0,confidence,5,41138,1.0
0,confidence,6,41138,0.9962406015037594
0,confidence,7,41138,0.9917763157894736
0,confidence,8,41138,0.9970760233918128
0,confidence,9,41138,0.9973684210526316
0,entropy,0,41138,1.0
0,entropy,1,41138,1.0
0,entropy,2,41138,1.0
0,entropy,3,41138,1.0
0,entropy,4,41138,0.9973684210526316
0,entropy,5,41138,1.0
0,entropy,6,41138,0.9962406015037594
0,entropy,7,41138,0.9917763157894736
0,entropy,8,41138,0.9970760233918128
0,entropy,9,41138,0.9973684210526316
0,kmeans,0,41138,1.0
0,kmeans,1,41138,1.0
0,kmeans,2,41138,1.0
0,kmeans,3,41138,1.0
0,kmeans,4,41138,1.0
0,kmeans,5,41138,1.0
0,kmeans,6,41138,1.0
0,kmeans,7,41138,1.0
0,kmeans,8,41138,1.0
0,kmeans,9,41138,1.0
0,wkmeans,0,41138,1.0
0,wkmeans,1,41138,1.0
0,wkmeans,2,41138,1.0
0,wkmeans,3,41138,1.0
0,wkmeans,4,41138,1.0
0,wkmeans,5,41138,0.9978070175438596
0,wkmeans,6,41138,0.9962406015037594
0,wkmeans,7,41138,1.0
0,wkmeans,8,41138,0.9926900584795322
0,wkmeans,9,41138,0.9947368421052633
0,iwkmeans,0,41138,1.0
0,iwkmeans,1,41138,1.0
0,iwkmeans,2,41138,1.0
0,iwkmeans,3,41138,1.0
0,iwkmeans,4,41138,0.9973684210526316
0,iwkmeans,5,41138,0.9956140350877192
0,iwkmeans,6,41138,0.9962406015037594
0,iwkmeans,7,41138,0.993421052631579
0,iwkmeans,8,41138,0.9941520467836256
0,iwkmeans,9,41138,0.9802631578947368
0,kcenter,0,41138,1.0
0,kcenter,1,41138,1.0
0,kcenter,2,41138,1.0
0,kcenter,3,41138,1.0
0,kcenter,4,41138,0.9973684210526316
0,kcenter,5,41138,0.9890350877192984
0,kcenter,6,41138,0.9830827067669172
0,kcenter,7,41138,0.975328947368421
0,kcenter,8,41138,0.9707602339181286
0,kcenter,9,41138,0.968421052631579
1,random,0,41138,1.0
1,random,1,41138,1.0
1,random,2,41138,1.0
1,random,3,41138,1.0
1,random,4,41138,1.0
1,random,5,41138,1.0
1,random,6,41138,1.0
1,random,7,41138,1.0
1,random,8,41138,1.0
1,random,9,41138,1.0
1,margin,0,41138,1.0
1,margin,1,41138,1.0
1,margin,2,41138,1.0
1,margin,3,41138,1.0
1,margin,4,41138,0.9973684210526316
1,margin,5,41138,0.9978070175438596
1,margin,6,41138,0.9962406015037594
1,margin,7,41138,0.9983552631578948
1,margin,8,41138,0.9970760233918128
1,margin,9,41138,0.9973684210526316
1,confidence,0,41138,1.0
1,confidence,1,41138,1.0
1,confidence,2,41138,1.0
1,confidence,3,41138,1.0
1,confidence,4,41138,0.9973684210526316
1,confidence,5,41138,0.9978070175438596
1,confidence,6,41138,0.9962406015037594
1,confidence,7,41138,0.9983552631578948
1,confidence,8,41138,0.9970760233918128
1,confidence,9,41138,0.9973684210526316
1,entropy,0,41138,1.0
1,entropy,1,41138,1.0
1,entropy,2,41138,1.0
1,entropy,3,41138,1.0
1,entropy,4,41138,0.9973684210526316
1,entropy,5,41138,0.9978070175438596
1,entropy,6,41138,0.9962406015037594
1,entropy,7,41138,0.9983552631578948
1,entropy,8,41138,0.9970760233918128
1,entropy,9,41138,0.9973684210526316
1,kmeans,0,41138,1.0
1,kmeans,1,41138,1.0
1,kmeans,2,41138,1.0
1,kmeans,3,41138,1.0
1,kmeans,4,41138,1.0
1,kmeans,5,41138,1.0
1,kmeans,6,41138,1.0
1,kmeans,7,41138,1.0
1,kmeans,8,41138,1.0
1,kmeans,9,41138,1.0
1,wkmeans,0,41138,1.0
1,wkmeans,1,41138,1.0
1,wkmeans,2,41138,1.0
1,wkmeans,3,41138,1.0
1,wkmeans,4,41138,1.0
1,wkmeans,5,41138,1.0
1,wkmeans,6,41138,1.0
1,wkmeans,7,41138,0.9967105263157896
1,wkmeans,8,41138,0.9970760233918128
1,wkmeans,9,41138,0.9986842105263158
1,iwkmeans,0,41138,1.0
1,iwkmeans,1,41138,1.0
1,iwkmeans,2,41138,0.9956140350877192
1,iwkmeans,3,41138,1.0
1,iwkmeans,4,41138,1.0
1,iwkmeans,5,41138,0.9978070175438596
1,iwkmeans,6,41138,1.0
1,iwkmeans,7,41138,1.0
1,iwkmeans,8,41138,0.9970760233918128
1,iwkmeans,9,41138,0.9907894736842106
1,kcenter,0,41138,1.0
1,kcenter,1,41138,1.0
1,kcenter,2,41138,1.0
1,kcenter,3,41138,0.986842105263158
1,kcenter,4,41138,0.9789473684210528
1,kcenter,5,41138,0.975877192982456
1,kcenter,6,41138,0.9736842105263158
1,kcenter,7,41138,0.9671052631578948
1,kcenter,8,41138,0.9649122807017544
1,kcenter,9,41138,0.9592105263157896
2,random,0,41138,1.0
2,random,1,41138,1.0
2,random,2,41138,1.0
2,random,3,41138,1.0
2,random,4,41138,1.0
2,random,5,41138,1.0
2,random,6,41138,1.0
2,random,7,41138,1.0
2,random,8,41138,1.0
2,random,9,41138,1.0
2,margin,0,41138,1.0
2,margin,1,41138,1.0
2,margin,2,41138,1.0
2,margin,3,41138,1.0
2,margin,4,41138,1.0
2,margin,5,41138,0.9956140350877192
2,margin,6,41138,0.9924812030075189
2,margin,7,41138,0.993421052631579
2,margin,8,41138,0.9970760233918128
2,margin,9,41138,0.9947368421052633
2,confidence,0,41138,1.0
2,confidence,1,41138,1.0
2,confidence,2,41138,1.0
2,confidence,3,41138,1.0
2,confidence,4,41138,1.0
2,confidence,5,41138,0.9956140350877192
2,confidence,6,41138,0.9924812030075189
2,confidence,7,41138,0.993421052631579
2,confidence,8,41138,0.9970760233918128
2,confidence,9,41138,0.9947368421052633
2,entropy,0,41138,1.0
2,entropy,1,41138,1.0
2,entropy,2,41138,1.0
2,entropy,3,41138,1.0
2,entropy,4,41138,1.0
2,entropy,5,41138,0.9956140350877192
2,entropy,6,41138,0.9924812030075189
2,entropy,7,41138,0.993421052631579
2,entropy,8,41138,0.9970760233918128
2,entropy,9,41138,0.9947368421052633
2,kmeans,0,41138,1.0
2,kmeans,1,41138,1.0
2,kmeans,2,41138,1.0
2,kmeans,3,41138,1.0
2,kmeans,4,41138,1.0
2,kmeans,5,41138,1.0
2,kmeans,6,41138,1.0
2,kmeans,7,41138,1.0
2,kmeans,8,41138,1.0
2,kmeans,9,41138,1.0
2,wkmeans,0,41138,1.0
2,wkmeans,1,41138,1.0
2,wkmeans,2,41138,1.0
2,wkmeans,3,41138,1.0
2,wkmeans,4,41138,1.0
2,wkmeans,5,41138,1.0
2,wkmeans,6,41138,0.9981203007518796
2,wkmeans,7,41138,0.9950657894736842
2,wkmeans,8,41138,0.986842105263158
2,wkmeans,9,41138,0.9855263157894736
2,iwkmeans,0,41138,1.0
2,iwkmeans,1,41138,1.0
2,iwkmeans,2,41138,1.0
2,iwkmeans,3,41138,1.0
2,iwkmeans,4,41138,0.9973684210526316
2,iwkmeans,5,41138,1.0
2,iwkmeans,6,41138,0.9962406015037594
2,iwkmeans,7,41138,0.9917763157894736
2,iwkmeans,8,41138,0.9853801169590644
2,iwkmeans,9,41138,0.9802631578947368
2,kcenter,0,41138,1.0
2,kcenter,1,41138,1.0
2,kcenter,2,41138,1.0
2,kcenter,3,41138,0.993421052631579
2,kcenter,4,41138,0.986842105263158
2,kcenter,5,41138,0.9846491228070176
2,kcenter,6,41138,0.9718045112781954
2,kcenter,7,41138,0.975328947368421
2,kcenter,8,41138,0.966374269005848
2,kcenter,9,41138,0.9710526315789474
3,random,0,41138,1.0
3,random,1,41138,1.0
3,random,2,41138,1.0
3,random,3,41138,1.0
3,random,4,41138,1.0
3,random,5,41138,1.0
3,random,6,41138,1.0
3,random,7,41138,1.0
3,random,8,41138,1.0
3,random,9,41138,1.0
3,margin,0,41138,1.0
3,margin,1,41138,1.0
3,margin,2,41138,1.0
3,margin,3,41138,1.0
3,margin,4,41138,1.0
3,margin,5,41138,0.9956140350877192
3,margin,6,41138,0.9962406015037594
3,margin,7,41138,0.9983552631578948
3,margin,8,41138,0.9956140350877192
3,margin,9,41138,0.9960526315789474
3,confidence,0,41138,1.0
3,confidence,1,41138,1.0
3,confidence,2,41138,1.0
3,confidence,3,41138,1.0
3,confidence,4,41138,1.0
3,confidence,5,41138,0.9956140350877192
3,confidence,6,41138,0.9962406015037594
3,confidence,7,41138,0.9983552631578948
3,confidence,8,41138,0.9956140350877192
3,confidence,9,41138,0.9960526315789474
3,entropy,0,41138,1.0
3,entropy,1,41138,1.0
3,entropy,2,41138,1.0
3,entropy,3,41138,1.0
3,entropy,4,41138,1.0
3,entropy,5,41138,0.9956140350877192
3,entropy,6,41138,0.9962406015037594
3,entropy,7,41138,0.9983552631578948
3,entropy,8,41138,0.9956140350877192
3,entropy,9,41138,0.9960526315789474
3,kmeans,0,41138,1.0
3,kmeans,1,41138,1.0
3,kmeans,2,41138,1.0
3,kmeans,3,41138,1.0
3,kmeans,4,41138,1.0
3,kmeans,5,41138,1.0
3,kmeans,6,41138,1.0
3,kmeans,7,41138,1.0
3,kmeans,8,41138,1.0
3,kmeans,9,41138,1.0
3,wkmeans,0,41138,1.0
3,wkmeans,1,41138,1.0
3,wkmeans,2,41138,1.0
3,wkmeans,3,41138,1.0
3,wkmeans,4,41138,1.0
3,wkmeans,5,41138,1.0
3,wkmeans,6,41138,1.0
3,wkmeans,7,41138,0.9967105263157896
3,wkmeans,8,41138,0.9970760233918128
3,wkmeans,9,41138,0.9960526315789474
3,iwkmeans,0,41138,1.0
3,iwkmeans,1,41138,1.0
3,iwkmeans,2,41138,1.0
3,iwkmeans,3,41138,1.0
3,iwkmeans,4,41138,1.0
3,iwkmeans,5,41138,0.993421052631579
3,iwkmeans,6,41138,0.9962406015037594
3,iwkmeans,7,41138,0.9901315789473684
3,iwkmeans,8,41138,0.9824561403508772
3,iwkmeans,9,41138,0.9815789473684212
3,kcenter,0,41138,1.0
3,kcenter,1,41138,1.0
3,kcenter,2,41138,1.0
3,kcenter,3,41138,0.9967105263157896
3,kcenter,4,41138,0.9842105263157894
3,kcenter,5,41138,0.9890350877192984
3,kcenter,6,41138,0.9830827067669172
3,kcenter,7,41138,0.9736842105263158
3,kcenter,8,41138,0.9780701754385964
3,kcenter,9,41138,0.9697368421052632
4,random,0,41138,1.0
4,random,1,41138,1.0
4,random,2,41138,1.0
4,random,3,41138,1.0
4,random,4,41138,1.0
4,random,5,41138,1.0
4,random,6,41138,1.0
4,random,7,41138,1.0
4,random,8,41138,1.0
4,random,9,41138,1.0
4,margin,0,41138,1.0
4,margin,1,41138,1.0
4,margin,2,41138,1.0
4,margin,3,41138,1.0
4,margin,4,41138,0.9973684210526316
4,margin,5,41138,1.0
4,margin,6,41138,1.0
4,margin,7,41138,1.0
4,margin,8,41138,1.0
4,margin,9,41138,1.0
4,confidence,0,41138,1.0
4,confidence,1,41138,1.0
4,confidence,2,41138,1.0
4,confidence,3,41138,1.0
4,confidence,4,41138,0.9973684210526316
4,confidence,5,41138,1.0
4,confidence,6,41138,1.0
4,confidence,7,41138,1.0
4,confidence,8,41138,1.0
4,confidence,9,41138,1.0
4,entropy,0,41138,1.0
4,entropy,1,41138,1.0
4,entropy,2,41138,1.0
4,entropy,3,41138,1.0
4,entropy,4,41138,0.9973684210526316
4,entropy,5,41138,1.0
4,entropy,6,41138,1.0
4,entropy,7,41138,1.0
4,entropy,8,41138,1.0
4,entropy,9,41138,1.0
4,kmeans,0,41138,1.0
4,kmeans,1,41138,1.0
4,kmeans,2,41138,1.0
4,kmeans,3,41138,1.0
4,kmeans,4,41138,1.0
4,kmeans,5,41138,1.0
4,kmeans,6,41138,1.0
