seed,method,n_iter,dataset,value
0,random,1,41138,0.006578947368421052
0,random,2,41138,0.0087719298245614
0,random,3,41138,0.006578947368421
0,random,4,41138,0.0
0,random,5,41138,0.0021929824561403
0,random,6,41138,0.0018796992481203
0,random,7,41138,0.0049342105263157
0,random,8,41138,0.0029239766081871
0,random,9,41138,0.0026315789473684
0,margin,1,41138,0.34210526315789475
0,margin,2,41138,0.1491228070175438
0,margin,3,41138,0.1414473684210526
0,margin,4,41138,0.0868421052631579
0,margin,5,41138,0.0701754385964912
0,margin,6,41138,0.0695488721804511
0,margin,7,41138,0.0657894736842105
0,margin,8,41138,0.0584795321637426
0,margin,9,41138,0.05
0,confidence,1,41138,0.34210526315789475
0,confidence,2,41138,0.1491228070175438
0,confidence,3,41138,0.1414473684210526
0,confidence,4,41138,0.0868421052631579
0,confidence,5,41138,0.0701754385964912
0,confidence,6,41138,0.0695488721804511
0,confidence,7,41138,0.0657894736842105
0,confidence,8,41138,0.0584795321637426
0,confidence,9,41138,0.05
0,entropy,1,41138,0.34210526315789475
0,entropy,2,41138,0.1491228070175438
0,entropy,3,41138,0.1414473684210526
0,entropy,4,41138,0.0868421052631579
0,entropy,5,41138,0.0701754385964912
0,entropy,6,41138,0.0695488721804511
0,entropy,7,41138,0.0657894736842105
0,entropy,8,41138,0.0584795321637426
0,entropy,9,41138,0.05
0,kmeans,1,41138,0.02631578947368421
0,kmeans,2,41138,0.0043859649122807
0,kmeans,3,41138,0.0098684210526315
0,kmeans,4,41138,0.0078947368421052
0,kmeans,5,41138,0.0043859649122807
0,kmeans,6,41138,0.0037593984962406
0,kmeans,7,41138,0.0016447368421052
0,kmeans,8,41138,0.0029239766081871
0,kmeans,9,41138,0.0013157894736842
0,wkmeans,1,41138,0.26973684210526316
0,wkmeans,2,41138,0.1842105263157894
0,wkmeans,3,41138,0.0822368421052631
0,wkmeans,4,41138,0.0552631578947368
0,wkmeans,5,41138,0.0614035087719298
0,wkmeans,6,41138,0.0319548872180451
0,wkmeans,7,41138,0.0394736842105263
0,wkmeans,8,41138,0.0307017543859649
0,wkmeans,9,41138,0.0276315789473684
0,iwkmeans,1,41138,0.26973684210526316
0,iwkmeans,2,41138,0.175438596491228
0,iwkmeans,3,41138,0.0953947368421052
0,iwkmeans,4,41138,0.0447368421052631
0,iwkmeans,5,41138,0.0635964912280701
0,iwkmeans,6,41138,0.0338345864661654
0,iwkmeans,7,41138,0.0279605263157894
0,iwkmeans,8,41138,0.0453216374269005
0,iwkmeans,9,41138,0.0368421052631578
0,kcenter,1,41138,0.32894736842105265
0,kcenter,2,41138,0.1710526315789473
0,kcenter,3,41138,0.0723684210526315
0,kcenter,4,41138,0.0421052631578947
0,kcenter,5,41138,0.0131578947368421
0,kcenter,6,41138,0.018796992481203
0,kcenter,7,41138,0.0098684210526315
0,kcenter,8,41138,0.0073099415204678
0,kcenter,9,41138,0.0052631578947368
1,random,1,41138,0.0328947368421052
1,random,2,41138,0.0043859649122807
1,random,3,41138,0.006578947368421
1,random,4,41138,0.0105263157894736
1,random,5,41138,0.0021929824561403
1,random,6,41138,0.0018796992481203
1,random,7,41138,0.0032894736842105
1,random,8,41138,0.0029239766081871
1,random,9,41138,0.0
1,margin,1,41138,0.125
1,margin,2,41138,0.1578947368421052
1,margin,3,41138,0.131578947368421
1,margin,4,41138,0.1
1,margin,5,41138,0.0855263157894736
1,margin,6,41138,0.0676691729323308
1,margin,7,41138,0.0493421052631578
1,margin,8,41138,0.0380116959064327
1,margin,9,41138,0.0355263157894736
1,confidence,1,41138,0.125
1,confidence,2,41138,0.1578947368421052
1,confidence,3,41138,0.131578947368421
1,confidence,4,41138,0.1
1,confidence,5,41138,0.0855263157894736
1,confidence,6,41138,0.0676691729323308
1,confidence,7,41138,0.0493421052631578
1,confidence,8,41138,0.0380116959064327
1,confidence,9,41138,0.0355263157894736
1,entropy,1,41138,0.125
1,entropy,2,41138,0.1578947368421052
1,entropy,3,41138,0.131578947368421
1,entropy,4,41138,0.1
1,entropy,5,41138,0.0855263157894736
1,entropy,6,41138,0.0676691729323308
1,entropy,7,41138,0.0493421052631578
1,entropy,8,41138,0.0380116959064327
1,entropy,9,41138,0.0355263157894736
1,kmeans,1,41138,0.0131578947368421
1,kmeans,2,41138,0.0043859649122807
1,kmeans,3,41138,0.0
1,kmeans,4,41138,0.0026315789473684
1,kmeans,5,41138,0.006578947368421
1,kmeans,6,41138,0.0018796992481203
1,kmeans,7,41138,0.0016447368421052
1,kmeans,8,41138,0.0014619883040935
1,kmeans,9,41138,0.0026315789473684
1,wkmeans,1,41138,0.2828947368421052
1,wkmeans,2,41138,0.1184210526315789
1,wkmeans,3,41138,0.0789473684210526
1,wkmeans,4,41138,0.0657894736842105
1,wkmeans,5,41138,0.0548245614035087
