seed,method,n_iter,dataset,value
0,random,1,42395,0.045
0,random,2,42395,0.015
0,random,3,42395,0.005
0,random,4,42395,0.005
0,random,5,42395,0.0
0,random,6,42395,0.005
0,random,7,42395,0.0
0,random,8,42395,0.0
0,random,9,42395,0.0
0,margin,1,42395,0.455
0,margin,2,42395,0.365
0,margin,3,42395,0.43
0,margin,4,42395,0.48
0,margin,5,42395,0.45
0,margin,6,42395,0.42
0,margin,7,42395,0.325
0,margin,8,42395,0.51
0,margin,9,42395,0.51
0,confidence,1,42395,0.455
0,confidence,2,42395,0.365
0,confidence,3,42395,0.43
0,confidence,4,42395,0.48
0,confidence,5,42395,0.45
0,confidence,6,42395,0.42
0,confidence,7,42395,0.325
0,confidence,8,42395,0.51
0,confidence,9,42395,0.51
0,entropy,1,42395,0.455
0,entropy,2,42395,0.365
0,entropy,3,42395,0.43
0,entropy,4,42395,0.48
0,entropy,5,42395,0.45
0,entropy,6,42395,0.42
0,entropy,7,42395,0.325
0,entropy,8,42395,0.51
0,entropy,9,42395,0.51
0,kmeans,1,42395,0.0
0,kmeans,2,42395,0.02
0,kmeans,3,42395,0.0
0,kmeans,4,42395,0.015
0,kmeans,5,42395,0.01
0,kmeans,6,42395,0.0
0,kmeans,7,42395,0.0
0,kmeans,8,42395,0.0
0,kmeans,9,42395,0.0
0,wkmeans,1,42395,0.285
0,wkmeans,2,42395,0.245
0,wkmeans,3,42395,0.125
0,wkmeans,4,42395,0.12
0,wkmeans,5,42395,0.085
0,wkmeans,6,42395,0.095
0,wkmeans,7,42395,0.075
0,wkmeans,8,42395,0.125
0,wkmeans,9,42395,0.11
0,iwkmeans,1,42395,0.155
0,iwkmeans,2,42395,0.15
0,iwkmeans,3,42395,0.14
0,iwkmeans,4,42395,0.35
0,iwkmeans,5,42395,0.385
0,iwkmeans,6,42395,0.365
0,iwkmeans,7,42395,0.335
0,iwkmeans,8,42395,0.41
0,iwkmeans,9,42395,0.385
1,random,1,42395,0.03
1,random,2,42395,0.005
1,random,3,42395,0.02
1,random,4,42395,0.0
1,random,5,42395,0.0
1,random,6,42395,0.0
1,random,7,42395,0.0
1,random,8,42395,0.0
1,random,9,42395,0.0
1,margin,1,42395,0.505
1,margin,2,42395,0.435
1,margin,3,42395,0.46
1,margin,4,42395,0.41
1,margin,5,42395,0.5
1,margin,6,42395,0.45
1,margin,7,42395,0.395
1,margin,8,42395,0.475
1,margin,9,42395,0.475
1,confidence,1,42395,0.505
1,confidence,2,42395,0.435
1,confidence,3,42395,0.46
1,confidence,4,42395,0.41
1,confidence,5,42395,0.5
1,confidence,6,42395,0.45
1,confidence,7,42395,0.395
1,confidence,8,42395,0.475
1,confidence,9,42395,0.475
1,entropy,1,42395,0.505
1,entropy,2,42395,0.435
1,entropy,3,42395,0.46
