seed,method,n_iter,dataset,value
0,random,0,42803,0.7300275482093664
0,random,1,42803,0.7134986225895317
0,random,2,42803,0.7630853994490359
0,random,3,42803,0.7382920110192838
0,random,4,42803,0.7878787878787878
0,random,5,42803,0.7465564738292011
0,random,6,42803,0.7796143250688705
0,random,7,42803,0.7851239669421488
0,random,8,42803,0.7741046831955923
0,random,9,42803,0.8016528925619835
0,margin,0,42803,0.4793388429752066
0,margin,1,42803,0.46831955922865015
0,margin,2,42803,0.47107438016528924
0,margin,3,42803,0.46005509641873277
0,margin,4,42803,0.5206611570247934
0,margin,5,42803,0.4931129476584022
0,margin,6,42803,0.4903581267217631
0,margin,7,42803,0.4490358126721763
0,margin,8,42803,0.4820936639118457
0,margin,9,42803,0.44352617079889806
0,confidence,0,42803,0.4049586776859504
0,confidence,1,42803,0.38292011019283745
0,confidence,2,42803,0.3333333333333333
0,confidence,3,42803,0.39944903581267216
0,confidence,4,42803,0.3939393939393939
0,confidence,5,42803,0.42699724517906334
0,confidence,6,42803,0.4049586776859504
0,confidence,7,42803,0.418732782369146
0,confidence,8,42803,0.4793388429752066
0,confidence,9,42803,0.4986225895316804
0,entropy,0,42803,0.3691460055096419
0,entropy,1,42803,0.33608815426997246
0,entropy,2,42803,0.3884297520661157
0,entropy,3,42803,0.39669421487603307
0,entropy,4,42803,0.4214876033057851
0,entropy,5,42803,0.4325068870523416
0,entropy,6,42803,0.45179063360881544
0,entropy,7,42803,0.418732782369146
0,entropy,8,42803,0.40771349862258954
0,entropy,9,42803,0.4462809917355372
0,kmeans,0,42803,0.8016528925619835
0,kmeans,1,42803,0.7988980716253443
0,kmeans,2,42803,0.7713498622589532
0,kmeans,3,42803,0.7988980716253443
0,kmeans,4,42803,0.7933884297520661
0,kmeans,5,42803,0.8319559228650137
0,kmeans,6,42803,0.859504132231405
0,kmeans,7,42803,0.7961432506887053
0,kmeans,8,42803,0.8292011019283747
0,kmeans,9,42803,0.8016528925619835
0,wkmeans,0,42803,0.4986225895316804
0,wkmeans,1,42803,0.48760330578512395
0,wkmeans,2,42803,0.45179063360881544
0,wkmeans,3,42803,0.5068870523415978
0,wkmeans,4,42803,0.465564738292011
0,wkmeans,5,42803,0.5206611570247934
0,wkmeans,6,42803,0.5068870523415978
0,wkmeans,7,42803,0.48484848484848486
0,wkmeans,8,42803,0.49586776859504134
0,wkmeans,9,42803,0.4765840220385675
0,iwkmeans,0,42803,0.45454545454545453
0,iwkmeans,1,42803,0.48760330578512395
0,iwkmeans,2,42803,0.49586776859504134
0,iwkmeans,3,42803,0.5041322314049587
0,iwkmeans,4,42803,0.509641873278237
0,iwkmeans,5,42803,0.5041322314049587
0,iwkmeans,6,42803,0.5041322314049587
0,iwkmeans,7,42803,0.512396694214876
0,iwkmeans,8,42803,0.559228650137741
0,iwkmeans,9,42803,0.5151515151515151
1,random,0,42803,0.7162534435261708
1,random,1,42803,0.7134986225895317
1,random,2,42803,0.721763085399449
1,random,3,42803,0.696969696969697
1,random,4,42803,0.7741046831955923
1,random,5,42803,0.7548209366391184
1,random,6,42803,0.7713498622589532
1,random,7,42803,0.7768595041322314
1,random,8,42803,0.768595041322314
1,random,9,42803,0.8099173553719008
1,margin,0,42803,0.418732782369146
1,margin,1,42803,0.4820936639118457
1,margin,2,42803,0.4462809917355372
1,margin,3,42803,0.49586776859504134
1,margin,4,42803,0.5179063360881543
1,margin,5,42803,0.5344352617079889
1,margin,6,42803,0.4820936639118457
1,margin,7,42803,0.4793388429752066
1,margin,8,42803,0.5041322314049587
1,margin,9,42803,0.47107438016528924
1,confidence,0,42803,0.34710743801652894
1,confidence,1,42803,0.3884297520661157
1,confidence,2,42803,0.34710743801652894
1,confidence,3,42803,0.36363636363636365
1,confidence,4,42803,0.3884297520661157
1,confidence,5,42803,0.44352617079889806
1,confidence,6,42803,0.4573002754820937
1,confidence,7,42803,0.42424242424242425
1,confidence,8,42803,0.41597796143250687
1,confidence,9,42803,0.4325068870523416
1,entropy,0,42803,0.349862258953168
1,entropy,1,42803,0.39118457300275483
1,entropy,2,42803,0.36363636363636365
1,entropy,3,42803,0.3746556473829201
1,entropy,4,42803,0.3884297520661157
1,entropy,5,42803,0.41597796143250687
1,entropy,6,42803,0.4462809917355372
1,entropy,7,42803,0.42424242424242425
1,entropy,8,42803,0.418732782369146
1,entropy,9,42803,0.4132231404958678
1,kmeans,0,42803,0.7878787878787878
1,kmeans,1,42803,0.7796143250688705
1,kmeans,2,42803,0.8044077134986226
1,kmeans,3,42803,0.7878787878787878
1,kmeans,4,42803,0.8347107438016529
1,kmeans,5,42803,0.8071625344352618
1,kmeans,6,42803,0.7713498622589532
1,kmeans,7,42803,0.837465564738292
