seed,method,n_iter,dataset,value
0,random,0,42803,1.438604310362052
0,random,1,42803,3.136072863752279
0,random,2,42803,5.113171558265362
0,random,3,42803,6.69849849853652
0,random,4,42803,8.289954789823861
0,random,5,42803,9.96049553671139
0,random,6,42803,11.673759255248772
0,random,7,42803,13.509113062080068
0,random,8,42803,15.115761143908841
0,random,9,42803,16.554158349436403
0,margin,0,42803,1.438604310362052
0,margin,1,42803,3.045622336034986
0,margin,2,42803,4.665661962946604
0,margin,3,42803,6.327934515052858
0,margin,4,42803,7.795650293211827
0,margin,5,42803,9.814357932735247
0,margin,6,42803,11.635106395963493
0,margin,7,42803,13.239352868313151
0,margin,8,42803,14.596904585791535
0,margin,9,42803,16.421302262324787
0,confidence,0,42803,1.438604310362052
0,confidence,1,42803,2.9983000789998666
0,confidence,2,42803,4.551108745345486
0,confidence,3,42803,6.236314533374108
0,confidence,4,42803,7.791366343774877
0,confidence,5,42803,9.231221476139563
0,confidence,6,42803,10.57010315176635
0,confidence,7,42803,12.237228411351843
0,confidence,8,42803,13.709611242628185
0,confidence,9,42803,15.31668491398662
0,entropy,0,42803,1.438604310362052
0,entropy,1,42803,3.032082872706305
0,entropy,2,42803,4.539720742232507
0,entropy,3,42803,6.011789395659933
0,entropy,4,42803,7.5563972764349945
0,entropy,5,42803,9.025430189851816
0,entropy,6,42803,10.471579465266316
0,entropy,7,42803,11.854404420375795
0,entropy,8,42803,13.710768539634335
0,entropy,9,42803,15.011864705417135
0,kmeans,0,42803,1.438604310362052
0,kmeans,1,42803,3.1359046022514274
0,kmeans,2,42803,4.715722303406423
0,kmeans,3,42803,6.30824779681482
0,kmeans,4,42803,8.00897113040227
0,kmeans,5,42803,9.471560028853073
0,kmeans,6,42803,10.88848129299627
0,kmeans,7,42803,12.612117949629434
0,kmeans,8,42803,13.951288307182871
0,kmeans,9,42803,15.813658587512844
0,wkmeans,0,42803,1.438604310362052
0,wkmeans,1,42803,3.2226541529768067
0,wkmeans,2,42803,4.869458646457387
0,wkmeans,3,42803,6.546946473018188
0,wkmeans,4,42803,8.135518835753524
0,wkmeans,5,42803,9.501481030644861
0,wkmeans,6,42803,10.868950161874347
0,wkmeans,7,42803,12.26908944152505
0,wkmeans,8,42803,13.616655441300772
0,wkmeans,9,42803,15.186639418948891
0,iwkmeans,0,42803,1.438604310362052
0,iwkmeans,1,42803,3.1012760319017203
0,iwkmeans,2,42803,4.891174863273204
0,iwkmeans,3,42803,6.590994560448299
0,iwkmeans,4,42803,8.325344466708605
0,iwkmeans,5,42803,10.002340626833792
0,iwkmeans,6,42803,12.181231689305077
0,iwkmeans,7,42803,13.59692794580344
0,iwkmeans,8,42803,15.198813045222618
0,iwkmeans,9,42803,16.98612324960769
1,random,0,42803,1.4645374716654003
1,random,1,42803,3.245669666590657
1,random,2,42803,5.053798316383971
1,random,3,42803,6.849545782103366
1,random,4,42803,8.42681405481199
1,random,5,42803,10.294004939710776
1,random,6,42803,11.783072712873425
1,random,7,42803,13.280281171350595
1,random,8,42803,15.234719744195608
1,random,9,42803,16.945701106456013
1,margin,0,42803,1.4645374716654003
1,margin,1,42803,3.1527542505860877
1,margin,2,42803,4.818510094259852
1,margin,3,42803,6.212355942710192
1,margin,4,42803,7.585641839820227
1,margin,5,42803,9.32983736109565
1,margin,6,42803,10.899389626476372
1,margin,7,42803,12.196131645765943
1,margin,8,42803,13.991662963595449
1,margin,9,42803,15.683137422520414
1,confidence,0,42803,1.4645374716654003
1,confidence,1,42803,2.9878961972583893
1,confidence,2,42803,4.586405700935886
1,confidence,3,42803,6.1383722892540575
1,confidence,4,42803,7.935432588153832
1,confidence,5,42803,9.694338234778211
1,confidence,6,42803,11.071311367406928
1,confidence,7,42803,12.940340572908578
1,confidence,8,42803,14.370764677171532
1,confidence,9,42803,15.655392312917318
1,entropy,0,42803,1.4645374716654003
1,entropy,1,42803,2.966152996426277
1,entropy,2,42803,4.583395045006944
1,entropy,3,42803,6.172588942014792
1,entropy,4,42803,7.995721496763455
1,entropy,5,42803,9.167270813933637
1,entropy,6,42803,11.080982247554081
1,entropy,7,42803,12.520212694716887
1,entropy,8,42803,14.299743972113966
1,entropy,9,42803,16.03275063868258
1,kmeans,0,42803,1.4645374716654003
1,kmeans,1,42803,3.0213695638246967
1,kmeans,2,42803,4.6367956742932535
1,kmeans,3,42803,6.019172795409203
1,kmeans,4,42803,7.559637874651466
1,kmeans,5,42803,9.087632692291136
1,kmeans,6,42803,10.409339562257674
1,kmeans,7,42803,12.067612742754477
1,kmeans,8,42803,13.655399338753682
1,kmeans,9,42803,14.969378929437347
1,wkmeans,0,42803,1.4645374716654003
1,wkmeans,1,42803,3.2021441528453436
1,wkmeans,2,42803,4.722732124269152
1,wkmeans,3,42803,6.190908687006867
1,wkmeans,4,42803,7.758866180061025
1,wkmeans,5,42803,9.114008844408323
1,wkmeans,6,42803,10.76083828635491
1,wkmeans,7,42803,12.232197556215834
1,wkmeans,8,42803,13.895382387032868
1,wkmeans,9,42803,15.482368190362104
1,iwkmeans,0,42803,1.4645374716654003
1,iwkmeans,1,42803,3.1957243757410896
1,iwkmeans,2,42803,4.7502131934282765
1,iwkmeans,3,42803,6.600170394366071
1,iwkmeans,4,42803,8.243985779824772
1,iwkmeans,5,42803,9.844174086211472
1,iwkmeans,6,42803,11.618934841625917
1,iwkmeans,7,42803,13.53041347591378
1,iwkmeans,8,42803,14.78901784944778
1,iwkmeans,9,42803,16.78617449141158
2,random,0,42803,1.4613757619889296
2,random,1,42803,3.180624205024023
2,random,2,42803,4.642200073853832
2,random,3,42803,6.024932385877445
2,random,4,42803,7.625274005618481
2,random,5,42803,9.556696524397198
2,random,6,42803,11.185122136418213
2,random,7,42803,12.780157349425236
2,random,8,42803,14.278702504149745
2,random,9,42803,16.189523622918816
2,margin,0,42803,1.4613757619889296
2,margin,1,42803,2.953927575933583
2,margin,2,42803,4.930560173075266
2,margin,3,42803,6.595940427405514
2,margin,4,42803,8.016648706565725
2,margin,5,42803,9.667621739649276
2,margin,6,42803,11.594060113772592
2,margin,7,42803,12.780926819054821
2,margin,8,42803,14.685924869484518
2,margin,9,42803,16.13574889772168
2,confidence,0,42803,1.4613757619889296
2,confidence,1,42803,2.952023933448811
2,confidence,2,42803,4.386865471224244
2,confidence,3,42803,5.92603703869356
2,confidence,4,42803,7.634968862098523
2,confidence,5,42803,9.047047962793556
2,confidence,6,42803,10.428077748061598
2,confidence,7,42803,11.739538335136608
2,confidence,8,42803,13.170533792181475
2,confidence,9,42803,14.478736110246606
2,entropy,0,42803,1.4613757619889296
2,entropy,1,42803,3.0141439431326313
2,entropy,2,42803,4.489401203642293
2,entropy,3,42803,5.993692653048707
2,entropy,4,42803,7.4746648765406025
2,entropy,5,42803,9.054186135289074
2,entropy,6,42803,10.51300274975668
2,entropy,7,42803,12.046636544943809
2,entropy,8,42803,13.520318138683516
2,entropy,9,42803,15.015768225351408
2,kmeans,0,42803,1.4613757619889296
2,kmeans,1,42803,3.0116500846361363
2,kmeans,2,42803,4.54581501985602
2,kmeans,3,42803,5.982233303929875
