seed,method,n_iter,dataset,value
0,random,1,42803,0.1694619391740817
0,random,2,42803,0.0982567086166961
0,random,3,42803,0.0727600879740816
0,random,4,42803,0.0567061986037647
0,random,5,42803,0.041155607352256
0,random,6,42803,0.0366396067640734
0,random,7,42803,0.0323095868311039
0,random,8,42803,0.032996405971825
0,random,9,42803,0.0289835175469668
0,margin,1,42803,0.1370647472001023
0,margin,2,42803,0.1007300734845181
0,margin,3,42803,0.0676938096669104
0,margin,4,42803,0.0540302508851237
0,margin,5,42803,0.0436478973874046
0,margin,6,42803,0.0372165041180252
0,margin,7,42803,0.0310102336608198
0,margin,8,42803,0.0283244452288695
0,margin,9,42803,0.0237278949181434
0,confidence,1,42803,0.1348678009201031
0,confidence,2,42803,0.0959869617577263
0,confidence,3,42803,0.0511860641390493
0,confidence,4,42803,0.0437366220304938
0,confidence,5,42803,0.0327138025484559
0,confidence,6,42803,0.0317505956530981
0,confidence,7,42803,0.0270082616739151
0,confidence,8,42803,0.021668753484976
0,confidence,9,42803,0.0189727089061523
0,entropy,1,42803,0.1215730350004128
0,entropy,2,42803,0.083026003445447
0,entropy,3,42803,0.0620637075054227
0,entropy,4,42803,0.0554981773152282
0,entropy,5,42803,0.033009899250042
0,entropy,6,42803,0.0297277174814398
0,entropy,7,42803,0.0244901271477961
0,entropy,8,42803,0.0223900459105791
0,entropy,9,42803,0.0205435980228888
0,kmeans,1,42803,0.4249993449347606
0,kmeans,2,42803,0.1171708773828246
0,kmeans,3,42803,0.0710832458287632
0,kmeans,4,42803,0.0482407081356674
0,kmeans,5,42803,0.0393212227944578
0,kmeans,6,42803,0.0307667990705605
0,kmeans,7,42803,0.0297431565086077
0,kmeans,8,42803,0.0222083295063366
0,kmeans,9,42803,0.0213073036580593
0,wkmeans,1,42803,0.1955963713406707
0,wkmeans,2,42803,0.111612980103487
0,wkmeans,3,42803,0.0754388086457304
0,wkmeans,4,42803,0.0561145765915867
0,wkmeans,5,42803,0.0405002625622826
0,wkmeans,6,42803,0.0362059734942963
0,wkmeans,7,42803,0.0315591833064485
0,wkmeans,8,42803,0.0254507305585498
0,wkmeans,9,42803,0.0242138774647212
0,iwkmeans,1,42803,0.1707145887354112
0,iwkmeans,2,42803,0.0884048576374464
0,iwkmeans,3,42803,0.0755960309472724
0,iwkmeans,4,42803,0.0489208335965976
0,iwkmeans,5,42803,0.041056259728302
0,iwkmeans,6,42803,0.026914917735998
0,iwkmeans,7,42803,0.0304099648958758
0,iwkmeans,8,42803,0.025314130747557
0,iwkmeans,9,42803,0.0235884628871578
1,random,1,42803,0.1986845702155866
1,random,2,42803,0.1057874803797783
1,random,3,42803,0.0710057954589832
1,random,4,42803,0.0546370337210645
1,random,5,42803,0.0507677972474325
1,random,6,42803,0.0388420326763727
1,random,7,42803,0.0298160090565952
1,random,8,42803,0.031165476558485
1,random,9,42803,0.0284655205165171
1,margin,1,42803,0.1725468050347933
1,margin,2,42803,0.0993433937242309
1,margin,3,42803,0.0694732225859571
1,margin,4,42803,0.0531786445503836
1,margin,5,42803,0.0436072975684399
1,margin,6,42803,0.0388562992535063
1,margin,7,42803,0.0322347642250506
1,margin,8,42803,0.0283090365528696
1,margin,9,42803,0.0269784337511956
1,confidence,1,42803,0.1596603142655143
1,confidence,2,42803,0.0855451158124431
1,confidence,3,42803,0.0639562832896536
1,confidence,4,42803,0.0440801612827225
1,confidence,5,42803,0.0428257950078767
1,confidence,6,42803,0.0428041991864945
1,confidence,7,42803,0.0262131288725802
1,confidence,8,42803,0.0273026513490887
1,confidence,9,42803,0.0228512384400079
1,entropy,1,42803,0.1402837741941033
1,entropy,2,42803,0.0867481206466186
1,entropy,3,42803,0.0787768075228093
1,entropy,4,42803,0.0566387836137461
1,entropy,5,42803,0.037673671812278
1,entropy,6,42803,0.0359205585533167
1,entropy,7,42803,0.025710748165156
1,entropy,8,42803,0.0234611281747183
1,entropy,9,42803,0.020239369498646
1,kmeans,1,42803,0.4649685031672714
1,kmeans,2,42803,0.1172086944348665
1,kmeans,3,42803,0.0711603852110908
1,kmeans,4,42803,0.0511704292979632
1,kmeans,5,42803,0.0395691191731754
1,kmeans,6,42803,0.0328345603616934
1,kmeans,7,42803,0.0275036616012668
1,kmeans,8,42803,0.0245555258034055
1,kmeans,9,42803,0.0208772932551564
1,wkmeans,1,42803,0.2585846690251884
1,wkmeans,2,42803,0.1045376592264693
1,wkmeans,3,42803,0.071232979683209
1,wkmeans,4,42803,0.0552871209493046
1,wkmeans,5,42803,0.0423862598275951
1,wkmeans,6,42803,0.0342391147638363
1,wkmeans,7,42803,0.0295722448297141
1,wkmeans,8,42803,0.0262611429753529
1,wkmeans,9,42803,0.0233398713675786
1,iwkmeans,1,42803,0.2395627894916596
1,iwkmeans,2,42803,0.0924125402304782
1,iwkmeans,3,42803,0.0701242762360651
1,iwkmeans,4,42803,0.0501005141122503
1,iwkmeans,5,42803,0.0371278721099656
1,iwkmeans,6,42803,0.0250438859548169
1,iwkmeans,7,42803,0.025586614034977
