seed,method,n_iter,dataset,value
0,random,0,43439,0.8545454545454545
0,random,1,43439,0.8409090909090909
0,random,2,43439,0.8636363636363636
0,random,3,43439,0.884090909090909
0,random,4,43439,0.8727272727272727
0,random,5,43439,0.8636363636363636
0,random,6,43439,0.8766233766233766
0,random,7,43439,0.8886363636363637
0,random,8,43439,0.8888888888888888
0,random,9,43439,0.8845454545454545
0,margin,0,43439,0.8545454545454545
0,margin,1,43439,0.7909090909090909
0,margin,2,43439,0.8212121212121212
0,margin,3,43439,0.8113636363636364
0,margin,4,43439,0.8109090909090909
0,margin,5,43439,0.8484848484848485
0,margin,6,43439,0.8441558441558441
0,margin,7,43439,0.8579545454545454
0,margin,8,43439,0.8444444444444444
0,margin,9,43439,0.8581818181818182
0,confidence,0,43439,0.8545454545454545
0,confidence,1,43439,0.7909090909090909
0,confidence,2,43439,0.8212121212121212
0,confidence,3,43439,0.8113636363636364
0,confidence,4,43439,0.8109090909090909
0,confidence,5,43439,0.8484848484848485
0,confidence,6,43439,0.8441558441558441
0,confidence,7,43439,0.8579545454545454
0,confidence,8,43439,0.8444444444444444
0,confidence,9,43439,0.8581818181818182
0,entropy,0,43439,0.8545454545454545
0,entropy,1,43439,0.7909090909090909
0,entropy,2,43439,0.8212121212121212
0,entropy,3,43439,0.8113636363636364
0,entropy,4,43439,0.8109090909090909
0,entropy,5,43439,0.8484848484848485
0,entropy,6,43439,0.8441558441558441
0,entropy,7,43439,0.8579545454545454
0,entropy,8,43439,0.8444444444444444
0,entropy,9,43439,0.8581818181818182
0,kmeans,0,43439,0.8545454545454545
0,kmeans,1,43439,0.9
0,kmeans,2,43439,0.9090909090909091
0,kmeans,3,43439,0.9363636363636364
0,kmeans,4,43439,0.9309090909090909
0,kmeans,5,43439,0.9212121212121213
0,kmeans,6,43439,0.9246753246753247
0,kmeans,7,43439,0.9102272727272728
0,kmeans,8,43439,0.896969696969697
0,kmeans,9,43439,0.9045454545454545
0,wkmeans,0,43439,0.8545454545454545
0,wkmeans,1,43439,0.8090909090909091
0,wkmeans,2,43439,0.8909090909090909
0,wkmeans,3,43439,0.8340909090909091
0,wkmeans,4,43439,0.8181818181818182
0,wkmeans,5,43439,0.803030303030303
0,wkmeans,6,43439,0.8051948051948052
