seed,method,n_iter,dataset,value
0,random,0,43551,1.0
0,random,1,43551,1.0
0,random,2,43551,1.0
0,random,3,43551,1.0
0,random,4,43551,1.0
0,random,5,43551,1.0
0,random,6,43551,1.0
0,random,7,43551,0.888888888888889
0,random,8,43551,1.0
0,random,9,43551,0.9090909090909091
0,margin,0,43551,1.0
0,margin,1,43551,1.0
0,margin,2,43551,1.0
0,margin,3,43551,0.7499999999999999
0,margin,4,43551,0.5714285714285715
0,margin,5,43551,0.4444444444444445
0,margin,6,43551,0.2222222222222222
0,margin,7,43551,0.2222222222222222
0,margin,8,43551,0.3636363636363636
0,margin,9,43551,0.18181818181818182
0,confidence,0,43551,1.0
0,confidence,1,43551,1.0
0,confidence,2,43551,1.0
0,confidence,3,43551,0.7499999999999999
0,confidence,4,43551,0.5714285714285715
0,confidence,5,43551,0.4444444444444445
0,confidence,6,43551,0.2222222222222222
0,confidence,7,43551,0.2222222222222222
0,confidence,8,43551,0.3636363636363636
0,confidence,9,43551,0.18181818181818182
0,entropy,0,43551,1.0
0,entropy,1,43551,1.0
0,entropy,2,43551,1.0
0,entropy,3,43551,0.7499999999999999
0,entropy,4,43551,0.5714285714285715
0,entropy,5,43551,0.4444444444444445
0,entropy,6,43551,0.2222222222222222
0,entropy,7,43551,0.2222222222222222
0,entropy,8,43551,0.3636363636363636
0,entropy,9,43551,0.18181818181818182
0,kmeans,0,43551,1.0
0,kmeans,1,43551,0.888888888888889
0,kmeans,2,43551,0.8
0,kmeans,3,43551,0.8
0,kmeans,4,43551,0.5
0,kmeans,5,43551,0.5882352941176471
0,kmeans,6,43551,0.5
0,kmeans,7,43551,0.5555555555555556
0,kmeans,8,43551,0.5555555555555556
0,kmeans,9,43551,0.4444444444444445
0,wkmeans,0,43551,1.0
0,wkmeans,1,43551,1.0
0,wkmeans,2,43551,1.0
0,wkmeans,3,43551,0.8
0,wkmeans,4,43551,1.0
0,wkmeans,5,43551,0.8
0,wkmeans,6,43551,1.0
0,wkmeans,7,43551,0.8
0,wkmeans,8,43551,0.8
0,wkmeans,9,43551,1.0
0,iwkmeans,0,43551,1.0
0,iwkmeans,1,43551,1.0
0,iwkmeans,2,43551,1.0
0,iwkmeans,3,43551,1.0
0,iwkmeans,4,43551,1.0
0,iwkmeans,5,43551,1.0
0,iwkmeans,6,43551,1.0
0,iwkmeans,7,43551,1.0
0,iwkmeans,8,43551,1.0
0,iwkmeans,9,43551,1.0
1,random,0,43551,1.0
