seed,method,n_iter,dataset,value
0,random,0,cifar10,1.0
0,random,1,cifar10,1.0
0,random,2,cifar10,1.0
0,random,3,cifar10,1.0
0,random,4,cifar10,1.0
0,random,5,cifar10,1.0
0,random,6,cifar10,1.0
0,random,7,cifar10,1.0
0,random,8,cifar10,1.0
0,random,9,cifar10,1.0
0,margin,0,cifar10,1.0
0,margin,1,cifar10,1.0
0,margin,2,cifar10,1.0
0,margin,3,cifar10,1.0
0,margin,4,cifar10,1.0
0,margin,5,cifar10,1.0
0,margin,6,cifar10,1.0
0,margin,7,cifar10,1.0
0,margin,8,cifar10,1.0
0,margin,9,cifar10,1.0
0,confidence,0,cifar10,1.0
0,confidence,1,cifar10,1.0
0,confidence,2,cifar10,1.0
0,confidence,3,cifar10,1.0
0,confidence,4,cifar10,1.0
0,confidence,5,cifar10,1.0
0,confidence,6,cifar10,1.0
0,confidence,7,cifar10,1.0
0,confidence,8,cifar10,1.0
0,confidence,9,cifar10,1.0
0,entropy,0,cifar10,1.0
0,entropy,1,cifar10,1.0
0,entropy,2,cifar10,1.0
0,entropy,3,cifar10,1.0
0,entropy,4,cifar10,1.0
0,entropy,5,cifar10,1.0
0,entropy,6,cifar10,1.0
0,entropy,7,cifar10,1.0
0,entropy,8,cifar10,1.0
0,entropy,9,cifar10,1.0
0,kmeans,0,cifar10,1.0
0,kmeans,1,cifar10,1.0
0,kmeans,2,cifar10,1.0
0,kmeans,3,cifar10,1.0
0,kmeans,4,cifar10,1.0
0,kmeans,5,cifar10,1.0
0,kmeans,6,cifar10,1.0
0,kmeans,7,cifar10,1.0
0,kmeans,8,cifar10,1.0
0,kmeans,9,cifar10,1.0
0,wkmeans,0,cifar10,1.0
0,wkmeans,1,cifar10,1.0
0,wkmeans,2,cifar10,1.0
0,wkmeans,3,cifar10,1.0
0,wkmeans,4,cifar10,1.0
0,wkmeans,5,cifar10,1.0
0,wkmeans,6,cifar10,1.0
0,wkmeans,7,cifar10,1.0
0,wkmeans,8,cifar10,1.0
0,wkmeans,9,cifar10,1.0
0,iwkmeans,0,cifar10,1.0
0,iwkmeans,1,cifar10,1.0
0,iwkmeans,2,cifar10,1.0
0,iwkmeans,3,cifar10,1.0
0,iwkmeans,4,cifar10,1.0
0,iwkmeans,5,cifar10,1.0
0,iwkmeans,6,cifar10,1.0
0,iwkmeans,7,cifar10,1.0
0,iwkmeans,8,cifar10,1.0
0,iwkmeans,9,cifar10,1.0
0,kcenter,0,cifar10,1.0
0,kcenter,1,cifar10,1.0
0,kcenter,2,cifar10,1.0
0,kcenter,3,cifar10,1.0
0,kcenter,4,cifar10,1.0
0,kcenter,5,cifar10,1.0
0,kcenter,6,cifar10,1.0
0,kcenter,7,cifar10,1.0
0,kcenter,8,cifar10,1.0
0,kcenter,9,cifar10,1.0
1,random,0,cifar10,1.0
1,random,1,cifar10,1.0
1,random,2,cifar10,1.0
1,random,3,cifar10,1.0
1,random,4,cifar10,1.0
1,random,5,cifar10,1.0
1,random,6,cifar10,1.0
1,random,7,cifar10,1.0
1,random,8,cifar10,1.0
1,random,9,cifar10,1.0
1,margin,0,cifar10,1.0
1,margin,1,cifar10,1.0
1,margin,2,cifar10,1.0
1,margin,3,cifar10,1.0
1,margin,4,cifar10,1.0
1,margin,5,cifar10,1.0
1,margin,6,cifar10,1.0
1,margin,7,cifar10,1.0
1,margin,8,cifar10,1.0
1,margin,9,cifar10,1.0
1,confidence,0,cifar10,1.0
1,confidence,1,cifar10,1.0
1,confidence,2,cifar10,1.0
1,confidence,3,cifar10,1.0
1,confidence,4,cifar10,1.0
1,confidence,5,cifar10,1.0
1,confidence,6,cifar10,1.0
1,confidence,7,cifar10,1.0
1,confidence,8,cifar10,1.0
1,confidence,9,cifar10,1.0
1,entropy,0,cifar10,1.0
1,entropy,1,cifar10,1.0
1,entropy,2,cifar10,1.0
1,entropy,3,cifar10,1.0
1,entropy,4,cifar10,1.0
1,entropy,5,cifar10,1.0
1,entropy,6,cifar10,1.0
1,entropy,7,cifar10,1.0
1,entropy,8,cifar10,1.0
1,entropy,9,cifar10,1.0
1,kmeans,0,cifar10,1.0
1,kmeans,1,cifar10,1.0
1,kmeans,2,cifar10,1.0
1,kmeans,3,cifar10,1.0
1,kmeans,4,cifar10,1.0
1,kmeans,5,cifar10,1.0
1,kmeans,6,cifar10,1.0
1,kmeans,7,cifar10,1.0
1,kmeans,8,cifar10,1.0
1,kmeans,9,cifar10,1.0
1,wkmeans,0,cifar10,1.0
1,wkmeans,1,cifar10,1.0
1,wkmeans,2,cifar10,1.0
1,wkmeans,3,cifar10,1.0
1,wkmeans,4,cifar10,1.0
1,wkmeans,5,cifar10,1.0
1,wkmeans,6,cifar10,1.0
1,wkmeans,7,cifar10,1.0
1,wkmeans,8,cifar10,1.0
1,wkmeans,9,cifar10,1.0
1,iwkmeans,0,cifar10,1.0
1,iwkmeans,1,cifar10,1.0
1,iwkmeans,2,cifar10,1.0
1,iwkmeans,3,cifar10,1.0
1,iwkmeans,4,cifar10,1.0
1,iwkmeans,5,cifar10,1.0
1,iwkmeans,6,cifar10,1.0
1,iwkmeans,7,cifar10,1.0
1,iwkmeans,8,cifar10,1.0
1,iwkmeans,9,cifar10,1.0
1,kcenter,0,cifar10,1.0
1,kcenter,1,cifar10,1.0
1,kcenter,2,cifar10,1.0
1,kcenter,3,cifar10,1.0
1,kcenter,4,cifar10,1.0
1,kcenter,5,cifar10,1.0
