seed,method,n_iter,dataset,value
0,random,0,cifar10,0.6833333333333333
0,random,1,cifar10,0.7416666666666667
0,random,2,cifar10,0.6833333333333333
0,random,3,cifar10,0.7125
0,random,4,cifar10,0.74
0,random,5,cifar10,0.7083333333333334
0,random,6,cifar10,0.7238095238095238
0,random,7,cifar10,0.7208333333333333
0,random,8,cifar10,0.7277777777777777
0,random,9,cifar10,0.7433333333333333
0,margin,0,cifar10,0.6833333333333333
0,margin,1,cifar10,0.65
0,margin,2,cifar10,0.6444444444444445
0,margin,3,cifar10,0.5958333333333333
0,margin,4,cifar10,0.59
0,margin,5,cifar10,0.5722222222222222
0,margin,6,cifar10,0.5523809523809524
0,margin,7,cifar10,0.5375
0,margin,8,cifar10,0.5537037037037037
0,margin,9,cifar10,0.5733333333333334
0,confidence,0,cifar10,0.6833333333333333
0,confidence,1,cifar10,0.6083333333333333
0,confidence,2,cifar10,0.6277777777777778
0,confidence,3,cifar10,0.55
0,confidence,4,cifar10,0.5766666666666667
0,confidence,5,cifar10,0.5555555555555556
0,confidence,6,cifar10,0.5476190476190477
0,confidence,7,cifar10,0.5479166666666667
0,confidence,8,cifar10,0.5333333333333333
0,confidence,9,cifar10,0.535
0,entropy,0,cifar10,0.6833333333333333
0,entropy,1,cifar10,0.575
0,entropy,2,cifar10,0.5666666666666667
0,entropy,3,cifar10,0.5583333333333333
0,entropy,4,cifar10,0.54
0,entropy,5,cifar10,0.5222222222222223
0,entropy,6,cifar10,0.530952380952381
0,entropy,7,cifar10,0.5041666666666667
0,entropy,8,cifar10,0.5259259259259259
0,entropy,9,cifar10,0.5083333333333333
0,kmeans,0,cifar10,0.6833333333333333
0,kmeans,1,cifar10,0.7333333333333333
0,kmeans,2,cifar10,0.7666666666666667
0,kmeans,3,cifar10,0.7958333333333333
0,kmeans,4,cifar10,0.8033333333333333
0,kmeans,5,cifar10,0.8138888888888889
0,kmeans,6,cifar10,0.8333333333333334
0,kmeans,7,cifar10,0.85
0,kmeans,8,cifar10,0.8481481481481481
0,kmeans,9,cifar10,0.8433333333333334
0,wkmeans,0,cifar10,0.6833333333333333
