seed,method,n_iter,dataset,value
0,random,0,cifar10,0.9821968644779548
0,random,1,cifar10,0.986833917225412
0,random,2,cifar10,1.0043734623179008
0,random,3,cifar10,1.0056058348292871
0,random,4,cifar10,1.0092892776720168
0,random,5,cifar10,1.0171264312824315
0,random,6,cifar10,1.0265917132978375
0,random,7,cifar10,1.0131433758433943
0,random,8,cifar10,1.0317527087249712
0,random,9,cifar10,1.0251103047293997
0,margin,0,cifar10,0.9113159670112643
0,margin,1,cifar10,0.9582573073221874
0,margin,2,cifar10,0.9459271618459536
0,margin,3,cifar10,0.97844658397375
0,margin,4,cifar10,0.9726111683200638
0,margin,5,cifar10,0.9856390321000179
0,margin,6,cifar10,0.9625676275761487
0,margin,7,cifar10,0.9804379747594496
0,margin,8,cifar10,0.9792084509450282
0,margin,9,cifar10,0.9777671542487872
0,confidence,0,cifar10,0.8627660272648761
0,confidence,1,cifar10,0.951604301621574
0,confidence,2,cifar10,0.9545198555245373
0,confidence,3,cifar10,0.9709281284439264
0,confidence,4,cifar10,0.9630118353921976
0,confidence,5,cifar10,0.9634188596078237
0,confidence,6,cifar10,0.9744128079605913
0,confidence,7,cifar10,0.9787820354299274
0,confidence,8,cifar10,0.9830209229283479
0,confidence,9,cifar10,0.9850738202031867
0,entropy,0,cifar10,0.8938233898202836
0,entropy,1,cifar10,0.908134085351303
0,entropy,2,cifar10,0.9496551979918589
0,entropy,3,cifar10,0.9572040386825884
0,entropy,4,cifar10,0.9783590117483936
0,entropy,5,cifar10,0.9751966070094312
0,entropy,6,cifar10,0.9740462106891445
0,entropy,7,cifar10,0.9825054472044851
0,entropy,8,cifar10,0.9745320596016419
0,entropy,9,cifar10,0.981890852910937
0,kmeans,0,cifar10,0.9788675020468067
0,kmeans,1,cifar10,1.0027282854725272
0,kmeans,2,cifar10,1.0039768006507044
0,kmeans,3,cifar10,1.0391569995576713
0,kmeans,4,cifar10,1.0218417517935887
0,kmeans,5,cifar10,1.0386077436087175
