seed,method,n_iter,dataset,value
0,random,0,cifar10,0.0
0,random,1,cifar10,1.4064255488688924
0,random,2,cifar10,0.9041609273745168
0,random,3,cifar10,0.707637328375786
0,random,4,cifar10,0.5540502246288358
0,random,5,cifar10,0.4556040452010921
0,random,6,cifar10,0.5418131585435888
0,random,7,cifar10,0.4067309054205497
0,random,8,cifar10,0.48246488325763587
0,random,9,cifar10,0.40890759199344395
0,margin,0,cifar10,0.0
0,margin,1,cifar10,1.5869337730549136
0,margin,2,cifar10,0.8143677128288027
0,margin,3,cifar10,0.5824156278640054
0,margin,4,cifar10,0.6225301526376381
0,margin,5,cifar10,0.40358695343676176
0,margin,6,cifar10,0.4279692962679987
0,margin,7,cifar10,0.35270956322317565
0,margin,8,cifar10,0.37624743522455606
0,margin,9,cifar10,0.47729419576771204
0,confidence,0,cifar10,0.0
0,confidence,1,cifar10,0.8582835057962908
0,confidence,2,cifar10,0.5933384236567347
0,confidence,3,cifar10,0.8507728639286022
0,confidence,4,cifar10,0.5966612079438863
0,confidence,5,cifar10,0.590652998775551
0,confidence,6,cifar10,0.4635839955180195
0,confidence,7,cifar10,0.4146753844686794
0,confidence,8,cifar10,0.47009175505642864
0,confidence,9,cifar10,0.4713612331709185
0,entropy,0,cifar10,0.0
0,entropy,1,cifar10,1.075924708318113
0,entropy,2,cifar10,0.5850409931764444
0,entropy,3,cifar10,0.5609229991569541
0,entropy,4,cifar10,0.6035555570199326
0,entropy,5,cifar10,0.6103986467125891
0,entropy,6,cifar10,0.33784575762166175
0,entropy,7,cifar10,0.515398730764569
0,entropy,8,cifar10,0.6607768667505574
0,entropy,9,cifar10,0.5754507552228448
0,kmeans,0,cifar10,0.0
0,kmeans,1,cifar10,0.8107846582122743
0,kmeans,2,cifar10,0.620065069663554
0,kmeans,3,cifar10,0.4186304191107256
0,kmeans,4,cifar10,0.5005790639878291
0,kmeans,5,cifar10,0.3678077977327688
0,kmeans,6,cifar10,0.3667021984031501
0,kmeans,7,cifar10,0.3383397510295091
0,kmeans,8,cifar10,0.35568832762548347
0,kmeans,9,cifar10,0.39442397835135706
0,wkmeans,0,cifar10,0.0
0,wkmeans,1,cifar10,1.6143382829677069
0,wkmeans,2,cifar10,0.8412921587864208
0,wkmeans,3,cifar10,0.5337499633599869
0,wkmeans,4,cifar10,0.6481087791866245
0,wkmeans,5,cifar10,0.4832078815273996
