seed,method,n_iter,dataset,value
0,random,1,cifar10,0.38333333333333336
0,random,2,cifar10,0.25
0,random,3,cifar10,0.13333333333333333
0,random,4,cifar10,0.14333333333333334
0,random,5,cifar10,0.15
0,random,6,cifar10,0.10952380952380952
0,random,7,cifar10,0.075
0,random,8,cifar10,0.08333333333333333
0,random,9,cifar10,0.05333333333333334
0,margin,1,cifar10,0.48333333333333334
0,margin,2,cifar10,0.3277777777777778
0,margin,3,cifar10,0.3625
0,margin,4,cifar10,0.23333333333333334
0,margin,5,cifar10,0.18055555555555555
0,margin,6,cifar10,0.17142857142857143
0,margin,7,cifar10,0.18958333333333333
0,margin,8,cifar10,0.18333333333333332
0,margin,9,cifar10,0.12833333333333333
0,confidence,1,cifar10,0.6833333333333333
0,confidence,2,cifar10,0.4777777777777778
0,confidence,3,cifar10,0.375
0,confidence,4,cifar10,0.31
0,confidence,5,cifar10,0.1638888888888889
0,confidence,6,cifar10,0.18571428571428572
0,confidence,7,cifar10,0.23333333333333334
0,confidence,8,cifar10,0.14074074074074075
0,confidence,9,cifar10,0.14666666666666667
0,entropy,1,cifar10,0.7083333333333334
0,entropy,2,cifar10,0.45
0,entropy,3,cifar10,0.36666666666666664
0,entropy,4,cifar10,0.33666666666666667
0,entropy,5,cifar10,0.20277777777777778
0,entropy,6,cifar10,0.1738095238095238
0,entropy,7,cifar10,0.19375
0,entropy,8,cifar10,0.14814814814814814
0,entropy,9,cifar10,0.105
0,kmeans,1,cifar10,0.38333333333333336
0,kmeans,2,cifar10,0.2777777777777778
0,kmeans,3,cifar10,0.17083333333333334
0,kmeans,4,cifar10,0.09
0,kmeans,5,cifar10,0.05277777777777778
0,kmeans,6,cifar10,0.05476190476190476
0,kmeans,7,cifar10,0.06041666666666667
0,kmeans,8,cifar10,0.027777777777777776
0,kmeans,9,cifar10,0.04
0,wkmeans,1,cifar10,0.675
0,wkmeans,2,cifar10,0.45
0,wkmeans,3,cifar10,0.325
0,wkmeans,4,cifar10,0.22666666666666666
0,wkmeans,5,cifar10,0.21388888888888888
0,wkmeans,6,cifar10,0.1761904761904762
0,wkmeans,7,cifar10,0.13958333333333334
0,wkmeans,8,cifar10,0.17222222222222222
0,wkmeans,9,cifar10,0.13
0,iwkmeans,1,cifar10,0.5916666666666667
0,iwkmeans,2,cifar10,0.4666666666666667
0,iwkmeans,3,cifar10,0.19583333333333333
0,iwkmeans,4,cifar10,0.19333333333333333
0,iwkmeans,5,cifar10,0.18611111111111112
0,iwkmeans,6,cifar10,0.16428571428571428
0,iwkmeans,7,cifar10,0.10625
0,iwkmeans,8,cifar10,0.1425925925925926
0,iwkmeans,9,cifar10,0.09666666666666666
0,kcenter,1,cifar10,0.26666666666666666
0,kcenter,2,cifar10,0.18888888888888888
0,kcenter,3,cifar10,0.15
0,kcenter,4,cifar10,0.11
0,kcenter,5,cifar10,0.11666666666666667
0,kcenter,6,cifar10,0.10476190476190476
0,kcenter,7,cifar10,0.11458333333333333
0,kcenter,8,cifar10,0.08518518518518518
0,kcenter,9,cifar10,0.06833333333333333
1,random,1,cifar10,0.375
1,random,2,cifar10,0.20555555555555555
1,random,3,cifar10,0.2
1,random,4,cifar10,0.17
1,random,5,cifar10,0.1
1,random,6,cifar10,0.11190476190476191
1,random,7,cifar10,0.06041666666666667
1,random,8,cifar10,0.1
1,random,9,cifar10,0.12
1,margin,1,cifar10,0.48333333333333334
1,margin,2,cifar10,0.34444444444444444
1,margin,3,cifar10,0.2833333333333333
1,margin,4,cifar10,0.24666666666666667
1,margin,5,cifar10,0.18055555555555555
1,margin,6,cifar10,0.16666666666666666
1,margin,7,cifar10,0.15625
1,margin,8,cifar10,0.12407407407407407
1,margin,9,cifar10,0.18
1,confidence,1,cifar10,0.6
1,confidence,2,cifar10,0.43333333333333335
1,confidence,3,cifar10,0.31666666666666665
1,confidence,4,cifar10,0.27666666666666667
1,confidence,5,cifar10,0.24444444444444444
1,confidence,6,cifar10,0.24523809523809523
1,confidence,7,cifar10,0.20833333333333334
1,confidence,8,cifar10,0.21666666666666667
1,confidence,9,cifar10,0.14
1,entropy,1,cifar10,0.625
1,entropy,2,cifar10,0.5222222222222223
1,entropy,3,cifar10,0.2875
1,entropy,4,cifar10,0.27666666666666667
1,entropy,5,cifar10,0.19444444444444445
1,entropy,6,cifar10,0.21428571428571427
1,entropy,7,cifar10,0.13958333333333334
1,entropy,8,cifar10,0.11296296296296296
1,entropy,9,cifar10,0.11
1,kmeans,1,cifar10,0.525
1,kmeans,2,cifar10,0.2777777777777778
1,kmeans,3,cifar10,0.16666666666666666
1,kmeans,4,cifar10,0.08
1,kmeans,5,cifar10,0.04722222222222222
1,kmeans,6,cifar10,0.05
1,kmeans,7,cifar10,0.058333333333333334
1,kmeans,8,cifar10,0.05555555555555555
1,kmeans,9,cifar10,0.035
1,wkmeans,1,cifar10,0.6166666666666667
1,wkmeans,2,cifar10,0.37222222222222223
1,wkmeans,3,cifar10,0.2708333333333333
1,wkmeans,4,cifar10,0.27
1,wkmeans,5,cifar10,0.2111111111111111
1,wkmeans,6,cifar10,0.22857142857142856
1,wkmeans,7,cifar10,0.16666666666666666
1,wkmeans,8,cifar10,0.1574074074074074
1,wkmeans,9,cifar10,0.16166666666666665
1,iwkmeans,1,cifar10,0.625
1,iwkmeans,2,cifar10,0.3333333333333333
