seed,method,n_iter,dataset,value
0,random,1,cifar10,0.24166666666666667
0,random,2,cifar10,0.10555555555555556
0,random,3,cifar10,0.0625
0,random,4,cifar10,0.07666666666666666
0,random,5,cifar10,0.06388888888888888
0,random,6,cifar10,0.03333333333333333
0,random,7,cifar10,0.03333333333333333
0,random,8,cifar10,0.037037037037037035
0,random,9,cifar10,0.021666666666666667
0,margin,1,cifar10,0.35833333333333334
0,margin,2,cifar10,0.22777777777777777
0,margin,3,cifar10,0.15833333333333333
0,margin,4,cifar10,0.12333333333333334
0,margin,5,cifar10,0.11666666666666667
0,margin,6,cifar10,0.09523809523809523
0,margin,7,cifar10,0.08958333333333333
0,margin,8,cifar10,0.05740740740740741
0,margin,9,cifar10,0.06666666666666667
0,confidence,1,cifar10,0.4
0,confidence,2,cifar10,0.26666666666666666
0,confidence,3,cifar10,0.18333333333333332
0,confidence,4,cifar10,0.15666666666666668
0,confidence,5,cifar10,0.1361111111111111
0,confidence,6,cifar10,0.11666666666666667
0,confidence,7,cifar10,0.08541666666666667
0,confidence,8,cifar10,0.09259259259259259
0,confidence,9,cifar10,0.08666666666666667
0,entropy,1,cifar10,0.375
0,entropy,2,cifar10,0.2722222222222222
0,entropy,3,cifar10,0.18333333333333332
0,entropy,4,cifar10,0.17333333333333334
0,entropy,5,cifar10,0.11666666666666667
0,entropy,6,cifar10,0.10476190476190476
0,entropy,7,cifar10,0.09375
0,entropy,8,cifar10,0.08148148148148149
0,entropy,9,cifar10,0.07666666666666666
0,kmeans,1,cifar10,0.175
0,kmeans,2,cifar10,0.06111111111111111
0,kmeans,3,cifar10,0.0375
0,kmeans,4,cifar10,0.04
0,kmeans,5,cifar10,0.022222222222222223
0,kmeans,6,cifar10,0.02857142857142857
0,kmeans,7,cifar10,0.025
0,kmeans,8,cifar10,0.014814814814814815
0,kmeans,9,cifar10,0.011666666666666667
0,wkmeans,1,cifar10,0.35833333333333334
0,wkmeans,2,cifar10,0.22777777777777777
0,wkmeans,3,cifar10,0.175
0,wkmeans,4,cifar10,0.12666666666666668
0,wkmeans,5,cifar10,0.1
0,wkmeans,6,cifar10,0.10238095238095238
0,wkmeans,7,cifar10,0.075
0,wkmeans,8,cifar10,0.07592592592592592
0,wkmeans,9,cifar10,0.07166666666666667
0,iwkmeans,1,cifar10,0.3416666666666667
0,iwkmeans,2,cifar10,0.25
0,iwkmeans,3,cifar10,0.14583333333333334
0,iwkmeans,4,cifar10,0.13333333333333333
0,iwkmeans,5,cifar10,0.09444444444444444
0,iwkmeans,6,cifar10,0.09285714285714286
0,iwkmeans,7,cifar10,0.0875
0,iwkmeans,8,cifar10,0.07777777777777778
0,iwkmeans,9,cifar10,0.06333333333333334
0,kcenter,1,cifar10,0.21666666666666667
0,kcenter,2,cifar10,0.1388888888888889
0,kcenter,3,cifar10,0.08333333333333333
0,kcenter,4,cifar10,0.06333333333333334
0,kcenter,5,cifar10,0.05
0,kcenter,6,cifar10,0.047619047619047616
0,kcenter,7,cifar10,0.041666666666666664
0,kcenter,8,cifar10,0.03148148148148148
0,kcenter,9,cifar10,0.04
1,random,1,cifar10,0.20833333333333334
1,random,2,cifar10,0.1111111111111111
1,random,3,cifar10,0.13333333333333333
1,random,4,cifar10,0.056666666666666664
1,random,5,cifar10,0.03888888888888889
1,random,6,cifar10,0.0380952380952381
1,random,7,cifar10,0.029166666666666667
1,random,8,cifar10,0.025925925925925925
1,random,9,cifar10,0.02
1,margin,1,cifar10,0.38333333333333336
1,margin,2,cifar10,0.19444444444444445
1,margin,3,cifar10,0.17083333333333334
1,margin,4,cifar10,0.14333333333333334
1,margin,5,cifar10,0.10833333333333334
1,margin,6,cifar10,0.09285714285714286
1,margin,7,cifar10,0.09166666666666666
1,margin,8,cifar10,0.08518518518518518
1,margin,9,cifar10,0.06
1,confidence,1,cifar10,0.4
1,confidence,2,cifar10,0.2388888888888889
1,confidence,3,cifar10,0.21666666666666667
1,confidence,4,cifar10,0.14333333333333334
1,confidence,5,cifar10,0.125
1,confidence,6,cifar10,0.10238095238095238
1,confidence,7,cifar10,0.10625
1,confidence,8,cifar10,0.07777777777777778
1,confidence,9,cifar10,0.07666666666666666
1,entropy,1,cifar10,0.36666666666666664
1,entropy,2,cifar10,0.25555555555555554
1,entropy,3,cifar10,0.17916666666666667
1,entropy,4,cifar10,0.17333333333333334
1,entropy,5,cifar10,0.11944444444444445
1,entropy,6,cifar10,0.10952380952380952
1,entropy,7,cifar10,0.09375
1,entropy,8,cifar10,0.08888888888888889
1,entropy,9,cifar10,0.07666666666666666
1,kmeans,1,cifar10,0.225
1,kmeans,2,cifar10,0.08888888888888889
1,kmeans,3,cifar10,0.04583333333333333
1,kmeans,4,cifar10,0.04
1,kmeans,5,cifar10,0.030555555555555555
1,kmeans,6,cifar10,0.01904761904761905
1,kmeans,7,cifar10,0.029166666666666667
1,kmeans,8,cifar10,0.022222222222222223
1,kmeans,9,cifar10,0.02
1,wkmeans,1,cifar10,0.3416666666666667
1,wkmeans,2,cifar10,0.22777777777777777
1,wkmeans,3,cifar10,0.1875
1,wkmeans,4,cifar10,0.14
1,wkmeans,5,cifar10,0.1111111111111111
1,wkmeans,6,cifar10,0.06904761904761905
1,wkmeans,7,cifar10,0.06875
1,wkmeans,8,cifar10,0.05925925925925926
1,wkmeans,9,cifar10,0.056666666666666664
1,iwkmeans,1,cifar10,0.35833333333333334
1,iwkmeans,2,cifar10,0.20555555555555555
1,iwkmeans,3,cifar10,0.1375
1,iwkmeans,4,cifar10,0.12333333333333334
1,iwkmeans,5,cifar10,0.1
1,iwkmeans,6,cifar10,0.09523809523809523
1,iwkmeans,7,cifar10,0.07291666666666667
1,iwkmeans,8,cifar10,0.06666666666666667
1,iwkmeans,9,cifar10,0.07
1,kcenter,1,cifar10,0.4
1,kcenter,2,cifar10,0.12222222222222222
1,kcenter,3,cifar10,0.11666666666666667
1,kcenter,4,cifar10,0.08333333333333333
1,kcenter,5,cifar10,0.05555555555555555
1,kcenter,6,cifar10,0.04523809523809524
1,kcenter,7,cifar10,0.04791666666666667
1,kcenter,8,cifar10,0.037037037037037035
1,kcenter,9,cifar10,0.03
2,random,1,cifar10,0.23333333333333334
2,random,2,cifar10,0.13333333333333333
2,random,3,cifar10,0.06666666666666667
2,random,4,cifar10,0.06666666666666667
2,random,5,cifar10,0.03611111111111111
2,random,6,cifar10,0.03571428571428571
2,random,7,cifar10,0.029166666666666667
2,random,8,cifar10,0.020370370370370372
2,random,9,cifar10,0.02666666666666667
2,margin,1,cifar10,0.4
2,margin,2,cifar10,0.21666666666666667
2,margin,3,cifar10,0.175
2,margin,4,cifar10,0.14333333333333334
2,margin,5,cifar10,0.125
2,margin,6,cifar10,0.09523809523809523
2,margin,7,cifar10,0.08333333333333333
2,margin,8,cifar10,0.07222222222222222
2,margin,9,cifar10,0.05333333333333334
2,confidence,1,cifar10,0.425
2,confidence,2,cifar10,0.2611111111111111
2,confidence,3,cifar10,0.18333333333333332
2,confidence,4,cifar10,0.15
2,confidence,5,cifar10,0.13055555555555556
2,confidence,6,cifar10,0.10952380952380952
2,confidence,7,cifar10,0.10208333333333333
2,confidence,8,cifar10,0.08518518518518518
2,confidence,9,cifar10,0.08
2,entropy,1,cifar10,0.45
2,entropy,2,cifar10,0.25
2,entropy,3,cifar10,0.20833333333333334
2,entropy,4,cifar10,0.13666666666666666
2,entropy,5,cifar10,0.1388888888888889
2,entropy,6,cifar10,0.10952380952380952
2,entropy,7,cifar10,0.08958333333333333
2,entropy,8,cifar10,0.08333333333333333
2,entropy,9,cifar10,0.08333333333333333
2,kmeans,1,cifar10,0.18333333333333332
2,kmeans,2,cifar10,0.07777777777777778
2,kmeans,3,cifar10,0.05416666666666667
2,kmeans,4,cifar10,0.05
2,kmeans,5,cifar10,0.03611111111111111
2,kmeans,6,cifar10,0.0380952380952381
2,kmeans,7,cifar10,0.029166666666666667
2,kmeans,8,cifar10,0.022222222222222223
2,kmeans,9,cifar10,0.018333333333333333
2,wkmeans,1,cifar10,0.4083333333333333
2,wkmeans,2,cifar10,0.25
2,wkmeans,3,cifar10,0.17083333333333334
2,wkmeans,4,cifar10,0.14333333333333334
2,wkmeans,5,cifar10,0.08333333333333333
2,wkmeans,6,cifar10,0.10238095238095238
2,wkmeans,7,cifar10,0.07916666666666666
2,wkmeans,8,cifar10,0.06851851851851852
2,wkmeans,9,cifar10,0.07
2,iwkmeans,1,cifar10,0.325
2,iwkmeans,2,cifar10,0.24444444444444444
2,iwkmeans,3,cifar10,0.14583333333333334
2,iwkmeans,4,cifar10,0.13333333333333333
2,iwkmeans,5,cifar10,0.09722222222222222
2,iwkmeans,6,cifar10,0.09285714285714286
2,iwkmeans,7,cifar10,0.07291666666666667
2,iwkmeans,8,cifar10,0.06481481481481481
2,iwkmeans,9,cifar10,0.06166666666666667
2,kcenter,1,cifar10,0.3
2,kcenter,2,cifar10,0.14444444444444443
2,kcenter,3,cifar10,0.13333333333333333
2,kcenter,4,cifar10,0.07333333333333333
2,kcenter,5,cifar10,0.07222222222222222
2,kcenter,6,cifar10,0.05
2,kcenter,7,cifar10,0.07083333333333333
2,kcenter,8,cifar10,0.037037037037037035
2,kcenter,9,cifar10,0.03
3,random,1,cifar10,0.25833333333333336
3,random,2,cifar10,0.1
3,random,3,cifar10,0.09583333333333334
3,random,4,cifar10,0.06
3,random,5,cifar10,0.05
3,random,6,cifar10,0.03571428571428571
3,random,7,cifar10,0.05
3,random,8,cifar10,0.027777777777777776
3,random,9,cifar10,0.018333333333333333
3,margin,1,cifar10,0.31666666666666665
3,margin,2,cifar10,0.2388888888888889
3,margin,3,cifar10,0.16666666666666666
3,margin,4,cifar10,0.14333333333333334
3,margin,5,cifar10,0.10555555555555556
3,margin,6,cifar10,0.08571428571428572
3,margin,7,cifar10,0.07916666666666666
3,margin,8,cifar10,0.07407407407407407
3,margin,9,cifar10,0.058333333333333334
3,confidence,1,cifar10,0.4666666666666667
3,confidence,2,cifar10,0.28888888888888886
3,confidence,3,cifar10,0.2
3,confidence,4,cifar10,0.14666666666666667
3,confidence,5,cifar10,0.1361111111111111
3,confidence,6,cifar10,0.12380952380952381
3,confidence,7,cifar10,0.08541666666666667
3,confidence,8,cifar10,0.08888888888888889
3,confidence,9,cifar10,0.075
3,entropy,1,cifar10,0.43333333333333335
3,entropy,2,cifar10,0.2388888888888889
3,entropy,3,cifar10,0.19583333333333333
3,entropy,4,cifar10,0.14666666666666667
3,entropy,5,cifar10,0.13333333333333333
3,entropy,6,cifar10,0.11428571428571428
3,entropy,7,cifar10,0.10208333333333333
3,entropy,8,cifar10,0.07777777777777778
3,entropy,9,cifar10,0.08166666666666667
3,kmeans,1,cifar10,0.20833333333333334
3,kmeans,2,cifar10,0.08888888888888889
3,kmeans,3,cifar10,0.05416666666666667
3,kmeans,4,cifar10,0.043333333333333335
3,kmeans,5,cifar10,0.041666666666666664
3,kmeans,6,cifar10,0.01904761904761905
3,kmeans,7,cifar10,0.01875
3,kmeans,8,cifar10,0.022222222222222223
3,kmeans,9,cifar10,0.016666666666666666
3,wkmeans,1,cifar10,0.35
3,wkmeans,2,cifar10,0.20555555555555555
3,wkmeans,3,cifar10,0.15
3,wkmeans,4,cifar10,0.13666666666666666
3,wkmeans,5,cifar10,0.10833333333333334
3,wkmeans,6,cifar10,0.09047619047619047
3,wkmeans,7,cifar10,0.075
3,wkmeans,8,cifar10,0.07037037037037037
3,wkmeans,9,cifar10,0.06833333333333333
3,iwkmeans,1,cifar10,0.26666666666666666
3,iwkmeans,2,cifar10,0.23333333333333334
3,iwkmeans,3,cifar10,0.14583333333333334
3,iwkmeans,4,cifar10,0.09
3,iwkmeans,5,cifar10,0.1
3,iwkmeans,6,cifar10,0.08333333333333333
3,iwkmeans,7,cifar10,0.09166666666666666
3,iwkmeans,8,cifar10,0.05925925925925926
3,iwkmeans,9,cifar10,0.06833333333333333
3,kcenter,1,cifar10,0.3
3,kcenter,2,cifar10,0.15
3,kcenter,3,cifar10,0.0875
3,kcenter,4,cifar10,0.06
3,kcenter,5,cifar10,0.06944444444444445
3,kcenter,6,cifar10,0.04285714285714286
3,kcenter,7,cifar10,0.035416666666666666
3,kcenter,8,cifar10,0.046296296296296294
3,kcenter,9,cifar10,0.03166666666666667
4,random,1,cifar10,0.175
4,random,2,cifar10,0.1
4,random,3,cifar10,0.10416666666666667
4,random,4,cifar10,0.05
4,random,5,cifar10,0.03888888888888889
4,random,6,cifar10,0.0380952380952381
4,random,7,cifar10,0.035416666666666666
4,random,8,cifar10,0.025925925925925925
4,random,9,cifar10,0.02666666666666667
4,margin,1,cifar10,0.39166666666666666
4,margin,2,cifar10,0.2611111111111111
4,margin,3,cifar10,0.15416666666666667
4,margin,4,cifar10,0.12666666666666668
4,margin,5,cifar10,0.12222222222222222
4,margin,6,cifar10,0.10714285714285714
4,margin,7,cifar10,0.09375
4,margin,8,cifar10,0.07407407407407407
4,margin,9,cifar10,0.06666666666666667
4,confidence,1,cifar10,0.4083333333333333
4,confidence,2,cifar10,0.26666666666666666
4,confidence,3,cifar10,0.20833333333333334
4,confidence,4,cifar10,0.14
4,confidence,5,cifar10,0.1361111111111111
4,confidence,6,cifar10,0.10952380952380952
4,confidence,7,cifar10,0.08958333333333333
4,confidence,8,cifar10,0.07962962962962963
4,confidence,9,cifar10,0.06666666666666667
4,entropy,1,cifar10,0.44166666666666665
4,entropy,2,cifar10,0.2611111111111111
4,entropy,3,cifar10,0.2125
4,entropy,4,cifar10,0.16
4,entropy,5,cifar10,0.12777777777777777
4,entropy,6,cifar10,0.10952380952380952
4,entropy,7,cifar10,0.08958333333333333
4,entropy,8,cifar10,0.07777777777777778
4,entropy,9,cifar10,0.07333333333333333
4,kmeans,1,cifar10,0.125
4,kmeans,2,cifar10,0.1
4,kmeans,3,cifar10,0.058333333333333334
4,kmeans,4,cifar10,0.05
4,kmeans,5,cifar10,0.022222222222222223
4,kmeans,6,cifar10,0.02857142857142857
4,kmeans,7,cifar10,0.025
4,kmeans,8,cifar10,0.024074074074074074
4,kmeans,9,cifar10,0.006666666666666667
4,wkmeans,1,cifar10,0.375
4,wkmeans,2,cifar10,0.2388888888888889
4,wkmeans,3,cifar10,0.15416666666666667
4,wkmeans,4,cifar10,0.12666666666666668
4,wkmeans,5,cifar10,0.11388888888888889
4,wkmeans,6,cifar10,0.10238095238095238
4,wkmeans,7,cifar10,0.06666666666666667
4,wkmeans,8,cifar10,0.08888888888888889
4,wkmeans,9,cifar10,0.06833333333333333
4,iwkmeans,1,cifar10,0.35
4,iwkmeans,2,cifar10,0.25555555555555554
4,iwkmeans,3,cifar10,0.175
4,iwkmeans,4,cifar10,0.11666666666666667
4,iwkmeans,5,cifar10,0.10833333333333334
4,iwkmeans,6,cifar10,0.09047619047619047
4,iwkmeans,7,cifar10,0.08541666666666667
4,iwkmeans,8,cifar10,0.05925925925925926
4,iwkmeans,9,cifar10,0.055
4,kcenter,1,cifar10,0.25833333333333336
4,kcenter,2,cifar10,0.12777777777777777
4,kcenter,3,cifar10,0.07083333333333333
4,kcenter,4,cifar10,0.08666666666666667
4,kcenter,5,cifar10,0.06388888888888888
4,kcenter,6,cifar10,0.04523809523809524
4,kcenter,7,cifar10,0.05416666666666667
4,kcenter,8,cifar10,0.027777777777777776
4,kcenter,9,cifar10,0.035
5,random,1,cifar10,0.20833333333333334
5,random,2,cifar10,0.10555555555555556
5,random,3,cifar10,0.0875
5,random,4,cifar10,0.06666666666666667
5,random,5,cifar10,0.025
5,random,6,cifar10,0.05
5,random,7,cifar10,0.03958333333333333
5,random,8,cifar10,0.03333333333333333
5,random,9,cifar10,0.025
5,margin,1,cifar10,0.38333333333333336
5,margin,2,cifar10,0.2611111111111111
5,margin,3,cifar10,0.15416666666666667
5,margin,4,cifar10,0.12
5,margin,5,cifar10,0.12222222222222222
5,margin,6,cifar10,0.09047619047619047
5,margin,7,cifar10,0.08333333333333333
5,margin,8,cifar10,0.06666666666666667
5,margin,9,cifar10,0.06666666666666667
5,confidence,1,cifar10,0.45
5,confidence,2,cifar10,0.26666666666666666
5,confidence,3,cifar10,0.2
5,confidence,4,cifar10,0.14666666666666667
5,confidence,5,cifar10,0.14166666666666666
5,confidence,6,cifar10,0.11190476190476191
5,confidence,7,cifar10,0.07916666666666666
5,confidence,8,cifar10,0.09074074074074075
5,confidence,9,cifar10,0.07
5,entropy,1,cifar10,0.43333333333333335
