seed,method,n_iter,dataset,value
0,random,1,cifar10,0.6983333333333334
0,random,2,cifar10,0.8075
0,random,3,cifar10,0.8925833333333333
0,random,4,cifar10,0.8781666666666667
0,random,5,cifar10,0.8501666666666666
0,random,6,cifar10,0.9193333333333333
0,random,7,cifar10,0.9518333333333333
0,random,8,cifar10,0.9429166666666666
0,random,9,cifar10,0.9538333333333333
0,margin,1,cifar10,0.6090833333333333
0,margin,2,cifar10,0.7496666666666667
0,margin,3,cifar10,0.7850833333333334
0,margin,4,cifar10,0.8936666666666667
0,margin,5,cifar10,0.91675
0,margin,6,cifar10,0.902
0,margin,7,cifar10,0.9303333333333333
0,margin,8,cifar10,0.9128333333333334
0,margin,9,cifar10,0.9326666666666666
0,confidence,1,cifar10,0.5436666666666666
0,confidence,2,cifar10,0.7434166666666666
0,confidence,3,cifar10,0.8325833333333333
0,confidence,4,cifar10,0.87125
0,confidence,5,cifar10,0.8966666666666666
0,confidence,6,cifar10,0.9405833333333333
0,confidence,7,cifar10,0.906
0,confidence,8,cifar10,0.9231666666666667
0,confidence,9,cifar10,0.9334166666666667
0,entropy,1,cifar10,0.5555833333333333
0,entropy,2,cifar10,0.7300833333333333
0,entropy,3,cifar10,0.85075
0,entropy,4,cifar10,0.8780833333333333
0,entropy,5,cifar10,0.9361666666666667
0,entropy,6,cifar10,0.9108333333333334
0,entropy,7,cifar10,0.9253333333333333
0,entropy,8,cifar10,0.95275
0,entropy,9,cifar10,0.9540833333333333
0,kmeans,1,cifar10,0.44583333333333336
0,kmeans,2,cifar10,0.7869166666666667
0,kmeans,3,cifar10,0.8610833333333333
0,kmeans,4,cifar10,0.8964166666666666
0,kmeans,5,cifar10,0.93275
0,kmeans,6,cifar10,0.9405833333333333
0,kmeans,7,cifar10,0.9484166666666667
0,kmeans,8,cifar10,0.9595833333333333
0,kmeans,9,cifar10,0.9570833333333333
0,wkmeans,1,cifar10,0.48941666666666667
0,wkmeans,2,cifar10,0.6931666666666667
0,wkmeans,3,cifar10,0.7781666666666667
0,wkmeans,4,cifar10,0.847
0,wkmeans,5,cifar10,0.8826666666666667
0,wkmeans,6,cifar10,0.92225
0,wkmeans,7,cifar10,0.9165833333333333
0,wkmeans,8,cifar10,0.9386666666666666
0,wkmeans,9,cifar10,0.9479166666666666
0,iwkmeans,1,cifar10,0.5115
0,iwkmeans,2,cifar10,0.70875
0,iwkmeans,3,cifar10,0.8519166666666667
0,iwkmeans,4,cifar10,0.8833333333333333
0,iwkmeans,5,cifar10,0.9015
0,iwkmeans,6,cifar10,0.9266666666666666
0,iwkmeans,7,cifar10,0.9346666666666666
0,iwkmeans,8,cifar10,0.928
0,iwkmeans,9,cifar10,0.9564166666666667
0,kcenter,1,cifar10,0.9895833333333334
0,kcenter,2,cifar10,0.989
0,kcenter,3,cifar10,0.9929166666666667
0,kcenter,4,cifar10,0.9925
0,kcenter,5,cifar10,0.9928333333333333
0,kcenter,6,cifar10,0.9921666666666666
0,kcenter,7,cifar10,0.9928333333333333
0,kcenter,8,cifar10,0.9895833333333334
0,kcenter,9,cifar10,0.9900833333333333
1,random,1,cifar10,0.72675
1,random,2,cifar10,0.81775
1,random,3,cifar10,0.8216666666666667
1,random,4,cifar10,0.8790833333333333
1,random,5,cifar10,0.93475
1,random,6,cifar10,0.9083333333333333
1,random,7,cifar10,0.9413333333333334
1,random,8,cifar10,0.935
1,random,9,cifar10,0.9355
1,margin,1,cifar10,0.6346666666666667
1,margin,2,cifar10,0.76625
1,margin,3,cifar10,0.8434166666666667
1,margin,4,cifar10,0.8878333333333334
1,margin,5,cifar10,0.8975
1,margin,6,cifar10,0.9176666666666666
1,margin,7,cifar10,0.9228333333333333
1,margin,8,cifar10,0.93075
1,margin,9,cifar10,0.9235
1,confidence,1,cifar10,0.6705833333333333
1,confidence,2,cifar10,0.805
1,confidence,3,cifar10,0.85575
1,confidence,4,cifar10,0.8686666666666667
1,confidence,5,cifar10,0.8603333333333333
1,confidence,6,cifar10,0.91575
1,confidence,7,cifar10,0.92
1,confidence,8,cifar10,0.8933333333333333
1,confidence,9,cifar10,0.9351666666666667
1,entropy,1,cifar10,0.63
1,entropy,2,cifar10,0.8093333333333333
1,entropy,3,cifar10,0.8175
1,entropy,4,cifar10,0.8601666666666666
1,entropy,5,cifar10,0.9133333333333333
1,entropy,6,cifar10,0.8881666666666667
1,entropy,7,cifar10,0.9060833333333334
1,entropy,8,cifar10,0.9519166666666666
1,entropy,9,cifar10,0.9459166666666666
1,kmeans,1,cifar10,0.5008333333333334
1,kmeans,2,cifar10,0.7888333333333334
1,kmeans,3,cifar10,0.8633333333333333
1,kmeans,4,cifar10,0.9001666666666667
1,kmeans,5,cifar10,0.9206666666666666
1,kmeans,6,cifar10,0.9481666666666667
1,kmeans,7,cifar10,0.9495
1,kmeans,8,cifar10,0.9460833333333334
1,kmeans,9,cifar10,0.963
1,wkmeans,1,cifar10,0.5536666666666666
1,wkmeans,2,cifar10,0.7150833333333333
1,wkmeans,3,cifar10,0.8356666666666667
1,wkmeans,4,cifar10,0.8541666666666666
1,wkmeans,5,cifar10,0.86975
1,wkmeans,6,cifar10,0.87375
1,wkmeans,7,cifar10,0.93775
1,wkmeans,8,cifar10,0.9213333333333333
1,wkmeans,9,cifar10,0.92025
1,iwkmeans,1,cifar10,0.5811666666666667
1,iwkmeans,2,cifar10,0.78025
1,iwkmeans,3,cifar10,0.8583333333333333
1,iwkmeans,4,cifar10,0.84975
1,iwkmeans,5,cifar10,0.8900833333333333
1,iwkmeans,6,cifar10,0.9510833333333333
1,iwkmeans,7,cifar10,0.9328333333333333
1,iwkmeans,8,cifar10,0.9454166666666667
1,iwkmeans,9,cifar10,0.9496666666666667
1,kcenter,1,cifar10,0.9826666666666667
1,kcenter,2,cifar10,0.9889166666666667
1,kcenter,3,cifar10,0.9894166666666667
1,kcenter,4,cifar10,0.98725
1,kcenter,5,cifar10,0.9841666666666666
1,kcenter,6,cifar10,0.9900833333333333
1,kcenter,7,cifar10,0.9885833333333334
1,kcenter,8,cifar10,0.9896666666666667
1,kcenter,9,cifar10,0.9874166666666667
2,random,1,cifar10,0.6586666666666666
2,random,2,cifar10,0.7443333333333333
2,random,3,cifar10,0.7465833333333334
2,random,4,cifar10,0.8704166666666666
2,random,5,cifar10,0.9403333333333334
2,random,6,cifar10,0.9048333333333334
2,random,7,cifar10,0.93
2,random,8,cifar10,0.9199166666666667
2,random,9,cifar10,0.9561666666666667
2,margin,1,cifar10,0.6299166666666667
2,margin,2,cifar10,0.6476666666666666
2,margin,3,cifar10,0.7775833333333333
2,margin,4,cifar10,0.9088333333333334
2,margin,5,cifar10,0.9109166666666667
2,margin,6,cifar10,0.9196666666666666
2,margin,7,cifar10,0.9236666666666666
2,margin,8,cifar10,0.9436666666666667
2,margin,9,cifar10,0.94475
2,confidence,1,cifar10,0.59325
2,confidence,2,cifar10,0.6695
2,confidence,3,cifar10,0.8038333333333333
2,confidence,4,cifar10,0.8033333333333333
2,confidence,5,cifar10,0.9055
2,confidence,6,cifar10,0.9073333333333333
2,confidence,7,cifar10,0.8679166666666667
2,confidence,8,cifar10,0.9401666666666667
2,confidence,9,cifar10,0.95
2,entropy,1,cifar10,0.6509166666666667
2,entropy,2,cifar10,0.6753333333333333
2,entropy,3,cifar10,0.7513333333333333
2,entropy,4,cifar10,0.8468333333333333
2,entropy,5,cifar10,0.9178333333333333
2,entropy,6,cifar10,0.91075
2,entropy,7,cifar10,0.9245833333333333
2,entropy,8,cifar10,0.9038333333333334
2,entropy,9,cifar10,0.937
2,kmeans,1,cifar10,0.49875
2,kmeans,2,cifar10,0.7685833333333333
2,kmeans,3,cifar10,0.87825
2,kmeans,4,cifar10,0.9109166666666667
2,kmeans,5,cifar10,0.9285
2,kmeans,6,cifar10,0.942
2,kmeans,7,cifar10,0.9445833333333333
2,kmeans,8,cifar10,0.958
2,kmeans,9,cifar10,0.9660833333333333
2,wkmeans,1,cifar10,0.4533333333333333
2,wkmeans,2,cifar10,0.6996666666666667
2,wkmeans,3,cifar10,0.81175
2,wkmeans,4,cifar10,0.87675
2,wkmeans,5,cifar10,0.8846666666666667
2,wkmeans,6,cifar10,0.8936666666666667
2,wkmeans,7,cifar10,0.9033333333333333
2,wkmeans,8,cifar10,0.926
2,wkmeans,9,cifar10,0.94125
2,iwkmeans,1,cifar10,0.5343333333333333
2,iwkmeans,2,cifar10,0.70475
2,iwkmeans,3,cifar10,0.8109166666666666
2,iwkmeans,4,cifar10,0.8700833333333333
2,iwkmeans,5,cifar10,0.91525
2,iwkmeans,6,cifar10,0.9053333333333333
2,iwkmeans,7,cifar10,0.9363333333333334
2,iwkmeans,8,cifar10,0.9736666666666667
2,iwkmeans,9,cifar10,0.9866666666666667
2,kcenter,1,cifar10,0.9875
2,kcenter,2,cifar10,0.9824166666666667
2,kcenter,3,cifar10,0.98725
2,kcenter,4,cifar10,0.98725
2,kcenter,5,cifar10,0.9885
2,kcenter,6,cifar10,0.9888333333333333
2,kcenter,7,cifar10,0.9880833333333333
2,kcenter,8,cifar10,0.9835
2,kcenter,9,cifar10,0.9898333333333333
3,random,1,cifar10,0.66575
3,random,2,cifar10,0.8144166666666667
3,random,3,cifar10,0.9026666666666666
3,random,4,cifar10,0.9156666666666666
3,random,5,cifar10,0.9323333333333333
3,random,6,cifar10,0.9155833333333333
3,random,7,cifar10,0.915
3,random,8,cifar10,0.9591666666666666
3,random,9,cifar10,0.9448333333333333
3,margin,1,cifar10,0.6206666666666667
3,margin,2,cifar10,0.8100833333333334
3,margin,3,cifar10,0.8644166666666667
3,margin,4,cifar10,0.8556666666666667
3,margin,5,cifar10,0.9044166666666666
3,margin,6,cifar10,0.90775
3,margin,7,cifar10,0.9129166666666667
3,margin,8,cifar10,0.95375
3,margin,9,cifar10,0.9515833333333333
3,confidence,1,cifar10,0.6614166666666667
3,confidence,2,cifar10,0.7909166666666667
3,confidence,3,cifar10,0.8478333333333333
3,confidence,4,cifar10,0.87575
3,confidence,5,cifar10,0.896
3,confidence,6,cifar10,0.9208333333333333
3,confidence,7,cifar10,0.9236666666666666
3,confidence,8,cifar10,0.911
3,confidence,9,cifar10,0.93775
3,entropy,1,cifar10,0.7004166666666667
3,entropy,2,cifar10,0.7820833333333334
3,entropy,3,cifar10,0.85175
3,entropy,4,cifar10,0.831
3,entropy,5,cifar10,0.9245
3,entropy,6,cifar10,0.9088333333333334
3,entropy,7,cifar10,0.9001666666666667
3,entropy,8,cifar10,0.9499166666666666
3,entropy,9,cifar10,0.9253333333333333
3,kmeans,1,cifar10,0.45966666666666667
3,kmeans,2,cifar10,0.7803333333333333
3,kmeans,3,cifar10,0.8530833333333333
3,kmeans,4,cifar10,0.9084166666666667
3,kmeans,5,cifar10,0.9295
3,kmeans,6,cifar10,0.9365833333333333
3,kmeans,7,cifar10,0.9430833333333334
3,kmeans,8,cifar10,0.9526666666666667
3,kmeans,9,cifar10,0.9653333333333334
3,wkmeans,1,cifar10,0.5465833333333333
3,wkmeans,2,cifar10,0.7256666666666667
3,wkmeans,3,cifar10,0.8103333333333333
3,wkmeans,4,cifar10,0.8601666666666666
3,wkmeans,5,cifar10,0.88825
3,wkmeans,6,cifar10,0.9356666666666666
3,wkmeans,7,cifar10,0.9253333333333333
3,wkmeans,8,cifar10,0.9083333333333333
3,wkmeans,9,cifar10,0.9269166666666667
3,iwkmeans,1,cifar10,0.6001666666666666
3,iwkmeans,2,cifar10,0.7824166666666666
3,iwkmeans,3,cifar10,0.8318333333333333
