seed,method,n_iter,dataset,value
0,random,0,cifar10,0.0
0,random,1,cifar10,0.3719019103517295
0,random,2,cifar10,0.6761688483110286
0,random,3,cifar10,0.992073600585919
0,random,4,cifar10,1.318232369475719
0,random,5,cifar10,1.6385410217426872
0,random,6,cifar10,1.9542712929958859
0,random,7,cifar10,2.280666935211986
0,random,8,cifar10,2.600272764054397
0,random,9,cifar10,2.911708272974476
0,margin,0,cifar10,0.0
0,margin,1,cifar10,0.37484065071637584
0,margin,2,cifar10,0.6923067742682913
0,margin,3,cifar10,1.0085744207011982
0,margin,4,cifar10,1.309046237149428
0,margin,5,cifar10,1.6570166763361736
0,margin,6,cifar10,1.9903340171660422
0,margin,7,cifar10,2.2986838833333847
0,margin,8,cifar10,2.618932212498905
0,margin,9,cifar10,2.93947502089042
0,confidence,0,cifar10,0.0
0,confidence,1,cifar10,0.37972370289091495
0,confidence,2,cifar10,0.7348238216780973
0,confidence,3,cifar10,1.0803554481307895
0,confidence,4,cifar10,1.428357591065455
0,confidence,5,cifar10,1.7744475749090096
0,confidence,6,cifar10,2.128082330525217
0,confidence,7,cifar10,2.448673238396725
0,confidence,8,cifar10,2.766021994999791
0,confidence,9,cifar10,3.1006021850247647
0,entropy,0,cifar10,0.0
0,entropy,1,cifar10,0.3893884325479462
0,entropy,2,cifar10,0.7331882756353817
0,entropy,3,cifar10,1.0932445871015768
0,entropy,4,cifar10,1.4447271568094335
0,entropy,5,cifar10,1.7788358810061344
0,entropy,6,cifar10,2.1062759563886866
0,entropy,7,cifar10,2.453467477235869
0,entropy,8,cifar10,2.800041044154952
0,entropy,9,cifar10,3.1630806808746117
0,kmeans,0,cifar10,0.0
0,kmeans,1,cifar10,0.3664188984323362
0,kmeans,2,cifar10,0.687627027144137
0,kmeans,3,cifar10,1.0330614529543225
0,kmeans,4,cifar10,1.3811742702885657
0,kmeans,5,cifar10,1.6844155081022405
0,kmeans,6,cifar10,2.008905474652796
0,kmeans,7,cifar10,2.3339332160075656
0,kmeans,8,cifar10,2.651228870022936
0,kmeans,9,cifar10,2.9544011151180234
0,wkmeans,0,cifar10,0.0
0,wkmeans,1,cifar10,0.36177973601583324
0,wkmeans,2,cifar10,0.6744585723224359
0,wkmeans,3,cifar10,0.989521072006899
0,wkmeans,4,cifar10,1.3357274404714918
0,wkmeans,5,cifar10,1.6578465205824942
0,wkmeans,6,cifar10,1.9668203893592233
0,wkmeans,7,cifar10,2.271590912794437
0,wkmeans,8,cifar10,2.613037950191092
0,wkmeans,9,cifar10,2.929300371522564
1,random,0,cifar10,0.0
1,random,1,cifar10,0.3571569360787672
1,random,2,cifar10,0.6667164908101857
1,random,3,cifar10,0.9963924396033071
1,random,4,cifar10,1.3173618586025084
1,random,5,cifar10,1.645906063545322
1,random,6,cifar10,1.953841914450797
1,random,7,cifar10,2.285304049886071
1,random,8,cifar10,2.6181959451534165
1,random,9,cifar10,2.9437390676311765
1,margin,0,cifar10,0.0
1,margin,1,cifar10,0.3705987289893127
1,margin,2,cifar10,0.7241905992436971
1,margin,3,cifar10,1.071776718638836
1,margin,4,cifar10,1.375462910389993
1,margin,5,cifar10,1.7030905046494254
1,margin,6,cifar10,2.0244002091088196
1,margin,7,cifar10,2.327370953667573
1,margin,8,cifar10,2.638950856439642
1,margin,9,cifar10,2.9754357730491185
1,confidence,0,cifar10,0.0
1,confidence,1,cifar10,0.3815895849891169
1,confidence,2,cifar10,0.7145296566850603
1,confidence,3,cifar10,1.0701121006065133
1,confidence,4,cifar10,1.4085929831243367
1,confidence,5,cifar10,1.7524042861603981
1,confidence,6,cifar10,2.0629544011975214
1,confidence,7,cifar10,2.4002120518232983
1,confidence,8,cifar10,2.738604155091879
1,confidence,9,cifar10,3.080338347842131
1,entropy,0,cifar10,0.0
1,entropy,1,cifar10,0.39603062986573767
1,entropy,2,cifar10,0.7527618935659109
1,entropy,3,cifar10,1.1413006581824572
1,entropy,4,cifar10,1.460502046541639
1,entropy,5,cifar10,1.8360514571983992
1,entropy,6,cifar10,2.1656679537672026
1,entropy,7,cifar10,2.511358218722747
1,entropy,8,cifar10,2.8334092455388995
1,entropy,9,cifar10,3.1860112401523675
1,kmeans,0,cifar10,0.0
1,kmeans,1,cifar10,0.3718147828565448
1,kmeans,2,cifar10,0.6865206333717123
1,kmeans,3,cifar10,1.0161180691591145
1,kmeans,4,cifar10,1.3541112011862784
1,kmeans,5,cifar10,1.6629938730095344
1,kmeans,6,cifar10,2.016898478498477
1,kmeans,7,cifar10,2.323033250538514
1,kmeans,8,cifar10,2.647269398271175
1,kmeans,9,cifar10,2.9833667595615143
1,wkmeans,0,cifar10,0.0
1,wkmeans,1,cifar10,0.35585427032275896
1,wkmeans,2,cifar10,0.6765344253770205
