seed,method,n_iter,dataset,value
0,random,0,cifar10_simclr,0.9959312909588488
0,random,1,cifar10_simclr,0.9811398648816226
0,random,2,cifar10_simclr,1.0177344246571416
0,random,3,cifar10_simclr,1.0449836480916226
0,random,4,cifar10_simclr,1.0619823791983274
0,random,5,cifar10_simclr,1.0609272382791326
0,random,6,cifar10_simclr,1.050204008137892
0,random,7,cifar10_simclr,1.0595912147833064
0,random,8,cifar10_simclr,1.089059114764202
0,random,9,cifar10_simclr,1.086506771110776
0,margin,0,cifar10_simclr,0.9055056635358658
0,margin,1,cifar10_simclr,0.9575947465442533
0,margin,2,cifar10_simclr,0.9580442914441498
0,margin,3,cifar10_simclr,0.9747500156740173
0,margin,4,cifar10_simclr,0.9829925763937628
0,margin,5,cifar10_simclr,0.9862142356450989
0,margin,6,cifar10_simclr,0.9759811092682099
0,margin,7,cifar10_simclr,0.9780886405903004
0,margin,8,cifar10_simclr,0.9940282647952748
0,margin,9,cifar10_simclr,0.9902832264402833
0,confidence,0,cifar10_simclr,0.9069684205830703
0,confidence,1,cifar10_simclr,0.9660253409884512
0,confidence,2,cifar10_simclr,0.9435233210758954
0,confidence,3,cifar10_simclr,0.9667720310133466
0,confidence,4,cifar10_simclr,0.9744733349653644
0,confidence,5,cifar10_simclr,0.9717557350542182
0,confidence,6,cifar10_simclr,0.9676130357339099
0,confidence,7,cifar10_simclr,0.9731464749805184
0,confidence,8,cifar10_simclr,0.9714759469593325
0,confidence,9,cifar10_simclr,0.9751918806245337
0,entropy,0,cifar10_simclr,0.8947679530741761
0,entropy,1,cifar10_simclr,0.944997012168033
0,entropy,2,cifar10_simclr,0.9681144418117577
0,entropy,3,cifar10_simclr,0.9786562064490555
0,entropy,4,cifar10_simclr,0.9627484011905502
0,entropy,5,cifar10_simclr,0.9723177584515716
0,entropy,6,cifar10_simclr,0.9817442567638952
0,entropy,7,cifar10_simclr,0.9630834171160714
0,entropy,8,cifar10_simclr,0.9788528229226984
0,entropy,9,cifar10_simclr,0.9766062974656513
0,kmeans,0,cifar10_simclr,0.9817618720883068
0,kmeans,1,cifar10_simclr,1.0195825619896386
0,kmeans,2,cifar10_simclr,1.0514580293232454
0,kmeans,3,cifar10_simclr,1.0713931044481724
0,kmeans,4,cifar10_simclr,1.1006615446323142
0,kmeans,5,cifar10_simclr,1.1133591872206685
0,kmeans,6,cifar10_simclr,1.1359475547604778
0,kmeans,7,cifar10_simclr,1.1645337077048767
0,kmeans,8,cifar10_simclr,1.1821131548239285
0,kmeans,9,cifar10_simclr,1.212289518417319
0,wkmeans,0,cifar10_simclr,0.946635976739916
0,wkmeans,1,cifar10_simclr,0.9567141075063649
0,wkmeans,2,cifar10_simclr,0.9006062292913071
0,wkmeans,3,cifar10_simclr,0.9566413057896325
0,wkmeans,4,cifar10_simclr,0.9533377688679139
0,wkmeans,5,cifar10_simclr,0.9641024717721358
0,wkmeans,6,cifar10_simclr,0.9749031454218612
0,wkmeans,7,cifar10_simclr,0.9769142276621137
0,wkmeans,8,cifar10_simclr,0.980490916072306
0,wkmeans,9,cifar10_simclr,0.9898007410864539
1,random,0,cifar10_simclr,0.9557531032749966
1,random,1,cifar10_simclr,0.9950706421919981
1,random,2,cifar10_simclr,1.0201260349269408
1,random,3,cifar10_simclr,1.0452121524921356
1,random,4,cifar10_simclr,1.0521128706536436
1,random,5,cifar10_simclr,1.0751537862511855
1,random,6,cifar10_simclr,1.0763693377021428
1,random,7,cifar10_simclr,1.0800122883240584
1,random,8,cifar10_simclr,1.0615438107588426
1,random,9,cifar10_simclr,1.0924716656990017
1,margin,0,cifar10_simclr,0.8464442581389058
1,margin,1,cifar10_simclr,0.9036886799309936
1,margin,2,cifar10_simclr,0.9576547921477363
1,margin,3,cifar10_simclr,0.9606991608279948
1,margin,4,cifar10_simclr,0.9682857081736741
1,margin,5,cifar10_simclr,0.9736734291636361
1,margin,6,cifar10_simclr,0.9754687714135282
1,margin,7,cifar10_simclr,0.9774611215235947
1,margin,8,cifar10_simclr,0.9833835344694652
1,margin,9,cifar10_simclr,0.9817463260278034
1,confidence,0,cifar10_simclr,0.7689966629624617
