seed,method,n_iter,dataset,value
0,random,1,cifar10_simclr,0.2916666666666667
0,random,2,cifar10_simclr,0.09444444444444444
0,random,3,cifar10_simclr,0.09583333333333334
0,random,4,cifar10_simclr,0.1
0,random,5,cifar10_simclr,0.07777777777777778
0,random,6,cifar10_simclr,0.05952380952380952
0,random,7,cifar10_simclr,0.03333333333333333
0,random,8,cifar10_simclr,0.03888888888888889
0,random,9,cifar10_simclr,0.04833333333333333
0,margin,1,cifar10_simclr,0.55
0,margin,2,cifar10_simclr,0.4
0,margin,3,cifar10_simclr,0.2708333333333333
0,margin,4,cifar10_simclr,0.25333333333333335
0,margin,5,cifar10_simclr,0.22777777777777777
0,margin,6,cifar10_simclr,0.21904761904761905
0,margin,7,cifar10_simclr,0.14375
0,margin,8,cifar10_simclr,0.1259259259259259
0,margin,9,cifar10_simclr,0.10666666666666667
0,confidence,1,cifar10_simclr,0.6333333333333333
0,confidence,2,cifar10_simclr,0.5277777777777778
0,confidence,3,cifar10_simclr,0.3
0,confidence,4,cifar10_simclr,0.30666666666666664
0,confidence,5,cifar10_simclr,0.25
0,confidence,6,cifar10_simclr,0.20952380952380953
0,confidence,7,cifar10_simclr,0.1625
0,confidence,8,cifar10_simclr,0.15185185185185185
0,confidence,9,cifar10_simclr,0.165
0,entropy,1,cifar10_simclr,0.6
0,entropy,2,cifar10_simclr,0.4722222222222222
0,entropy,3,cifar10_simclr,0.30833333333333335
0,entropy,4,cifar10_simclr,0.2733333333333333
0,entropy,5,cifar10_simclr,0.17777777777777778
0,entropy,6,cifar10_simclr,0.19523809523809524
0,entropy,7,cifar10_simclr,0.17083333333333334
0,entropy,8,cifar10_simclr,0.18888888888888888
0,entropy,9,cifar10_simclr,0.11666666666666667
0,kmeans,1,cifar10_simclr,0.2916666666666667
0,kmeans,2,cifar10_simclr,0.1111111111111111
0,kmeans,3,cifar10_simclr,0.075
0,kmeans,4,cifar10_simclr,0.043333333333333335
0,kmeans,5,cifar10_simclr,0.05
0,kmeans,6,cifar10_simclr,0.02142857142857143
0,kmeans,7,cifar10_simclr,0.029166666666666667
0,kmeans,8,cifar10_simclr,0.014814814814814815
0,kmeans,9,cifar10_simclr,0.018333333333333333
0,wkmeans,1,cifar10_simclr,0.6166666666666667
0,wkmeans,2,cifar10_simclr,0.38333333333333336
0,wkmeans,3,cifar10_simclr,0.36666666666666664
0,wkmeans,4,cifar10_simclr,0.22666666666666666
0,wkmeans,5,cifar10_simclr,0.20555555555555555
0,wkmeans,6,cifar10_simclr,0.1976190476190476
0,wkmeans,7,cifar10_simclr,0.16458333333333333
0,wkmeans,8,cifar10_simclr,0.1425925925925926
0,wkmeans,9,cifar10_simclr,0.13166666666666665
0,iwkmeans,1,cifar10_simclr,0.5416666666666666
0,iwkmeans,2,cifar10_simclr,0.4
0,iwkmeans,3,cifar10_simclr,0.30416666666666664
0,iwkmeans,4,cifar10_simclr,0.24
0,iwkmeans,5,cifar10_simclr,0.18055555555555555
0,iwkmeans,6,cifar10_simclr,0.16666666666666666
0,iwkmeans,7,cifar10_simclr,0.12916666666666668
0,iwkmeans,8,cifar10_simclr,0.12962962962962962
0,iwkmeans,9,cifar10_simclr,0.13166666666666665
0,kcenter,1,cifar10_simclr,0.15
0,kcenter,2,cifar10_simclr,0.09444444444444444
0,kcenter,3,cifar10_simclr,0.08333333333333333
0,kcenter,4,cifar10_simclr,0.07666666666666666
0,kcenter,5,cifar10_simclr,0.08333333333333333
0,kcenter,6,cifar10_simclr,0.08571428571428572
0,kcenter,7,cifar10_simclr,0.06458333333333334
0,kcenter,8,cifar10_simclr,0.06111111111111111
0,kcenter,9,cifar10_simclr,0.055
1,random,1,cifar10_simclr,0.35
1,random,2,cifar10_simclr,0.15
1,random,3,cifar10_simclr,0.1125
1,random,4,cifar10_simclr,0.08
1,random,5,cifar10_simclr,0.06388888888888888
1,random,6,cifar10_simclr,0.03333333333333333
1,random,7,cifar10_simclr,0.027083333333333334
1,random,8,cifar10_simclr,0.04259259259259259
1,random,9,cifar10_simclr,0.03833333333333333
1,margin,1,cifar10_simclr,0.5833333333333334
1,margin,2,cifar10_simclr,0.3611111111111111
1,margin,3,cifar10_simclr,0.30833333333333335
1,margin,4,cifar10_simclr,0.22
1,margin,5,cifar10_simclr,0.19722222222222222
1,margin,6,cifar10_simclr,0.14285714285714285
1,margin,7,cifar10_simclr,0.11458333333333333
1,margin,8,cifar10_simclr,0.13148148148148148
1,margin,9,cifar10_simclr,0.12833333333333333
1,confidence,1,cifar10_simclr,0.6
1,confidence,2,cifar10_simclr,0.45
1,confidence,3,cifar10_simclr,0.35833333333333334
1,confidence,4,cifar10_simclr,0.2833333333333333
1,confidence,5,cifar10_simclr,0.2111111111111111
1,confidence,6,cifar10_simclr,0.17142857142857143
1,confidence,7,cifar10_simclr,0.16458333333333333
1,confidence,8,cifar10_simclr,0.18333333333333332
1,confidence,9,cifar10_simclr,0.14333333333333334
1,entropy,1,cifar10_simclr,0.6333333333333333
1,entropy,2,cifar10_simclr,0.4166666666666667
1,entropy,3,cifar10_simclr,0.3458333333333333
1,entropy,4,cifar10_simclr,0.29333333333333333
1,entropy,5,cifar10_simclr,0.20277777777777778
1,entropy,6,cifar10_simclr,0.22857142857142856
1,entropy,7,cifar10_simclr,0.17083333333333334
1,entropy,8,cifar10_simclr,0.1259259259259259
1,entropy,9,cifar10_simclr,0.125
1,kmeans,1,cifar10_simclr,0.55
1,kmeans,2,cifar10_simclr,0.12777777777777777
1,kmeans,3,cifar10_simclr,0.0625
1,kmeans,4,cifar10_simclr,0.056666666666666664
1,kmeans,5,cifar10_simclr,0.058333333333333334
1,kmeans,6,cifar10_simclr,0.02857142857142857
1,kmeans,7,cifar10_simclr,0.025
1,kmeans,8,cifar10_simclr,0.025925925925925925
1,kmeans,9,cifar10_simclr,0.01
1,wkmeans,1,cifar10_simclr,0.6083333333333333
1,wkmeans,2,cifar10_simclr,0.34444444444444444
1,wkmeans,3,cifar10_simclr,0.3375
1,wkmeans,4,cifar10_simclr,0.2633333333333333
1,wkmeans,5,cifar10_simclr,0.18055555555555555
1,wkmeans,6,cifar10_simclr,0.2
1,wkmeans,7,cifar10_simclr,0.14583333333333334
1,wkmeans,8,cifar10_simclr,0.15
1,wkmeans,9,cifar10_simclr,0.10166666666666667
1,iwkmeans,1,cifar10_simclr,0.6416666666666667
1,iwkmeans,2,cifar10_simclr,0.37222222222222223
1,iwkmeans,3,cifar10_simclr,0.225
1,iwkmeans,4,cifar10_simclr,0.25666666666666665
1,iwkmeans,5,cifar10_simclr,0.20555555555555555
1,iwkmeans,6,cifar10_simclr,0.13333333333333333
1,iwkmeans,7,cifar10_simclr,0.16041666666666668
1,iwkmeans,8,cifar10_simclr,0.12037037037037036
1,iwkmeans,9,cifar10_simclr,0.095
1,kcenter,1,cifar10_simclr,0.14166666666666666
1,kcenter,2,cifar10_simclr,0.12777777777777777
1,kcenter,3,cifar10_simclr,0.08333333333333333
1,kcenter,4,cifar10_simclr,0.09333333333333334
1,kcenter,5,cifar10_simclr,0.10277777777777777
1,kcenter,6,cifar10_simclr,0.07857142857142857
1,kcenter,7,cifar10_simclr,0.07083333333333333
1,kcenter,8,cifar10_simclr,0.05185185185185185
1,kcenter,9,cifar10_simclr,0.056666666666666664
2,random,1,cifar10_simclr,0.3
2,random,2,cifar10_simclr,0.18888888888888888
2,random,3,cifar10_simclr,0.13333333333333333
2,random,4,cifar10_simclr,0.056666666666666664
2,random,5,cifar10_simclr,0.05277777777777778
2,random,6,cifar10_simclr,0.03333333333333333
