seed,method,n_iter,dataset,value
0,random,1,cifar10_simclr,0.30990249518553414
0,random,2,cifar10_simclr,0.13264224048455556
0,random,3,cifar10_simclr,0.10703098400433858
0,random,4,cifar10_simclr,0.06870115453998248
0,random,5,cifar10_simclr,0.08796743685007095
0,random,6,cifar10_simclr,0.050181477049986524
0,random,7,cifar10_simclr,0.06035438217719396
0,random,8,cifar10_simclr,0.04149808696905772
0,random,9,cifar10_simclr,0.04143642010291417
0,margin,1,cifar10_simclr,0.26137789702415465
0,margin,2,cifar10_simclr,0.12620556424061458
0,margin,3,cifar10_simclr,0.06723661067088445
0,margin,4,cifar10_simclr,0.056537765622138976
0,margin,5,cifar10_simclr,0.04245755543311437
0,margin,6,cifar10_simclr,0.04209530345598857
0,margin,7,cifar10_simclr,0.0254736151099205
0,margin,8,cifar10_simclr,0.021182920316855113
0,margin,9,cifar10_simclr,0.02903159926335017
0,confidence,1,cifar10_simclr,0.2262905680735906
0,confidence,2,cifar10_simclr,0.09753281497955323
0,confidence,3,cifar10_simclr,0.058504947543144226
0,confidence,4,cifar10_simclr,0.04740976695219676
0,confidence,5,cifar10_simclr,0.033286051948865254
0,confidence,6,cifar10_simclr,0.023634538253148398
0,confidence,7,cifar10_simclr,0.017589969595273335
0,confidence,8,cifar10_simclr,0.019006440460681916
0,confidence,9,cifar10_simclr,0.03292601311206818
0,entropy,1,cifar10_simclr,0.23524256393313409
0,entropy,2,cifar10_simclr,0.07605101915200552
0,entropy,3,cifar10_simclr,0.06341067810853322
0,entropy,4,cifar10_simclr,0.03233938175439834
0,entropy,5,cifar10_simclr,0.02287172317504883
0,entropy,6,cifar10_simclr,0.02225756494204203
0,entropy,7,cifar10_simclr,0.019350129544734956
0,entropy,8,cifar10_simclr,0.02160112428665161
0,entropy,9,cifar10_simclr,0.013833554089069366
0,kmeans,1,cifar10_simclr,0.6570975178678831
0,kmeans,2,cifar10_simclr,0.1869982493718465
0,kmeans,3,cifar10_simclr,0.09983367298046748
0,kmeans,4,cifar10_simclr,0.0579922038714091
0,kmeans,5,cifar10_simclr,0.04530133550365766
0,kmeans,6,cifar10_simclr,0.03649694626530012
0,kmeans,7,cifar10_simclr,0.028542376597722373
0,kmeans,8,cifar10_simclr,0.02596850234270096
0,kmeans,9,cifar10_simclr,0.0275119602282842
0,wkmeans,1,cifar10_simclr,0.3690751695036888
0,wkmeans,2,cifar10_simclr,0.10969727928439776
0,wkmeans,3,cifar10_simclr,0.08715722688039144
0,wkmeans,4,cifar10_simclr,0.05735778486728668
0,wkmeans,5,cifar10_simclr,0.046628228743871056
0,wkmeans,6,cifar10_simclr,0.04193225045998891
0,wkmeans,7,cifar10_simclr,0.02857739269733429
0,wkmeans,8,cifar10_simclr,0.022043861945470176
0,wkmeans,9,cifar10_simclr,0.01416096677382787
0,iwkmeans,1,cifar10_simclr,0.3438576073447863
0,iwkmeans,2,cifar10_simclr,0.1235932008822759
0,iwkmeans,3,cifar10_simclr,0.07378709705670675
0,iwkmeans,4,cifar10_simclr,0.04123410552740097
