seed,method,n_iter,dataset,value
0,random,1,mnist,0.36428571428571427
0,random,2,mnist,0.19047619047619047
0,random,3,mnist,0.13214285714285715
0,random,4,mnist,0.06571428571428571
0,random,5,mnist,0.05
0,random,6,mnist,0.05714285714285714
0,random,7,mnist,0.04285714285714286
0,random,8,mnist,0.012698412698412698
0,random,9,mnist,0.027142857142857142
0,margin,1,mnist,0.45
0,margin,2,mnist,0.29523809523809524
0,margin,3,mnist,0.21785714285714286
0,margin,4,mnist,0.20857142857142857
0,margin,5,mnist,0.1380952380952381
0,margin,6,mnist,0.12448979591836734
0,margin,7,mnist,0.08392857142857142
0,margin,8,mnist,0.08888888888888889
0,margin,9,mnist,0.08
0,confidence,1,mnist,0.45
0,confidence,2,mnist,0.4
0,confidence,3,mnist,0.26071428571428573
0,confidence,4,mnist,0.21428571428571427
0,confidence,5,mnist,0.1523809523809524
0,confidence,6,mnist,0.12244897959183673
0,confidence,7,mnist,0.09821428571428571
0,confidence,8,mnist,0.08571428571428572
0,confidence,9,mnist,0.07571428571428572
0,entropy,1,mnist,0.45714285714285713
0,entropy,2,mnist,0.38571428571428573
0,entropy,3,mnist,0.26785714285714285
0,entropy,4,mnist,0.18285714285714286
0,entropy,5,mnist,0.16904761904761906
0,entropy,6,mnist,0.11428571428571428
0,entropy,7,mnist,0.11785714285714285
0,entropy,8,mnist,0.06666666666666667
0,entropy,9,mnist,0.07428571428571429
0,kmeans,1,mnist,0.2642857142857143
0,kmeans,2,mnist,0.08571428571428572
0,kmeans,3,mnist,0.03214285714285714
0,kmeans,4,mnist,0.02
0,kmeans,5,mnist,0.009523809523809525
0,kmeans,6,mnist,0.004081632653061225
0,kmeans,7,mnist,0.008928571428571428
0,kmeans,8,mnist,0.004761904761904762
0,kmeans,9,mnist,0.005714285714285714
0,wkmeans,1,mnist,0.4642857142857143
0,wkmeans,2,mnist,0.21904761904761905
0,wkmeans,3,mnist,0.21071428571428572
0,wkmeans,4,mnist,0.16285714285714287
0,wkmeans,5,mnist,0.1619047619047619
