seed,method,n_iter,dataset,value
0,random,1,mnist,0.17142857142857143
0,random,2,mnist,0.08571428571428572
0,random,3,mnist,0.039285714285714285
0,random,4,mnist,0.03142857142857143
0,random,5,mnist,0.02857142857142857
0,random,6,mnist,0.014285714285714285
0,random,7,mnist,0.02857142857142857
0,random,8,mnist,0.011111111111111112
0,random,9,mnist,0.017142857142857144
0,margin,1,mnist,0.32142857142857145
0,margin,2,mnist,0.20952380952380953
0,margin,3,mnist,0.17142857142857143
0,margin,4,mnist,0.11142857142857143
0,margin,5,mnist,0.10714285714285714
0,margin,6,mnist,0.08163265306122448
0,margin,7,mnist,0.08392857142857142
0,margin,8,mnist,0.06825396825396825
0,margin,9,mnist,0.05
0,confidence,1,mnist,0.35
0,confidence,2,mnist,0.2619047619047619
0,confidence,3,mnist,0.20357142857142857
0,confidence,4,mnist,0.14285714285714285
0,confidence,5,mnist,0.1
0,confidence,6,mnist,0.1
0,confidence,7,mnist,0.0875
0,confidence,8,mnist,0.09523809523809523
0,confidence,9,mnist,0.06714285714285714
0,entropy,1,mnist,0.3142857142857143
0,entropy,2,mnist,0.2571428571428571
0,entropy,3,mnist,0.225
0,entropy,4,mnist,0.15714285714285714
0,entropy,5,mnist,0.1357142857142857
0,entropy,6,mnist,0.11020408163265306
0,entropy,7,mnist,0.09642857142857143
0,entropy,8,mnist,0.08253968253968254
0,entropy,9,mnist,0.07
0,kmeans,1,mnist,0.07142857142857142
0,kmeans,2,mnist,0.014285714285714285
0,kmeans,3,mnist,0.007142857142857143
0,kmeans,4,mnist,0.002857142857142857
0,kmeans,5,mnist,0.004761904761904762
0,kmeans,6,mnist,0.004081632653061225
0,kmeans,7,mnist,0.0
0,kmeans,8,mnist,0.0
0,kmeans,9,mnist,0.002857142857142857
0,wkmeans,1,mnist,0.30714285714285716
0,wkmeans,2,mnist,0.2571428571428571
0,wkmeans,3,mnist,0.16428571428571428
0,wkmeans,4,mnist,0.10857142857142857
0,wkmeans,5,mnist,0.10238095238095238
0,wkmeans,6,mnist,0.07959183673469387
0,wkmeans,7,mnist,0.07678571428571429
0,wkmeans,8,mnist,0.06666666666666667
0,wkmeans,9,mnist,0.05
0,iwkmeans,1,mnist,0.30714285714285716
0,iwkmeans,2,mnist,0.23333333333333334
0,iwkmeans,3,mnist,0.15
0,iwkmeans,4,mnist,0.13714285714285715
0,iwkmeans,5,mnist,0.0880952380952381
0,iwkmeans,6,mnist,0.09183673469387756
0,iwkmeans,7,mnist,0.06785714285714285
0,iwkmeans,8,mnist,0.06825396825396825
0,iwkmeans,9,mnist,0.05714285714285714
0,kcenter,1,mnist,0.22142857142857142
0,kcenter,2,mnist,0.16666666666666666
0,kcenter,3,mnist,0.10357142857142858
0,kcenter,4,mnist,0.08857142857142856
0,kcenter,5,mnist,0.06666666666666667
0,kcenter,6,mnist,0.04693877551020408
0,kcenter,7,mnist,0.033928571428571426
0,kcenter,8,mnist,0.031746031746031744
0,kcenter,9,mnist,0.041428571428571426
1,random,1,mnist,0.18571428571428572
1,random,2,mnist,0.07142857142857142
1,random,3,mnist,0.05
1,random,4,mnist,0.04285714285714286
1,random,5,mnist,0.01904761904761905
1,random,6,mnist,0.0326530612244898
1,random,7,mnist,0.019642857142857142
1,random,8,mnist,0.014285714285714285
1,random,9,mnist,0.008571428571428572
1,margin,1,mnist,0.37142857142857144
1,margin,2,mnist,0.22857142857142856
1,margin,3,mnist,0.15357142857142858
1,margin,4,mnist,0.1457142857142857
1,margin,5,mnist,0.10476190476190476
1,margin,6,mnist,0.07755102040816327
1,margin,7,mnist,0.08392857142857142
1,margin,8,mnist,0.06507936507936508
1,margin,9,mnist,0.05857142857142857
1,confidence,1,mnist,0.42857142857142855
1,confidence,2,mnist,0.2619047619047619
1,confidence,3,mnist,0.18571428571428572
1,confidence,4,mnist,0.15142857142857144
1,confidence,5,mnist,0.12380952380952381
1,confidence,6,mnist,0.10612244897959183
1,confidence,7,mnist,0.08928571428571429
1,confidence,8,mnist,0.07777777777777778
1,confidence,9,mnist,0.06857142857142857
1,entropy,1,mnist,0.42857142857142855
1,entropy,2,mnist,0.2571428571428571
1,entropy,3,mnist,0.18928571428571428
1,entropy,4,mnist,0.12571428571428572
1,entropy,5,mnist,0.11904761904761904
1,entropy,6,mnist,0.09591836734693877
1,entropy,7,mnist,0.10178571428571428
1,entropy,8,mnist,0.0746031746031746
1,entropy,9,mnist,0.05714285714285714
1,kmeans,1,mnist,0.09285714285714286
1,kmeans,2,mnist,0.023809523809523808
1,kmeans,3,mnist,0.007142857142857143
1,kmeans,4,mnist,0.005714285714285714
1,kmeans,5,mnist,0.004761904761904762
1,kmeans,6,mnist,0.0020408163265306124
1,kmeans,7,mnist,0.0017857142857142857
1,kmeans,8,mnist,0.0031746031746031746
1,kmeans,9,mnist,0.0014285714285714286
1,wkmeans,1,mnist,0.35714285714285715
1,wkmeans,2,mnist,0.20952380952380953
