seed,method,n_iter,dataset,value
0,random,1,mnist,0.42616406416893005
0,random,2,mnist,0.2613699288708823
0,random,3,mnist,0.1696604034815516
0,random,4,mnist,0.10484703468424933
0,random,5,mnist,0.0735277100290571
0,random,6,mnist,0.08289237067529133
0,random,7,mnist,0.0630956209216799
0,random,8,mnist,0.05153714141675404
0,random,9,mnist,0.03936759454863412
0,margin,1,mnist,0.3421165136780058
0,margin,2,mnist,0.19370982967955724
0,margin,3,mnist,0.10396173780305044
0,margin,4,mnist,0.1095549840586526
0,margin,5,mnist,0.06913884828771864
0,margin,6,mnist,0.06337318359102521
0,margin,7,mnist,0.03931527718475887
0,margin,8,mnist,0.028889995626040867
0,margin,9,mnist,0.03223472901753017
0,confidence,1,mnist,0.23161695889064243
0,confidence,2,mnist,0.14925928601196833
0,confidence,3,mnist,0.09552098207814352
0,confidence,4,mnist,0.09245454275608063
0,confidence,5,mnist,0.05010047522612981
0,confidence,6,mnist,0.03703909516334534
0,confidence,7,mnist,0.041054899675505505
0,confidence,8,mnist,0.029307671053068977
0,confidence,9,mnist,0.02793578381197793
0,entropy,1,mnist,0.19405021349021367
0,entropy,2,mnist,0.15828849935531616
0,entropy,3,mnist,0.07230627402237483
0,entropy,4,mnist,0.09139607320513043
0,entropy,5,mnist,0.0413981169121606
0,entropy,6,mnist,0.032960175573825835
0,entropy,7,mnist,0.035728907448904855
0,entropy,8,mnist,0.03308630904129573
0,entropy,9,mnist,0.031135350499834333
0,kmeans,1,mnist,0.827202110018049
0,kmeans,2,mnist,0.22957586760180337
0,kmeans,3,mnist,0.13623312075648988
0,kmeans,4,mnist,0.0801917280639921
0,kmeans,5,mnist,0.06818913417203086
0,kmeans,6,mnist,0.05278682457549232
0,kmeans,7,mnist,0.0466379114985466
0,kmeans,8,mnist,0.04016639617511204
0,kmeans,9,mnist,0.03668529748916626
0,wkmeans,1,mnist,0.46407525069372996
0,wkmeans,2,mnist,0.18680391102177757
0,wkmeans,3,mnist,0.09945572427340917
0,wkmeans,4,mnist,0.09374213044132505
0,wkmeans,5,mnist,0.06758499215330396
0,wkmeans,6,mnist,0.04844623630387442
0,wkmeans,7,mnist,0.040590181844575066
0,wkmeans,8,mnist,0.03158330604008266
0,wkmeans,9,mnist,0.02386478111573628
0,iwkmeans,1,mnist,0.40911394318512506
0,iwkmeans,2,mnist,0.19899195201907838
0,iwkmeans,3,mnist,0.10626949737753187
0,iwkmeans,4,mnist,0.0894107162952423
0,iwkmeans,5,mnist,0.043523778881345475
0,iwkmeans,6,mnist,0.04414996664864676
0,iwkmeans,7,mnist,0.03993356849466052
0,iwkmeans,8,mnist,0.04947909975903375
0,iwkmeans,9,mnist,0.02532699682031359
0,kcenter,1,mnist,0.10852478623390198
0,kcenter,2,mnist,0.09025542770113264
0,kcenter,3,mnist,0.07026827488626752
0,kcenter,4,mnist,0.05652322423458099
0,kcenter,5,mnist,0.02915066041265215
0,kcenter,6,mnist,0.03785435918399266
0,kcenter,7,mnist,0.03788598128727504
0,kcenter,8,mnist,0.03184154054096767
0,kcenter,9,mnist,0.04000996334212167
1,random,1,mnist,0.4385537115250315
1,random,2,mnist,0.22751642345530645
1,random,3,mnist,0.14477897899491446
1,random,4,mnist,0.10635601670401437
1,random,5,mnist,0.07481146208729063
1,random,6,mnist,0.0772589806999479
1,random,7,mnist,0.05615550002881459
1,random,8,mnist,0.05748638315711702
1,random,9,mnist,0.0499379163980484
1,margin,1,mnist,0.3774783437848091
1,margin,2,mnist,0.17663688279901232
1,margin,3,mnist,0.10786036668504988
1,margin,4,mnist,0.07389279959883009
1,margin,5,mnist,0.06281230619975499
1,margin,6,mnist,0.07256148338317871
1,margin,7,mnist,0.04648475859846388
1,margin,8,mnist,0.038750909328460696
1,margin,9,mnist,0.030091921942574637
1,confidence,1,mnist,0.22859699986662183
1,confidence,2,mnist,0.1570992010831833
1,confidence,3,mnist,0.07629325229781014
1,confidence,4,mnist,0.07671870950290136
1,confidence,5,mnist,0.048915495685168675
1,confidence,6,mnist,0.06488626599311828
1,confidence,7,mnist,0.043954805544444496
1,confidence,8,mnist,0.03006280025414058
1,confidence,9,mnist,0.030092613526753017
1,entropy,1,mnist,0.19484775621550424
1,entropy,2,mnist,0.09434171787330083
1,entropy,3,mnist,0.1309772781729698
1,entropy,4,mnist,0.07566675639152527
1,entropy,5,mnist,0.04601300503526415
1,entropy,6,mnist,0.05040354265485491
1,entropy,7,mnist,0.04200439167022705
1,entropy,8,mnist,0.03811627665587834
1,entropy,9,mnist,0.029721199819019863
1,kmeans,1,mnist,0.7850570861612047
1,kmeans,2,mnist,0.2288247649073601
1,kmeans,3,mnist,0.12691217812470026
1,kmeans,4,mnist,0.08832877766234534
1,kmeans,5,mnist,0.06955254846811294
1,kmeans,6,mnist,0.051994839242526465
1,kmeans,7,mnist,0.04377956012317113
1,kmeans,8,mnist,0.03540733685663768
1,kmeans,9,mnist,0.03704670595271247
1,wkmeans,1,mnist,0.4816061005762645
1,wkmeans,2,mnist,0.16995706694466728
