seed,method,n_iter,dataset,value
0,random,0,41138,22.666934772124925
0,random,1,41138,41.82603937360798
0,random,2,41138,61.708466480073845
0,random,3,41138,138.3755255711091
0,random,4,41138,151.6535605466181
0,random,5,41138,130.10077448699016
0,random,6,41138,112.43597508608907
0,random,7,41138,132.3502911284299
0,random,8,41138,183.16803987445678
0,random,9,41138,217.65096104389053
0,margin,0,41138,1.11070773689467
0,margin,1,41138,1.2278781902500113
0,margin,2,41138,1.0794971930906765
0,margin,3,41138,1.0068802792812315
0,margin,4,41138,1.0168150599915855
0,margin,5,41138,0.9745740877870614
0,margin,6,41138,0.9971494645789294
0,margin,7,41138,1.010970726415496
0,margin,8,41138,1.0169646716125207
0,margin,9,41138,0.9931321810198391
0,confidence,0,41138,1.11070773689467
0,confidence,1,41138,1.2278781902500113
0,confidence,2,41138,1.0794971930906765
0,confidence,3,41138,1.0068802792812315
0,confidence,4,41138,1.0168150599915855
0,confidence,5,41138,0.9745740877870614
0,confidence,6,41138,0.9971494645789294
0,confidence,7,41138,1.010970726415496
0,confidence,8,41138,1.0169646716125207
0,confidence,9,41138,0.9931321810198391
0,entropy,0,41138,1.11070773689467
0,entropy,1,41138,1.2278781902500113
0,entropy,2,41138,1.0794971930906765
0,entropy,3,41138,1.0068802792812315
0,entropy,4,41138,1.0168150599915855
0,entropy,5,41138,0.9745740877870614
0,entropy,6,41138,0.9971494645789294
0,entropy,7,41138,1.010970726415496
0,entropy,8,41138,1.0169646716125207
0,entropy,9,41138,0.9931321810198391
0,kmeans,0,41138,14.71510410816329
0,kmeans,1,41138,43.22567686046693
0,kmeans,2,41138,38.504193083294055
0,kmeans,3,41138,39.33692254331534
0,kmeans,4,41138,39.14187481975316
0,kmeans,5,41138,26.886144438579105
0,kmeans,6,41138,33.60101900165284
0,kmeans,7,41138,39.520521305099145
0,kmeans,8,41138,50.376167015266866
0,kmeans,9,41138,48.1916357035214
0,wkmeans,0,41138,1.1419636195231417
0,wkmeans,1,41138,1.0970714532027679
0,wkmeans,2,41138,1.0512872735315781
0,wkmeans,3,41138,1.0443790826025647
0,wkmeans,4,41138,1.0761610604886507
0,wkmeans,5,41138,1.049487095910703
0,wkmeans,6,41138,1.049621077991145
0,wkmeans,7,41138,1.0611780672644446
0,wkmeans,8,41138,1.056220944301134
0,wkmeans,9,41138,1.0818548472693628
1,random,0,41138,60.194312443771786
1,random,1,41138,54.69521577375574
1,random,2,41138,66.86005788892668
1,random,3,41138,88.1129294441697
1,random,4,41138,125.30413144415702
1,random,5,41138,70.96079964665437
1,random,6,41138,76.33255188822946
1,random,7,41138,104.54700638530707
1,random,8,41138,93.24575313702815
1,random,9,41138,72.34817587701298
1,margin,0,41138,1.041130330587297
1,margin,1,41138,1.010115001421407
1,margin,2,41138,1.0287312843629464
1,margin,3,41138,1.0123568605617868
1,margin,4,41138,1.0175863387122182
1,margin,5,41138,1.0312655446563455
1,margin,6,41138,1.0250338984072158
1,margin,7,41138,1.0444555534744624
1,margin,8,41138,1.0253196444259522
1,margin,9,41138,1.0139318451808428
1,confidence,0,41138,1.041130330587297
1,confidence,1,41138,1.010115001421407
1,confidence,2,41138,1.0287312843629464
1,confidence,3,41138,1.0123568605617868
1,confidence,4,41138,1.0175863387122182
1,confidence,5,41138,1.0312655446563455
1,confidence,6,41138,1.0250338984072158
1,confidence,7,41138,1.0444555534744624
1,confidence,8,41138,1.0253196444259522
1,confidence,9,41138,1.0139318451808428
1,entropy,0,41138,1.041130330587297
1,entropy,1,41138,1.010115001421407
1,entropy,2,41138,1.0287312843629464
1,entropy,3,41138,1.0123568605617868
1,entropy,4,41138,1.0175863387122182
1,entropy,5,41138,1.0312655446563455
1,entropy,6,41138,1.0250338984072158
1,entropy,7,41138,1.0444555534744624
1,entropy,8,41138,1.0253196444259522
1,entropy,9,41138,1.0139318451808428
1,kmeans,0,41138,43.68791732614321
1,kmeans,1,41138,30.271887034563047
1,kmeans,2,41138,56.12060401457608
1,kmeans,3,41138,36.79489202693946
1,kmeans,4,41138,50.482161104604415
1,kmeans,5,41138,20.41021753409163
1,kmeans,6,41138,27.39361300215415
1,kmeans,7,41138,46.42816064700233
1,kmeans,8,41138,33.45004385098651
1,kmeans,9,41138,32.230856731824844
1,wkmeans,0,41138,1.0164544853942459
1,wkmeans,1,41138,1.105482480450188
1,wkmeans,2,41138,1.1082017072099177
1,wkmeans,3,41138,1.0492786185065155
1,wkmeans,4,41138,1.1143512848062551
1,wkmeans,5,41138,1.097164736722858
1,wkmeans,6,41138,1.0578189000969112
1,wkmeans,7,41138,1.0375821069572793
1,wkmeans,8,41138,1.0264162622184987
1,wkmeans,9,41138,1.0857416455123776
2,random,0,41138,71.37498544706604
2,random,1,41138,114.83828480629101
2,random,2,41138,76.22419767970234
2,random,3,41138,123.60026267473387
2,random,4,41138,138.64347463278347
2,random,5,41138,138.21919474824043
2,random,6,41138,91.17400704530462
2,random,7,41138,117.70228304575535
2,random,8,41138,99.45874980717674
2,random,9,41138,112.38953781446416
2,margin,0,41138,1.1217789710856387
2,margin,1,41138,1.0740450360510874
2,margin,2,41138,1.008959380046187
2,margin,3,41138,1.0255117945576662
2,margin,4,41138,1.0324455969981723
2,margin,5,41138,0.9917423373169791
2,margin,6,41138,1.0049398071720734
2,margin,7,41138,1.0132919460832313
2,margin,8,41138,1.0177632892933535
2,margin,9,41138,1.0171641482503468
2,confidence,0,41138,1.1217789710856387
2,confidence,1,41138,1.0740450360510874
2,confidence,2,41138,1.008959380046187
2,confidence,3,41138,1.0255117945576662
2,confidence,4,41138,1.0324455969981723
2,confidence,5,41138,0.9917423373169791
2,confidence,6,41138,1.0049398071720734
2,confidence,7,41138,1.0132919460832313
2,confidence,8,41138,1.0177632892933535
2,confidence,9,41138,1.0171641482503468
2,entropy,0,41138,1.1217789710856387
2,entropy,1,41138,1.0740450360510874
2,entropy,2,41138,1.008959380046187
2,entropy,3,41138,1.0255117945576662
2,entropy,4,41138,1.0324455969981723
2,entropy,5,41138,0.9917423373169791
2,entropy,6,41138,1.0049398071720734
2,entropy,7,41138,1.0132919460832313
2,entropy,8,41138,1.0177632892933535
2,entropy,9,41138,1.0171641482503468
2,kmeans,0,41138,53.55660091792111
2,kmeans,1,41138,5266.4235705956025
2,kmeans,2,41138,51.3337132483798
2,kmeans,3,41138,44.493876960356694
2,kmeans,4,41138,75.32691717132103
2,kmeans,5,41138,36.45560628456703
2,kmeans,6,41138,41.55861974503945
2,kmeans,7,41138,24.927565052739244
2,kmeans,8,41138,22.834926370360577
2,kmeans,9,41138,39.695926730300414
