seed,method,n_iter,dataset,value
0,random,0,42803,0.699724517906336
0,random,1,42803,0.6900826446280992
0,random,2,42803,0.7134986225895317
0,random,3,42803,0.7183195592286501
0,random,4,42803,0.725068870523416
0,random,5,42803,0.7258953168044077
0,random,6,42803,0.7146792601338056
0,random,7,42803,0.7183195592286501
0,random,8,42803,0.7199265381083563
0,random,9,42803,0.7203856749311295
0,margin,0,42803,0.699724517906336
0,margin,1,42803,0.7203856749311295
0,margin,2,42803,0.6887052341597796
0,margin,3,42803,0.6756198347107438
0,margin,4,42803,0.6815426997245179
0,margin,5,42803,0.6786042240587695
0,margin,6,42803,0.6749311294765841
0,margin,7,42803,0.6769972451790633
0,margin,8,42803,0.6801346801346801
0,margin,9,42803,0.6804407713498623
0,confidence,0,42803,0.699724517906336
0,confidence,1,42803,0.6707988980716253
0,confidence,2,42803,0.6336088154269972
0,confidence,3,42803,0.6425619834710744
0,confidence,4,42803,0.6363636363636364
0,confidence,5,42803,0.6326905417814509
0,confidence,6,42803,0.628099173553719
0,confidence,7,42803,0.6353305785123967
0,confidence,8,42803,0.6299357208448118
0,confidence,9,42803,0.6283746556473829
0,entropy,0,42803,0.699724517906336
0,entropy,1,42803,0.6487603305785123
0,entropy,2,42803,0.6391184573002755
0,entropy,3,42803,0.6508264462809917
0,entropy,4,42803,0.6060606060606061
0,entropy,5,42803,0.6349862258953168
0,entropy,6,42803,0.6473829201101928
0,entropy,7,42803,0.6411845730027548
0,entropy,8,42803,0.6375880012243649
0,entropy,9,42803,0.6369146005509642
0,kmeans,0,42803,0.699724517906336
0,kmeans,1,42803,0.7107438016528925
0,kmeans,2,42803,0.7089072543617998
0,kmeans,3,42803,0.709366391184573
0,kmeans,4,42803,0.7101928374655647
0,kmeans,5,42803,0.7180899908172635
0,kmeans,6,42803,0.7131050767414404
0,kmeans,7,42803,0.7155647382920111
0,kmeans,8,42803,0.7211509029690848
0,kmeans,9,42803,0.7231404958677686
0,wkmeans,0,42803,0.699724517906336
0,wkmeans,1,42803,0.7121212121212122
0,wkmeans,2,42803,0.6712580348943985
0,wkmeans,3,42803,0.6735537190082644
0,wkmeans,4,42803,0.6804407713498623
0,wkmeans,5,42803,0.6763085399449036
0,wkmeans,6,42803,0.6646989374262101
0,wkmeans,7,42803,0.6618457300275482
0,wkmeans,8,42803,0.6642179369452097
0,wkmeans,9,42803,0.6661157024793388
1,random,0,42803,0.6914600550964187
1,random,1,42803,0.699724517906336
1,random,2,42803,0.721763085399449
1,random,3,42803,0.7265840220385675
1,random,4,42803,0.737741046831956
1,random,5,42803,0.7433425160697889
1,random,6,42803,0.738685556867375
1,random,7,42803,0.7362258953168044
1,random,8,42803,0.7401285583103765
1,random,9,42803,0.7371900826446282
1,margin,0,42803,0.6914600550964187
1,margin,1,42803,0.7052341597796143
