seed,method,n_iter,dataset,value
0,random,0,42803,1.9545436345156222
0,random,1,42803,1.7587206283642511
0,random,2,42803,1.5618706890182523
0,random,3,42803,2.0338221253150506
0,random,4,42803,1.4137375016412577
0,random,5,42803,0.9895380225755906
0,random,6,42803,1.1718674154201487
0,random,7,42803,1.8831172918085035
0,random,8,42803,1.2975340105473865
0,random,9,42803,1.1072156524923114
0,margin,0,42803,3.215818932145576
0,margin,1,42803,1.7608478276301305
0,margin,2,42803,0.8004970925608957
0,margin,3,42803,1.19226384346819
0,margin,4,42803,0.9521185807587264
0,margin,5,42803,1.2718149169620097
0,margin,6,42803,0.6408764549025765
0,margin,7,42803,1.0716188594503957
0,margin,8,42803,0.9695984605067856
0,margin,9,42803,1.9984404238849867
0,confidence,0,42803,3.380390894980102
0,confidence,1,42803,1.1369417266463628
0,confidence,2,42803,1.3687811516404007
0,confidence,3,42803,0.6957778769749083
0,confidence,4,42803,1.1686741708552804
0,confidence,5,42803,1.6666341710881458
0,confidence,6,42803,1.0950061238783269
0,confidence,7,42803,1.7940616139198466
0,confidence,8,42803,1.9868784568627504
0,confidence,9,42803,1.8566753851290327
0,entropy,0,42803,3.0702197841956425
0,entropy,1,42803,1.4319392027097775
0,entropy,2,42803,1.6880662634029293
0,entropy,3,42803,1.5574983661954511
0,entropy,4,42803,1.263465416402163
0,entropy,5,42803,1.4686187411323264
0,entropy,6,42803,1.1320345511450185
0,entropy,7,42803,0.814234848148176
0,entropy,8,42803,1.8225835137075084
0,entropy,9,42803,0.8649963176763499
0,kmeans,0,42803,3.8153115063774856
0,kmeans,1,42803,1.5278942865554925
0,kmeans,2,42803,1.054558251638735
0,kmeans,3,42803,1.248140970373211
0,kmeans,4,42803,1.0448915795276577
0,kmeans,5,42803,1.4169009076173102
0,kmeans,6,42803,1.394193770234381
0,kmeans,7,42803,1.6338343587479294
0,kmeans,8,42803,1.1957695432804147
0,kmeans,9,42803,1.356080289342477
0,wkmeans,0,42803,4.302682503846856
0,wkmeans,1,42803,1.6836628299024767
0,wkmeans,2,42803,1.044155846043906
0,wkmeans,3,42803,1.053246330660415
0,wkmeans,4,42803,0.8505150811558654
0,wkmeans,5,42803,1.0669135277138948
0,wkmeans,6,42803,1.2694658760799424
0,wkmeans,7,42803,1.0577687595825673
0,wkmeans,8,42803,0.8872992549302764
0,wkmeans,9,42803,1.0749892177468152
1,random,0,42803,2.2869782080831182
1,random,1,42803,1.2142777982753459
1,random,2,42803,1.4354737161627016
1,random,3,42803,1.1039877287457998
1,random,4,42803,1.6126809069470687
1,random,5,42803,1.897825825069119
1,random,6,42803,1.264141553972674
1,random,7,42803,1.4068153096412734
1,random,8,42803,1.2509131874819834
1,random,9,42803,2.013345417978588
1,margin,0,42803,2.0003649308100093
1,margin,1,42803,1.5994127246324998
1,margin,2,42803,1.407382395317498
1,margin,3,42803,1.2106308890421975
1,margin,4,42803,1.3241782753468037
1,margin,5,42803,1.3083316672533358
1,margin,6,42803,0.9379596811638893
1,margin,7,42803,1.2349711546106665
1,margin,8,42803,1.0707790940065103
1,margin,9,42803,1.3208318485469257
1,confidence,0,42803,1.4422523514626326
1,confidence,1,42803,1.9443796354635179
1,confidence,2,42803,1.064694414561532
1,confidence,3,42803,1.3206197740949852
1,confidence,4,42803,2.4248080450569174
1,confidence,5,42803,2.3945563259132547
1,confidence,6,42803,1.4732853896213975
1,confidence,7,42803,2.9950007043437585
1,confidence,8,42803,1.604599134089099
1,confidence,9,42803,0.8056831345658585
1,entropy,0,42803,1.7862144035555167
1,entropy,1,42803,1.9367385133534418
1,entropy,2,42803,2.0064207197286454
1,entropy,3,42803,1.3692265995728108
1,entropy,4,42803,1.2178839584467234
1,entropy,5,42803,1.0323463689414938
1,entropy,6,42803,0.6284673860687899
1,entropy,7,42803,1.824256666366678
1,entropy,8,42803,1.2017851596666458
1,entropy,9,42803,1.137031442065589
1,kmeans,0,42803,3.0128421478083802
1,kmeans,1,42803,1.7265259348453417
1,kmeans,2,42803,1.6823688569765096
1,kmeans,3,42803,1.689793940272849
1,kmeans,4,42803,0.816734463381392
1,kmeans,5,42803,1.0505295669181658
1,kmeans,6,42803,1.3386915465873452
1,kmeans,7,42803,1.7625174995608448
1,kmeans,8,42803,1.0983158950922007
1,kmeans,9,42803,1.1848349441433106
1,wkmeans,0,42803,2.5738074690963
1,wkmeans,1,42803,1.7916806154838751
1,wkmeans,2,42803,1.534408277495203
1,wkmeans,3,42803,0.7663830625059174
1,wkmeans,4,42803,1.1891486953479362
1,wkmeans,5,42803,1.1351531741739502
1,wkmeans,6,42803,0.8139956971061364
1,wkmeans,7,42803,1.0769375228490161
1,wkmeans,8,42803,0.8626263199896721
1,wkmeans,9,42803,1.1996325680298034
2,random,0,42803,2.364270100132561
2,random,1,42803,1.7171214896544642
2,random,2,42803,1.1897221685433115
2,random,3,42803,0.9706864306906826
2,random,4,42803,1.9819208668169606
2,random,5,42803,1.014912793755034
2,random,6,42803,1.7198524311997252
2,random,7,42803,1.0271241356204959
2,random,8,42803,1.4956068024810447
2,random,9,42803,1.2890159453074308
2,margin,0,42803,2.2814991601727588
2,margin,1,42803,1.143478149983291
2,margin,2,42803,1.4867615855723957
2,margin,3,42803,0.7227257133585342
2,margin,4,42803,1.5859926642715565
2,margin,5,42803,1.59600074724484
2,margin,6,42803,1.4721065684790484
2,margin,7,42803,1.2781608566051008
2,margin,8,42803,0.8265331756283361
2,margin,9,42803,1.0330093872250319
2,confidence,0,42803,2.1007920657664263
2,confidence,1,42803,1.6866883882427108
2,confidence,2,42803,1.3617213065926883
2,confidence,3,42803,1.3286444386292768
2,confidence,4,42803,1.0018914085809287
2,confidence,5,42803,1.294035335244266
2,confidence,6,42803,0.9207881745666467
2,confidence,7,42803,1.1868796040170733
2,confidence,8,42803,1.2247286720711923
2,confidence,9,42803,2.006115328687368
2,entropy,0,42803,1.82696429388914
2,entropy,1,42803,1.4904118528786485
2,entropy,2,42803,0.5476724719930637
2,entropy,3,42803,1.5478202081911274
2,entropy,4,42803,1.9180382292614948
2,entropy,5,42803,1.3259108654807032
2,entropy,6,42803,0.6187561146526191
2,entropy,7,42803,1.4682400285200763
2,entropy,8,42803,1.2424379144065214
2,entropy,9,42803,2.1703961395400393
2,kmeans,0,42803,2.655014020966251
2,kmeans,1,42803,1.3131319184106325
2,kmeans,2,42803,2.2832708677052103
2,kmeans,3,42803,0.8951384857741678
2,kmeans,4,42803,1.148242010080219
2,kmeans,5,42803,0.9703386930481894
2,kmeans,6,42803,0.8145786376360309
2,kmeans,7,42803,1.3232303856481722
2,kmeans,8,42803,0.9646445577953779
2,kmeans,9,42803,0.8193106395295682
2,wkmeans,0,42803,2.855106912877272
2,wkmeans,1,42803,2.231042078477134
2,wkmeans,2,42803,2.0450046373792965
2,wkmeans,3,42803,1.2500355168795212
2,wkmeans,4,42803,1.999976886425781
2,wkmeans,5,42803,1.0713736614720328
2,wkmeans,6,42803,1.296574842034827
2,wkmeans,7,42803,0.9982206846499904
2,wkmeans,8,42803,1.055263513074255
2,wkmeans,9,42803,1.0773599581345001
3,random,0,42803,1.7864757255674266
3,random,1,42803,1.3856720472142185
3,random,2,42803,1.119722907944919
3,random,3,42803,1.3933364433284843
3,random,4,42803,1.8112346872875578
3,random,5,42803,1.2610201042597398
3,random,6,42803,1.477524645930762
3,random,7,42803,1.3421891858637536
3,random,8,42803,1.7339802363954924
3,random,9,42803,1.383698425606264
3,margin,0,42803,1.322369720927909
3,margin,1,42803,1.7482132934742745
3,margin,2,42803,1.6004786658220205
3,margin,3,42803,1.5420724176699818
3,margin,4,42803,1.5274659649790647
3,margin,5,42803,0.6168359422049212
3,margin,6,42803,1.5585169355852302
3,margin,7,42803,0.8661873991704413
3,margin,8,42803,0.8902451470428152
3,margin,9,42803,1.9563560711083792
3,confidence,0,42803,1.6254812366601312
3,confidence,1,42803,1.1289181670820745
3,confidence,2,42803,1.747838010992033
3,confidence,3,42803,2.0266042180951342
3,confidence,4,42803,1.7825075852538257
3,confidence,5,42803,0.9073808354528259
3,confidence,6,42803,1.702907932486779
3,confidence,7,42803,2.603180936573989
3,confidence,8,42803,1.7067692871426394
3,confidence,9,42803,1.2838777278756495
3,entropy,0,42803,1.633820386251697
3,entropy,1,42803,1.674424906568365
3,entropy,2,42803,1.0408945685666544
3,entropy,3,42803,1.5197743742399148
3,entropy,4,42803,1.5758648454960436
3,entropy,5,42803,1.0697234880330935
3,entropy,6,42803,2.0396870787343038
3,entropy,7,42803,1.9413170732162304
3,entropy,8,42803,1.0033556344962564
3,entropy,9,42803,1.617111665814707
3,kmeans,0,42803,2.1301365342465273
3,kmeans,1,42803,2.2787893957862684
3,kmeans,2,42803,0.9905098095155064
3,kmeans,3,42803,1.1191650263297466
