seed,type,index
0,0,22
0,0,4
0,0,5
0,0,8
0,0,3
0,0,21
0,0,0
0,0,6
0,0,7
0,0,1
0,1,1829
0,1,25659
0,1,38008
0,1,35534
0,1,24611
0,1,47409
0,1,25230
0,1,6198
0,1,12243
0,1,26496
0,1,37834
0,1,4788
0,1,19875
0,1,36274
0,1,40762
0,1,45250
0,1,6335
0,1,16169
0,1,46447
0,1,24364
0,1,11228
0,1,20400
0,1,46602
0,1,14068
0,1,46376
0,1,38940
0,1,17284
0,1,4696
0,1,19799
0,1,30119
0,1,8067
0,1,25318
0,1,25291
0,1,9139
0,1,45853
0,1,45804
0,1,3852
0,1,31668
0,1,18882
0,1,37261
0,1,18644
0,1,158
0,1,17064
0,1,31428
0,1,45383
0,1,38190
0,1,40668
0,1,46477
0,1,18791
0,1,46408
0,2,4
0,2,11
0,2,16
0,2,17
0,2,20
0,2,21
0,2,28
0,2,29
0,2,42
0,2,45
0,2,47
0,2,48
0,2,59
0,2,60
0,2,61
0,2,63
0,2,68
0,2,70
0,2,79
0,2,81
0,2,94
0,2,106
0,2,107
0,2,112
0,2,113
0,2,116
0,2,127
0,2,128
0,2,131
0,2,141
0,2,145
0,2,148
0,2,159
0,2,160
0,2,161
0,2,162
0,2,187
0,2,190
0,2,194
0,2,197
0,2,201
0,2,221
0,2,235
0,2,238
0,2,251
0,2,258
0,2,272
0,2,277
0,2,284
0,2,294
0,2,296
0,2,306
0,2,309
0,2,310
0,2,317
0,2,323
0,2,324
0,2,327
0,2,329
0,2,332
0,2,338
0,2,339
0,2,342
0,2,348
0,2,362
0,2,364
0,2,365
0,2,368
0,2,372
0,2,382
0,2,383
0,2,390
0,2,393
0,2,401
0,2,403
0,2,412
0,2,414
0,2,424
0,2,435
0,2,440
0,2,442
0,2,447
0,2,450
0,2,456
0,2,458
0,2,473
0,2,475
0,2,476
0,2,483
0,2,484
0,2,490
0,2,496
0,2,500
0,2,501
0,2,502
0,2,503
0,2,516
0,2,517
0,2,522
0,2,525
0,2,529
0,2,531
0,2,532
0,2,537
0,2,540
0,2,551
0,2,558
0,2,560
0,2,565
0,2,580
0,2,582
0,2,590
0,2,591
0,2,592
0,2,595
0,2,596
0,2,598
0,2,601
0,2,608
0,2,610
0,2,613
0,2,617
0,2,626
0,2,628
0,2,640
0,2,644
0,2,646
0,2,651
0,2,656
0,2,657
0,2,664
0,2,668
0,2,671
0,2,672
0,2,674
0,2,675
0,2,676
0,2,680
0,2,684
0,2,688
0,2,691
0,2,693
0,2,697
0,2,703
0,2,705
0,2,706
0,2,709
0,2,713
0,2,718
0,2,719
0,2,726
0,2,727
0,2,732
0,2,739
0,2,741
0,2,743
0,2,748
0,2,752
0,2,753
0,2,755
0,2,758
0,2,764
0,2,770
0,2,772
0,2,774
0,2,777
0,2,779
0,2,783
0,2,784
0,2,785
0,2,787
0,2,788
0,2,806
0,2,809
0,2,810
0,2,815
0,2,817
0,2,818
0,2,819
0,2,827
0,2,830
0,2,831
0,2,835
0,2,836
0,2,837
0,2,846
0,2,847
0,2,848
0,2,851
0,2,853
0,2,856
0,2,857
0,2,858
0,2,860
0,2,862
0,2,875
0,2,877
0,2,879
0,2,881
0,2,885
0,2,888
0,2,894
0,2,895
0,2,897
0,2,900
0,2,906
0,2,911
0,2,914
0,2,915
0,2,921
0,2,924
0,2,929
0,2,930
0,2,941
0,2,946
0,2,949
0,2,950
0,2,951
0,2,959
0,2,964
0,2,966
0,2,972
0,2,974
0,2,975
0,2,977
0,2,978
0,2,981
0,2,983
0,2,1009
0,2,1014
0,2,1017
0,2,1020
0,2,1026
0,2,1028
0,2,1035
0,2,1039
0,2,1042
0,2,1052
0,2,1053
0,2,1070
0,2,1071
0,2,1074
0,2,1078
0,2,1079
0,2,1084
0,2,1085
0,2,1087
0,2,1103
0,2,1107
0,2,1108
0,2,1109
0,2,1111
0,2,1112
0,2,1115
0,2,1118
0,2,1124
0,2,1127
0,2,1140
0,2,1141
0,2,1147
0,2,1167
0,2,1169
0,2,1172
0,2,1177
0,2,1178
0,2,1179
0,2,1180
0,2,1183
0,2,1185
0,2,1205
0,2,1216
0,2,1229
0,2,1243
0,2,1246
0,2,1247
0,2,1249
0,2,1250
0,2,1256
0,2,1275
0,2,1276
0,2,1278
0,2,1279
0,2,1280
0,2,1282
0,2,1283
0,2,1284
0,2,1289
0,2,1301
0,2,1326
0,2,1330
0,2,1334
0,2,1335
0,2,1343
0,2,1346
0,2,1348
0,2,1349
0,2,1351
0,2,1352
0,2,1354
0,2,1355
0,2,1366
0,2,1373
0,2,1374
0,2,1379
0,2,1383
0,2,1390
0,2,1391
0,2,1395
0,2,1406
0,2,1407
0,2,1408
0,2,1420
0,2,1430
0,2,1434
0,2,1438
0,2,1449
0,2,1464
0,2,1470
0,2,1473
0,2,1474
0,2,1475
0,2,1479
0,2,1481
0,2,1482
0,2,1495
0,2,1499
0,2,1505
0,2,1525
0,2,1526
0,2,1527
0,2,1532
0,2,1537
0,2,1542
0,2,1549
0,2,1557
0,2,1560
0,2,1571
0,2,1575
0,2,1579
0,2,1582
0,2,1598
0,2,1601
0,2,1613
0,2,1615
0,2,1620
0,2,1623
0,2,1629
0,2,1633
0,2,1640
0,2,1647
0,2,1648
0,2,1651
0,2,1656
0,2,1662
0,2,1663
0,2,1667
0,2,1673
0,2,1675
0,2,1678
0,2,1688
0,2,1691
0,2,1692
0,2,1698
0,2,1699
0,2,1701
0,2,1712
0,2,1718
0,2,1723
0,2,1727
0,2,1733
0,2,1742
0,2,1743
0,2,1746
0,2,1750
0,2,1751
0,2,1752
0,2,1753
0,2,1754
0,2,1755
0,2,1757
0,2,1760
0,2,1764
0,2,1775
0,2,1778
0,2,1780
0,2,1782
0,2,1788
0,2,1798
0,2,1807
0,2,1809
0,2,1811
0,2,1813
0,2,1820
0,2,1823
0,2,1830
0,2,1831
0,2,1835
0,2,1843
0,2,1849
0,2,1855
0,2,1863
0,2,1867
0,2,1888
0,2,1900
0,2,1903
0,2,1920
0,2,1928
0,2,1937
0,2,1940
0,2,1941
0,2,1942
0,2,1943
0,2,1944
0,2,1951
0,2,1960
0,2,1964
0,2,1980
0,2,1981
0,2,1982
0,2,1999
0,2,2003
0,2,2005
0,2,2007
0,2,2009
0,2,2012
0,2,2022
0,2,2025
0,2,2032
0,2,2033
0,2,2034
0,2,2037
0,2,2043
0,2,2045
0,2,2048
0,2,2049
0,2,2051
0,2,2052
0,2,2053
0,2,2055
0,2,2059
0,2,2063
0,2,2068
0,2,2069
0,2,2073
0,2,2079
0,2,2083
0,2,2090
0,2,2097
0,2,2099
0,2,2101
0,2,2102
0,2,2105
0,2,2107
0,2,2115
0,2,2122
0,2,2129
0,2,2135
0,2,2140
0,2,2142
0,2,2147
0,2,2148
0,2,2153
0,2,2164
0,2,2168
0,2,2169
0,2,2180
0,2,2190
0,2,2195
0,2,2199
0,2,2201
0,2,2202
0,2,2207
0,2,2212
0,2,2217
0,2,2220
0,2,2238
0,2,2239
0,2,2240
0,2,2244
0,2,2245
0,2,2257
0,2,2258
0,2,2265
0,2,2274
0,2,2275
0,2,2276
0,2,2277
0,2,2296
0,2,2298
0,2,2302
0,2,2307
0,2,2313
0,2,2314
0,2,2316
0,2,2317
0,2,2324
0,2,2325
0,2,2328
0,2,2334
0,2,2336
0,2,2339
0,2,2346
0,2,2357
0,2,2361
0,2,2369
0,2,2377
0,2,2378
0,2,2380
0,2,2384
0,2,2385
0,2,2390
0,2,2392
0,2,2393
0,2,2397
0,2,2401
0,2,2403
0,2,2415
0,2,2416
0,2,2420
0,2,2424
0,2,2429
0,2,2441
0,2,2448
0,2,2458
0,2,2463
0,2,2466
0,2,2468
0,2,2484
0,2,2495
0,2,2501
0,2,2502
0,2,2503
0,2,2515
0,2,2516
0,2,2522
0,2,2523
0,2,2529
0,2,2535
0,2,2542
0,2,2547
0,2,2553
0,2,2557
0,2,2558
0,2,2562
0,2,2564
0,2,2569
0,2,2572
0,2,2574
0,2,2575
0,2,2592
0,2,2595
0,2,2597
0,2,2601
0,2,2604
0,2,2607
0,2,2624
0,2,2634
0,2,2636
0,2,2641
0,2,2650
0,2,2658
0,2,2659
0,2,2682
0,2,2684
0,2,2685
0,2,2687
0,2,2693
0,2,2694
0,2,2696
0,2,2702
0,2,2717
0,2,2718
0,2,2721
0,2,2733
0,2,2734
0,2,2736
0,2,2741
0,2,2743
0,2,2746
0,2,2757
0,2,2759
0,2,2760
0,2,2769
0,2,2770
0,2,2771
0,2,2777
0,2,2785
0,2,2798
0,2,2805
0,2,2808
0,2,2810
0,2,2811
0,2,2816
0,2,2819
0,2,2824
0,2,2834
0,2,2843
0,2,2846
0,2,2854
0,2,2857
0,2,2859
0,2,2869
0,2,2871
0,2,2873
0,2,2898
0,2,2901
0,2,2906
0,2,2918
0,2,2923
0,2,2933
0,2,2940
0,2,2947
0,2,2949
0,2,2952
0,2,2953
0,2,2955
0,2,2957
0,2,2961
0,2,2972
0,2,2976
0,2,2977
0,2,2978
0,2,3003
0,2,3005
0,2,3009
0,2,3020
0,2,3021
0,2,3022
0,2,3023
0,2,3029
0,2,3034
0,2,3043
0,2,3048
0,2,3050
0,2,3055
0,2,3056
0,2,3057
0,2,3059
0,2,3060
0,2,3067
0,2,3073
0,2,3078
0,2,3080
0,2,3087
0,2,3090
0,2,3096
0,2,3097
0,2,3099
0,2,3104
0,2,3109
0,2,3132
0,2,3142
0,2,3144
0,2,3149
0,2,3151
0,2,3153
0,2,3163
0,2,3164
0,2,3167
0,2,3174
0,2,3178
0,2,3186
0,2,3191
0,2,3199
0,2,3207
0,2,3213
0,2,3218
0,2,3219
0,2,3220
0,2,3238
0,2,3240
0,2,3242
0,2,3244
0,2,3245
0,2,3249
0,2,3252
0,2,3263
0,2,3274
0,2,3275
0,2,3276
0,2,3278
0,2,3294
0,2,3297
0,2,3300
0,2,3301
0,2,3310
0,2,3311
0,2,3318
0,2,3323
0,2,3324
0,2,3333
0,2,3336
0,2,3347
0,2,3364
0,2,3369
0,2,3378
0,2,3391
0,2,3392
0,2,3394
0,2,3398
0,2,3400
0,2,3405
0,2,3407
0,2,3409
0,2,3411
0,2,3420
0,2,3425
0,2,3428
0,2,3429
0,2,3436
0,2,3438
0,2,3442
0,2,3453
0,2,3464
0,2,3465
0,2,3467
0,2,3472
0,2,3474
0,2,3475
0,2,3489
0,2,3496
0,2,3500
0,2,3504
0,2,3505
0,2,3513
0,2,3519
0,2,3524
0,2,3528
0,2,3535
0,2,3538
0,2,3548
0,2,3556
0,2,3566
0,2,3575
0,2,3584
0,2,3602
0,2,3620
0,2,3622
0,2,3624
0,2,3631
0,2,3632
0,2,3637
0,2,3639
0,2,3640
0,2,3643
0,2,3654
0,2,3660
0,2,3665
0,2,3669
0,2,3674
0,2,3675
0,2,3676
0,2,3688
0,2,3695
0,2,3699
0,2,3709
0,2,3711
0,2,3714
0,2,3718
0,2,3727
0,2,3737
0,2,3748
0,2,3753
0,2,3761
0,2,3764
0,2,3770
0,2,3780
0,2,3782
0,2,3789
0,2,3797
0,2,3808
0,2,3822
0,2,3826
0,2,3831
