seed,method,n_iter,dataset,value
0,random,0,mnist,1.0161594047983358
0,random,1,mnist,1.025151767711026
0,random,2,mnist,1.0822083698895695
0,random,3,mnist,1.1112035652783023
0,random,4,mnist,1.1226809070860957
0,random,5,mnist,1.128317750556273
0,random,6,mnist,1.1435325480561236
0,random,7,mnist,1.1481664160846785
0,random,8,mnist,1.1569382832981454
0,random,9,mnist,1.1639658015347245
0,margin,0,mnist,1.0161594047983358
0,margin,1,mnist,0.9937922313023151
0,margin,2,mnist,0.9826718144869462
0,margin,3,mnist,0.998740955250513
0,margin,4,mnist,1.0035171342939588
0,margin,5,mnist,1.0096163514711352
0,margin,6,mnist,1.0112030207612315
0,margin,7,mnist,1.011424713768874
0,margin,8,mnist,1.0148729064785789
0,margin,9,mnist,1.0185805796318275
0,confidence,0,mnist,1.0161594047983358
0,confidence,1,mnist,1.0156894806406644
0,confidence,2,mnist,0.9904342269618517
0,confidence,3,mnist,0.9973672327746351
0,confidence,4,mnist,0.9995479675396265
0,confidence,5,mnist,1.0044491894538095
0,confidence,6,mnist,1.0058690403995247
0,confidence,7,mnist,1.006836667912281
0,confidence,8,mnist,1.0070392857275814
0,confidence,9,mnist,1.0076976459533127
0,entropy,0,mnist,1.0161594047983358
0,entropy,1,mnist,1.062477956028527
0,entropy,2,mnist,1.0149150951086687
0,entropy,3,mnist,1.0146351348444815
0,entropy,4,mnist,1.0122735416676059
0,entropy,5,mnist,1.0124462003170822
0,entropy,6,mnist,1.0091418578715845
0,entropy,7,mnist,1.0101994333730104
0,entropy,8,mnist,1.0105383420423937
0,entropy,9,mnist,1.0120912900870045
0,kmeans,0,mnist,1.0161594047983358
0,kmeans,1,mnist,1.0592113641887968
0,kmeans,2,mnist,1.111754298975801
0,kmeans,3,mnist,1.1539525786514153
0,kmeans,4,mnist,1.199528993530057
0,kmeans,5,mnist,1.2462755262208205
0,kmeans,6,mnist,1.2797668758431435
0,kmeans,7,mnist,1.3177781615894273
0,kmeans,8,mnist,1.3506959076313663
0,kmeans,9,mnist,1.3779371210081326
0,wkmeans,0,mnist,1.0161594047983358
0,wkmeans,1,mnist,0.9899093568272249
0,wkmeans,2,mnist,0.9893909776777456
0,wkmeans,3,mnist,0.9937162001142279
0,wkmeans,4,mnist,1.0015921013339981
0,wkmeans,5,mnist,1.0049539909501453
0,wkmeans,6,mnist,1.0085549017333963
0,wkmeans,7,mnist,1.0128739556595059
0,wkmeans,8,mnist,1.0143938566709476
0,wkmeans,9,mnist,1.0156794267379265
1,random,0,mnist,1.0641519503462096
1,random,1,mnist,1.0452330364565643
1,random,2,mnist,1.1063736765147572
1,random,3,mnist,1.1384700266913568
1,random,4,mnist,1.1333390481732313
1,random,5,mnist,1.1420198602357017
1,random,6,mnist,1.1540460302117912
1,random,7,mnist,1.1685233299933087
