seed,method,n_iter,dataset,value
0,random,0,1461,0.0
0,random,1,1461,0.0
0,random,2,1461,0.0
0,random,3,1461,0.0
0,random,4,1461,0.0
0,random,5,1461,0.0
0,random,6,1461,0.0
0,random,7,1461,0.0
0,random,8,1461,0.0
0,random,9,1461,0.0
0,margin,0,1461,0.0
0,margin,1,1461,0.0
0,margin,2,1461,0.0
0,margin,3,1461,0.0
0,margin,4,1461,0.0
0,margin,5,1461,0.0
0,margin,6,1461,0.0
0,margin,7,1461,0.0
0,margin,8,1461,0.0
0,margin,9,1461,0.0
0,confidence,0,1461,0.0
0,confidence,1,1461,0.0
0,confidence,2,1461,0.0
0,confidence,3,1461,0.0
0,confidence,4,1461,0.0
0,confidence,5,1461,0.0
0,confidence,6,1461,0.0
0,confidence,7,1461,0.0
0,confidence,8,1461,0.0
0,confidence,9,1461,0.0
0,entropy,0,1461,0.0
0,entropy,1,1461,0.0
0,entropy,2,1461,0.0
0,entropy,3,1461,0.0
0,entropy,4,1461,0.0
0,entropy,5,1461,0.0
0,entropy,6,1461,0.0
0,entropy,7,1461,0.0
0,entropy,8,1461,0.0
0,entropy,9,1461,0.0
0,kmeans,0,1461,0.0
0,kmeans,1,1461,0.0
0,kmeans,2,1461,0.0
0,kmeans,3,1461,0.0
0,kmeans,4,1461,0.0
0,kmeans,5,1461,0.0
0,kmeans,6,1461,0.0
0,kmeans,7,1461,0.0
0,kmeans,8,1461,0.0
0,kmeans,9,1461,0.0
0,wkmeans,0,1461,0.0
0,wkmeans,1,1461,0.0
0,wkmeans,2,1461,0.0
0,wkmeans,3,1461,0.0
0,wkmeans,4,1461,0.0
0,wkmeans,5,1461,0.0
0,wkmeans,6,1461,0.0
0,wkmeans,7,1461,0.0
0,wkmeans,8,1461,0.0
0,wkmeans,9,1461,0.0
