seed,method,n_iter,dataset,value
0,random,0,1471,1.7617056441275902
0,random,1,1471,1.0298281597530703
0,random,2,1471,1.105686185958795
0,random,3,1471,1.1659140618279233
0,random,4,1471,1.2227332258072672
0,random,5,1471,1.307797285451527
0,random,6,1471,1.3675126904217532
0,random,7,1471,1.4126548867129158
0,random,8,1471,1.3892868443513524
0,random,9,1471,1.4041805782714374
0,margin,0,1471,1.7617056441275902
0,margin,1,1471,1.055916140174398
0,margin,2,1471,1.0656920514928332
0,margin,3,1471,1.1588023927294293
0,margin,4,1471,1.0559082636493007
0,margin,5,1471,1.046177150583368
0,margin,6,1471,1.0508500847304512
0,margin,7,1471,1.0707068955573595
0,margin,8,1471,1.085579652789818
0,margin,9,1471,1.1116761904820447
0,confidence,0,1471,1.7617056441275902
0,confidence,1,1471,1.055916140174398
0,confidence,2,1471,1.0656920514928332
0,confidence,3,1471,1.1588023927294293
0,confidence,4,1471,1.0559082636493007
0,confidence,5,1471,1.046177150583368
0,confidence,6,1471,1.0508500847304512
0,confidence,7,1471,1.0707068955573595
0,confidence,8,1471,1.085579652789818
0,confidence,9,1471,1.1116761904820447
0,entropy,0,1471,1.7617056441275902
0,entropy,1,1471,1.055916140174398
0,entropy,2,1471,1.0656920514928332
0,entropy,3,1471,1.1588023927294293
0,entropy,4,1471,1.0559082636493007
0,entropy,5,1471,1.046177150583368
0,entropy,6,1471,1.0508500847304512
0,entropy,7,1471,1.0707068955573595
0,entropy,8,1471,1.085579652789818
0,entropy,9,1471,1.1116761904820447
0,kmeans,0,1471,1.7617056441275902
0,kmeans,1,1471,1.4613565179828885
0,kmeans,2,1471,1.0959799664804968
0,kmeans,3,1471,1.0727993824367996
0,kmeans,4,1471,1.1106571460993393
0,kmeans,5,1471,1.1271542028727177
0,kmeans,6,1471,1.1297623856261954
0,kmeans,7,1471,1.153566740428381
0,kmeans,8,1471,1.1910959386275892
0,kmeans,9,1471,1.2593979945611107
0,wkmeans,0,1471,1.7617056441275902
0,wkmeans,1,1471,2.3039523715319783
0,wkmeans,2,1471,1.1694716150317614
0,wkmeans,3,1471,1.224501681830574
0,wkmeans,4,1471,1.1058652678690308
0,wkmeans,5,1471,1.0488308164409141
0,wkmeans,6,1471,1.0430726307262037
0,wkmeans,7,1471,1.051628869779925
0,wkmeans,8,1471,1.082303556965331
0,wkmeans,9,1471,1.086435721529742
1,random,0,1471,1.1178677147147902
1,random,1,1471,1.4811919870087067
1,random,2,1471,1.6478675533574734
1,random,3,1471,1.4185155015424549
1,random,4,1471,1.4089668549302992
1,random,5,1471,1.383018702714486
1,random,6,1471,1.3497515352996847
1,random,7,1471,1.3634417081829449
1,random,8,1471,1.3686477135690591
1,random,9,1471,1.3675727324726272
1,margin,0,1471,1.1178677147147902
1,margin,1,1471,1.244685395826296
1,margin,2,1471,1.1576999269090438
1,margin,3,1471,1.2320526575020234
1,margin,4,1471,1.213967220121714
1,margin,5,1471,1.1521056284411404
1,margin,6,1471,1.1549281077238853
1,margin,7,1471,1.1273836000833268
1,margin,8,1471,1.0958290236984578
1,margin,9,1471,1.0980726501282447
1,confidence,0,1471,1.1178677147147902
1,confidence,1,1471,1.244685395826296
1,confidence,2,1471,1.1576999269090438
1,confidence,3,1471,1.2320526575020234
1,confidence,4,1471,1.213967220121714
1,confidence,5,1471,1.1521056284411404
1,confidence,6,1471,1.1549281077238853
1,confidence,7,1471,1.1273836000833268
1,confidence,8,1471,1.0958290236984578
1,confidence,9,1471,1.0980726501282447
1,entropy,0,1471,1.1178677147147902
1,entropy,1,1471,1.244685395826296
1,entropy,2,1471,1.1576999269090438
1,entropy,3,1471,1.2320526575020234
1,entropy,4,1471,1.213967220121714
1,entropy,5,1471,1.1521056284411404
1,entropy,6,1471,1.1549281077238853
1,entropy,7,1471,1.1273836000833268
1,entropy,8,1471,1.0958290236984578
1,entropy,9,1471,1.0980726501282447
1,kmeans,0,1471,1.1178677147147902
1,kmeans,1,1471,1.6725169950969963
1,kmeans,2,1471,1.148484449088058
1,kmeans,3,1471,1.0688552665201503
1,kmeans,4,1471,1.1162362807201847
1,kmeans,5,1471,1.058608707273428
1,kmeans,6,1471,1.0883307069225214
1,kmeans,7,1471,1.1094709020135283
