seed,method,n_iter,dataset,value
0,random,0,1471,0.31075820288634015
0,random,1,1471,0.3193267659143752
0,random,2,1471,0.29663141122996056
0,random,3,1471,0.28223900571864835
0,random,4,1471,0.2786759815133637
0,random,5,1471,0.2786484643041044
0,random,6,1471,0.27537262616100144
0,random,7,1471,0.27282915311019035
0,random,8,1471,0.27092456493834327
0,random,9,1471,0.26873035421381086
0,margin,0,1471,0.31075820288634015
0,margin,1,1471,0.2784154076562053
0,margin,2,1471,0.27396681463856637
0,margin,3,1471,0.2612937973750353
0,margin,4,1471,0.2602027020707978
0,margin,5,1471,0.2522986219369895
0,margin,6,1471,0.25390063685401615
0,margin,7,1471,0.2562540911428198
0,margin,8,1471,0.2528057980290051
0,margin,9,1471,0.2548144571319261
0,confidence,0,1471,0.31075820288634015
0,confidence,1,1471,0.2784154076562053
0,confidence,2,1471,0.27396681463856637
0,confidence,3,1471,0.2612937973750353
0,confidence,4,1471,0.2602027020707978
0,confidence,5,1471,0.2522986219369895
0,confidence,6,1471,0.25390063685401615
0,confidence,7,1471,0.2562540911428198
0,confidence,8,1471,0.2528057980290051
0,confidence,9,1471,0.2548144571319261
0,entropy,0,1471,0.31075820288634015
0,entropy,1,1471,0.2784154076562053
0,entropy,2,1471,0.27396681463856637
0,entropy,3,1471,0.2612937973750353
0,entropy,4,1471,0.2602027020707978
0,entropy,5,1471,0.2522986219369895
0,entropy,6,1471,0.25390063685401615
0,entropy,7,1471,0.2562540911428198
0,entropy,8,1471,0.2528057980290051
0,entropy,9,1471,0.2548144571319261
0,kmeans,0,1471,0.31075820288634015
0,kmeans,1,1471,0.2750307744585054
0,kmeans,2,1471,0.280248708387602
0,kmeans,3,1471,0.27240405156759145
0,kmeans,4,1471,0.26605623989270577
0,kmeans,5,1471,0.25963398983461644
0,kmeans,6,1471,0.26297905041041425
0,kmeans,7,1471,0.26343622183556753
0,kmeans,8,1471,0.2644627990214746
0,kmeans,9,1471,0.2711018041532036
0,wkmeans,0,1471,0.31075820288634015
0,wkmeans,1,1471,0.2685570831398209
0,wkmeans,2,1471,0.25458854923243623
0,wkmeans,3,1471,0.25307488447086207
0,wkmeans,4,1471,0.24998145178325296
0,wkmeans,5,1471,0.2510645225531287
0,wkmeans,6,1471,0.25664245640429867
0,wkmeans,7,1471,0.25585693653154157
0,wkmeans,8,1471,0.259356566651127
0,wkmeans,9,1471,0.26164732345472896
1,random,0,1471,0.27381134952919145
1,random,1,1471,0.2797663372867781
1,random,2,1471,0.28392396306082
1,random,3,1471,0.28395161491650844
1,random,4,1471,0.2824069122535656
1,random,5,1471,0.2781300883597556
1,random,6,1471,0.28135026091917686
1,random,7,1471,0.2823283630944469
1,random,8,1471,0.2799980461135234
1,random,9,1471,0.2790900503713473
1,margin,0,1471,0.27381134952919145
1,margin,1,1471,0.2653393516040971
1,margin,2,1471,0.2601353840069574
1,margin,3,1471,0.263297695369226
1,margin,4,1471,0.25497415166803983
1,margin,5,1471,0.2576838151675877
1,margin,6,1471,0.2567669545863883
1,margin,7,1471,0.2610301002499901
1,margin,8,1471,0.26200687764937913
1,margin,9,1471,0.26436083404689875
1,confidence,0,1471,0.27381134952919145
1,confidence,1,1471,0.2653393516040971
1,confidence,2,1471,0.2601353840069574
1,confidence,3,1471,0.263297695369226
1,confidence,4,1471,0.25497415166803983
1,confidence,5,1471,0.2576838151675877
1,confidence,6,1471,0.2567669545863883
1,confidence,7,1471,0.2610301002499901
1,confidence,8,1471,0.26200687764937913
1,confidence,9,1471,0.26436083404689875
1,entropy,0,1471,0.27381134952919145
1,entropy,1,1471,0.2653393516040971
1,entropy,2,1471,0.2601353840069574
1,entropy,3,1471,0.263297695369226
1,entropy,4,1471,0.25497415166803983
1,entropy,5,1471,0.2576838151675877
1,entropy,6,1471,0.2567669545863883
1,entropy,7,1471,0.2610301002499901
1,entropy,8,1471,0.26200687764937913
1,entropy,9,1471,0.26436083404689875
1,kmeans,0,1471,0.27381134952919145
1,kmeans,1,1471,0.26249550833867613
1,kmeans,2,1471,0.2692657584483006
1,kmeans,3,1471,0.2651255516424324
1,kmeans,4,1471,0.2634500748209062
1,kmeans,5,1471,0.26624441640968627
1,kmeans,6,1471,0.2698543442340325
1,kmeans,7,1471,0.26832325998568024
1,kmeans,8,1471,0.2664099120901339
1,kmeans,9,1471,0.2689704590674049
1,wkmeans,0,1471,0.27381134952919145
1,wkmeans,1,1471,0.2416382181914996
1,wkmeans,2,1471,0.24591215098794167
1,wkmeans,3,1471,0.23853095163264934
1,wkmeans,4,1471,0.2505371074245383
1,wkmeans,5,1471,0.24897136491156832
1,wkmeans,6,1471,0.2479064450052232
1,wkmeans,7,1471,0.24296016404744208
1,wkmeans,8,1471,0.24316600763283014
1,wkmeans,9,1471,0.24335250526470234
2,random,0,1471,0.3189268771480431
2,random,1,1471,0.29409333039337165
