seed,method,n_iter,dataset,value
0,random,0,1502,0.9673469387755103
0,random,1,1502,0.9795918367346939
0,random,2,1502,0.9918367346938776
0,random,3,1502,0.9836734693877551
0,random,4,1502,0.9877551020408163
0,random,5,1502,0.9959183673469387
0,random,6,1502,0.9959183673469387
0,random,7,1502,1.0
0,random,8,1502,0.9959183673469387
0,random,9,1502,1.0
0,margin,0,1502,0.6653061224489796
0,margin,1,1502,0.6530612244897959
0,margin,2,1502,0.7265306122448979
0,margin,3,1502,0.8326530612244898
0,margin,4,1502,0.6
0,margin,5,1502,0.5877551020408164
0,margin,6,1502,0.6938775510204082
0,margin,7,1502,0.8163265306122449
0,margin,8,1502,0.9102040816326532
0,margin,9,1502,0.8448979591836735
0,confidence,0,1502,0.6653061224489796
0,confidence,1,1502,0.6530612244897959
0,confidence,2,1502,0.7265306122448979
0,confidence,3,1502,0.8326530612244898
0,confidence,4,1502,0.6
0,confidence,5,1502,0.5877551020408164
0,confidence,6,1502,0.6938775510204082
0,confidence,7,1502,0.8163265306122449
0,confidence,8,1502,0.9102040816326532
0,confidence,9,1502,0.8448979591836735
0,entropy,0,1502,0.6653061224489796
0,entropy,1,1502,0.6530612244897959
0,entropy,2,1502,0.7265306122448979
0,entropy,3,1502,0.8326530612244898
0,entropy,4,1502,0.6
0,entropy,5,1502,0.5877551020408164
0,entropy,6,1502,0.6938775510204082
0,entropy,7,1502,0.8163265306122449
0,entropy,8,1502,0.9102040816326532
0,entropy,9,1502,0.8448979591836735
0,kmeans,0,1502,0.979591836734694
0,kmeans,1,1502,0.9755102040816328
0,kmeans,2,1502,0.9877551020408164
0,kmeans,3,1502,0.9959183673469388
0,kmeans,4,1502,0.9918367346938776
0,kmeans,5,1502,0.9877551020408164
0,kmeans,6,1502,0.9959183673469388
0,kmeans,7,1502,0.9959183673469388
0,kmeans,8,1502,1.0
0,kmeans,9,1502,0.9959183673469388
0,wkmeans,0,1502,0.5551020408163265
0,wkmeans,1,1502,0.5959183673469388
0,wkmeans,2,1502,0.6489795918367347
0,wkmeans,3,1502,0.8571428571428571
0,wkmeans,4,1502,0.9142857142857144
0,wkmeans,5,1502,0.946938775510204
0,wkmeans,6,1502,0.979591836734694
0,wkmeans,7,1502,0.979591836734694
0,wkmeans,8,1502,0.9510204081632652
0,wkmeans,9,1502,0.979591836734694
1,random,0,1502,0.9836734693877552
1,random,1,1502,0.9877551020408164
1,random,2,1502,0.9918367346938776
1,random,3,1502,0.979591836734694
1,random,4,1502,0.9877551020408164
1,random,5,1502,1.0
1,random,6,1502,0.9959183673469388
1,random,7,1502,0.9918367346938776
1,random,8,1502,0.9918367346938776
1,random,9,1502,0.9959183673469388
1,margin,0,1502,0.9510204081632652
1,margin,1,1502,0.8693877551020408
1,margin,2,1502,0.8367346938775511
1,margin,3,1502,0.6448979591836734
1,margin,4,1502,0.7673469387755102
1,margin,5,1502,0.6571428571428571
1,margin,6,1502,0.6163265306122448
1,margin,7,1502,0.8489795918367347
1,margin,8,1502,0.8653061224489796
1,margin,9,1502,0.926530612244898
1,confidence,0,1502,0.9510204081632652
1,confidence,1,1502,0.8693877551020408
