seed,method,n_iter,dataset,value
0,random,0,1502,8.870584711403652
0,random,1,1502,15.317713854153286
0,random,2,1502,18.165988464507755
0,random,3,1502,19.670856998910022
0,random,4,1502,20.857571691660507
0,random,5,1502,46544677279.225174
0,random,6,1502,84756249117.30847
0,random,7,1502,82988316122.2682
0,random,8,1502,58999986984.896515
0,random,9,1502,89327533050.5286
0,margin,0,1502,1.5517585587103335
0,margin,1,1502,2.119933502689684
0,margin,2,1502,2.8185082349286437
0,margin,3,1502,1.418001260981719
0,margin,4,1502,1.5291182984946756
0,margin,5,1502,1.4497620330851395
0,margin,6,1502,1.8704395314501392
0,margin,7,1502,1.9925217506890665
0,margin,8,1502,1.7467687588940446
0,margin,9,1502,2.3868263997796366
0,confidence,0,1502,1.5517585587103335
0,confidence,1,1502,2.119933502689684
0,confidence,2,1502,2.8185082349286437
0,confidence,3,1502,1.418001260981719
0,confidence,4,1502,1.5291182984946756
0,confidence,5,1502,1.4497620330851395
0,confidence,6,1502,1.8704395314501392
0,confidence,7,1502,1.9925217506890665
0,confidence,8,1502,1.7467687588940446
0,confidence,9,1502,2.3868263997796366
0,entropy,0,1502,1.5517585587103335
0,entropy,1,1502,2.119933502689684
0,entropy,2,1502,2.8185082349286437
0,entropy,3,1502,1.418001260981719
0,entropy,4,1502,1.5291182984946756
0,entropy,5,1502,1.4497620330851395
0,entropy,6,1502,1.8704395314501392
0,entropy,7,1502,1.9925217506890665
0,entropy,8,1502,1.7467687588940446
0,entropy,9,1502,2.3868263997796366
0,kmeans,0,1502,7.325352098451107
0,kmeans,1,1502,8.38942028347733
0,kmeans,2,1502,10.366851859648696
0,kmeans,3,1502,13.139896085107374
0,kmeans,4,1502,12.24541059919243
0,kmeans,5,1502,15.184430396263792
0,kmeans,6,1502,9303519278.896471
0,kmeans,7,1502,4651759648.049521
0,kmeans,8,1502,4651759647.28875
0,kmeans,9,1502,9177572657.69268
0,wkmeans,0,1502,1.1357017693065603
0,wkmeans,1,1502,1.3501055352992364
0,wkmeans,2,1502,1.3696169263764602
0,wkmeans,3,1502,1.9768859701272683
0,wkmeans,4,1502,2.028048297822414
0,wkmeans,5,1502,2.065128951183362
0,wkmeans,6,1502,2.4011694367959624
0,wkmeans,7,1502,2.3968456617411253
0,wkmeans,8,1502,2.4832439595588847
0,wkmeans,9,1502,2.8078403791283377
1,random,0,1502,9.577103309706496
1,random,1,1502,12.734213735303928
1,random,2,1502,17.35209091308565
1,random,3,1502,17.779919687065167
1,random,4,1502,20.42679583820628
1,random,5,1502,5604424349.238757
1,random,6,1502,5459196123.576038
1,random,7,1502,51681962971.01876
1,random,8,1502,44116240961.8605
1,random,9,1502,40589039610.06737
1,margin,0,1502,1.6285389194599518
1,margin,1,1502,1.8551692436217702
1,margin,2,1502,2.134159145131564
1,margin,3,1502,1.4085532421243678
1,margin,4,1502,1.6172647492449217
1,margin,5,1502,1.6975759624542108
1,margin,6,1502,1.7971048179617044
1,margin,7,1502,1.916138452593331
1,margin,8,1502,1.9356500895226505
1,margin,9,1502,1.8297203128951698
1,confidence,0,1502,1.6285389194599518
1,confidence,1,1502,1.8551692436217702
1,confidence,2,1502,2.148816156466366
1,confidence,3,1502,2.049423719319884
1,confidence,4,1502,2.912362344580844
1,confidence,5,1502,1.5889497018719272
1,confidence,6,1502,1.4766823367536974
1,confidence,7,1502,1.9629404483367452
1,confidence,8,1502,1.681750579546598
1,confidence,9,1502,2.5745451413899216
1,entropy,0,1502,1.6285389194599518
1,entropy,1,1502,1.8551692436217702
1,entropy,2,1502,2.148816156466366
1,entropy,3,1502,2.049423719319884
1,entropy,4,1502,3.0105977071038805
1,entropy,5,1502,1.8575528478716297
1,entropy,6,1502,1.854743454382088
1,entropy,7,1502,1.6074174411853368
1,entropy,8,1502,1.7408542099571265
1,entropy,9,1502,1.6804980787456691
1,kmeans,0,1502,7.522345975299375
1,kmeans,1,1502,9.278980768943095
1,kmeans,2,1502,11.74026370972168
1,kmeans,3,1502,12.20862518333961
1,kmeans,4,1502,14.926302464113135
1,kmeans,5,1502,5548531734.613583
1,kmeans,6,1502,5527182614.250431
1,kmeans,7,1502,5521991907.551985
1,kmeans,8,1502,5433644450.718503
1,kmeans,9,1502,5419659155.760078
1,wkmeans,0,1502,1.276938291507061
1,wkmeans,1,1502,1.253098260925221
1,wkmeans,2,1502,1.5059019511083798
1,wkmeans,3,1502,1.8523944334097209
1,wkmeans,4,1502,2.1186497800535484
1,wkmeans,5,1502,1.944267080969245
1,wkmeans,6,1502,2.4153980717137618
