seed,method,n_iter,dataset,value
0,random,0,1590,1.1311062616075713
0,random,1,1590,1.0793432581782405
0,random,2,1590,1.0585919715207248
0,random,3,1590,1.0667366950117962
0,random,4,1590,1.0783195790656
0,random,5,1590,1.1189792113432246
0,random,6,1590,1.11764228997542
0,random,7,1590,1.1218934979287596
0,random,8,1590,1.1392105759475195
0,random,9,1590,1.1422947778264576
0,margin,0,1590,1.131106261607571
0,margin,1,1590,1.1556778167434538
0,margin,2,1590,1.2425360786088158
0,margin,3,1590,1.2761157244609302
0,margin,4,1590,1.3650181861126274
0,margin,5,1590,1.4233044862627793
0,margin,6,1590,1.4055196570360415
0,margin,7,1590,1.356870519482621
0,margin,8,1590,1.3540624673083728
0,margin,9,1590,1.3319755984811323
0,confidence,0,1590,1.131106261607571
0,confidence,1,1590,1.1556778167434538
0,confidence,2,1590,1.2425360786088158
0,confidence,3,1590,1.2761157244609302
0,confidence,4,1590,1.3650181861126274
0,confidence,5,1590,1.4233044862627793
0,confidence,6,1590,1.4055196570360415
0,confidence,7,1590,1.356870519482621
0,confidence,8,1590,1.3540624673083728
0,confidence,9,1590,1.3319755984811323
0,entropy,0,1590,1.131106261607571
0,entropy,1,1590,1.1556778167434538
0,entropy,2,1590,1.2425360786088158
0,entropy,3,1590,1.2761157244609302
0,entropy,4,1590,1.3650181861126274
0,entropy,5,1590,1.4233044862627793
0,entropy,6,1590,1.4055196570360415
0,entropy,7,1590,1.356870519482621
0,entropy,8,1590,1.3540624673083728
0,entropy,9,1590,1.3319755984811323
0,kmeans,0,1590,1.131106261607571
0,kmeans,1,1590,0.8362294838595461
0,kmeans,2,1590,0.7510085996624697
0,kmeans,3,1590,0.7699331524490404
0,kmeans,4,1590,0.7477627553607801
0,kmeans,5,1590,0.7330410914409485
0,kmeans,6,1590,0.7244665296205103
0,kmeans,7,1590,0.7050705382614115
0,kmeans,8,1590,0.6949499098008528
0,kmeans,9,1590,0.6827969677897855
0,wkmeans,0,1590,1.131106261607571
0,wkmeans,1,1590,1.271837055209302
0,wkmeans,2,1590,1.3222314411952911
0,wkmeans,3,1590,1.2521320422948463
0,wkmeans,4,1590,1.2018121855718171
0,wkmeans,5,1590,1.1427207894652187
0,wkmeans,6,1590,1.1370479574281651
0,wkmeans,7,1590,1.097231726849423
0,wkmeans,8,1590,1.1268852439442978
0,wkmeans,9,1590,1.1141829359615745
1,random,0,1590,1.107480827773382
1,random,1,1590,1.105969576362438
1,random,2,1590,1.1323437436212511
1,random,3,1590,1.130252797001539
1,random,4,1590,1.1637136319908208
1,random,5,1590,1.1616182859578776
1,random,6,1590,1.1692988532843052
1,random,7,1590,1.170169289638551
1,random,8,1590,1.1603738965865746
1,random,9,1590,1.1635793699518426
1,margin,0,1590,1.107480827773382
1,margin,1,1590,0.9363297514916248
1,margin,2,1590,1.057773356502083
1,margin,3,1590,1.0422095506807334
1,margin,4,1590,0.9737626794932394
1,margin,5,1590,1.0231441152958969
1,margin,6,1590,1.050230946177022
1,margin,7,1590,1.050731110361686
1,margin,8,1590,1.0323403089185144
1,margin,9,1590,1.0363616047845912
1,confidence,0,1590,1.107480827773382
1,confidence,1,1590,0.9363297514916248
1,confidence,2,1590,1.057773356502083
1,confidence,3,1590,1.0422095506807334
1,confidence,4,1590,0.9737626794932394
1,confidence,5,1590,1.0231441152958969
1,confidence,6,1590,1.050230946177022
1,confidence,7,1590,1.050731110361686
1,confidence,8,1590,1.0323403089185144
1,confidence,9,1590,1.0363616047845912
1,entropy,0,1590,1.107480827773382
1,entropy,1,1590,0.9363297514916248
1,entropy,2,1590,1.057773356502083
1,entropy,3,1590,1.0422095506807334
1,entropy,4,1590,0.9737626794932394
1,entropy,5,1590,1.0231441152958969
1,entropy,6,1590,1.050230946177022
1,entropy,7,1590,1.050731110361686
1,entropy,8,1590,1.0323403089185144
1,entropy,9,1590,1.0363616047845912
1,kmeans,0,1590,1.107480827773382
1,kmeans,1,1590,0.8420355717523439
1,kmeans,2,1590,0.7434747455668718
1,kmeans,3,1590,0.6916751657034313
1,kmeans,4,1590,0.6713891145732741
1,kmeans,5,1590,0.7158653045943065
1,kmeans,6,1590,0.7063102260697459
1,kmeans,7,1590,0.6934944809213579
1,kmeans,8,1590,0.6786445966362638
1,kmeans,9,1590,0.6697092221566499
1,wkmeans,0,1590,1.107480827773382
1,wkmeans,1,1590,0.9251696318898952
1,wkmeans,2,1590,0.9542015706472468
1,wkmeans,3,1590,1.0275170688140405
1,wkmeans,4,1590,1.0225044224228694
1,wkmeans,5,1590,1.0692548885314976
1,wkmeans,6,1590,1.0701903453997794
1,wkmeans,7,1590,1.094441954542858
1,wkmeans,8,1590,1.1130635487219118
1,wkmeans,9,1590,1.1193419457844915
2,random,0,1590,0.9621842477958664
2,random,1,1590,1.0973493547973825
2,random,2,1590,1.1255673449699708
2,random,3,1590,1.1326972452514987
2,random,4,1590,1.1313160298541505
2,random,5,1590,1.141798642951594
2,random,6,1590,1.126186970832625
2,random,7,1590,1.1681707965127808
2,random,8,1590,1.1618397987196698
2,random,9,1590,1.1635243313049912
2,margin,0,1590,0.9621842477958664
2,margin,1,1590,1.2097746744779765
2,margin,2,1590,1.2657965530259307
2,margin,3,1590,1.3464899449011851
2,margin,4,1590,1.3328965046618777
2,margin,5,1590,1.2751880423445066
2,margin,6,1590,1.2304314382359938
2,margin,7,1590,1.2496632668195315
2,margin,8,1590,1.1822119126933677
2,margin,9,1590,1.1769564276493996
2,confidence,0,1590,0.9621842477958664
2,confidence,1,1590,1.2097746744779765
2,confidence,2,1590,1.2657965530259307
2,confidence,3,1590,1.3464899449011851
2,confidence,4,1590,1.3328965046618777
2,confidence,5,1590,1.2751880423445066
2,confidence,6,1590,1.2304314382359938
2,confidence,7,1590,1.2496632668195315
2,confidence,8,1590,1.1822119126933677
2,confidence,9,1590,1.1769564276493996
2,entropy,0,1590,0.9621842477958664
2,entropy,1,1590,1.2097746744779765
2,entropy,2,1590,1.2657965530259307
2,entropy,3,1590,1.3464899449011851
2,entropy,4,1590,1.3328965046618777
2,entropy,5,1590,1.2751880423445066
2,entropy,6,1590,1.2304314382359938
2,entropy,7,1590,1.2496632668195315
2,entropy,8,1590,1.1822119126933677
2,entropy,9,1590,1.1769564276493996
2,kmeans,0,1590,0.9621842477958664
2,kmeans,1,1590,0.8526649963554925
2,kmeans,2,1590,0.7750153091230291
2,kmeans,3,1590,0.7268454812236183
2,kmeans,4,1590,0.6952524680416763
2,kmeans,5,1590,0.6739458650840899
2,kmeans,6,1590,0.6553409477186314
2,kmeans,7,1590,0.6383603021247282
2,kmeans,8,1590,0.6321146184975966
2,kmeans,9,1590,0.6601038589629188
2,wkmeans,0,1590,0.9621842477958664
2,wkmeans,1,1590,1.1903846754031755
2,wkmeans,2,1590,1.235330940084935
2,wkmeans,3,1590,1.2009311041699535
2,wkmeans,4,1590,1.1504891421651715
2,wkmeans,5,1590,1.149464735399478
2,wkmeans,6,1590,1.1436032232696636
2,wkmeans,7,1590,1.1826472745691794
2,wkmeans,8,1590,1.152603469041344
2,wkmeans,9,1590,1.1493958247364893
3,random,0,1590,1.2777111845464892
3,random,1,1590,1.071712708354531
3,random,2,1590,1.1145468655033492
3,random,3,1590,1.169082015004015
3,random,4,1590,1.1783424657338608
3,random,5,1590,1.1560061935370372
3,random,6,1590,1.1700137883761077
3,random,7,1590,1.1735566118456673
3,random,8,1590,1.1868927980024166
3,random,9,1590,1.1833960748502563
3,margin,0,1590,1.2777111845464892
3,margin,1,1590,1.6124069209934289
3,margin,2,1590,1.621416928081748
3,margin,3,1590,1.6285817815241572
3,margin,4,1590,1.5771252312731472
3,margin,5,1590,1.6478331959217587
3,margin,6,1590,1.5683087977301629
3,margin,7,1590,1.5088202010261522
3,margin,8,1590,1.4395069461720051
3,margin,9,1590,1.41902580384034
3,confidence,0,1590,1.2777111845464892
3,confidence,1,1590,1.6124069209934289
3,confidence,2,1590,1.621416928081748
3,confidence,3,1590,1.6285817815241572
3,confidence,4,1590,1.5771252312731472
3,confidence,5,1590,1.6478331959217587
3,confidence,6,1590,1.5683087977301629
3,confidence,7,1590,1.5088202010261522
3,confidence,8,1590,1.4395069461720051
3,confidence,9,1590,1.41902580384034
3,entropy,0,1590,1.2777111845464892
3,entropy,1,1590,1.6124069209934289
3,entropy,2,1590,1.621416928081748
3,entropy,3,1590,1.6285817815241572
3,entropy,4,1590,1.5771252312731472
3,entropy,5,1590,1.6478331959217587
3,entropy,6,1590,1.5683087977301629
3,entropy,7,1590,1.5088202010261522
3,entropy,8,1590,1.4395069461720051
3,entropy,9,1590,1.41902580384034
3,kmeans,0,1590,1.2777111845464892
3,kmeans,1,1590,0.8835097534597657
3,kmeans,2,1590,0.7977128458368336
3,kmeans,3,1590,0.7488836218418172
3,kmeans,4,1590,0.7265686774459988
3,kmeans,5,1590,0.7076391055962823
3,kmeans,6,1590,0.6967229934734378
3,kmeans,7,1590,0.6855318430634085
3,kmeans,8,1590,0.6840345905322996
3,kmeans,9,1590,0.6652438808484528
3,wkmeans,0,1590,1.2777111845464892
3,wkmeans,1,1590,1.4180360244303067
3,wkmeans,2,1590,1.436729542273837
3,wkmeans,3,1590,1.4683762630444697
3,wkmeans,4,1590,1.4265146278041092
3,wkmeans,5,1590,1.4162337284143784
3,wkmeans,6,1590,1.4124905291230656
3,wkmeans,7,1590,1.371262710357774
3,wkmeans,8,1590,1.3464261914621405
3,wkmeans,9,1590,1.3255547483137657
4,random,0,1590,0.9502407077579722
4,random,1,1590,1.1196220199646765
4,random,2,1590,1.1085150878891945
4,random,3,1590,1.0897777463887153
4,random,4,1590,1.0913398859616108
4,random,5,1590,1.1146319727459368
4,random,6,1590,1.126544852897721
4,random,7,1590,1.1196631007394242
4,random,8,1590,1.1310096044651266
4,random,9,1590,1.132375774650633
4,margin,0,1590,0.9502407077579722
4,margin,1,1590,1.054846052819335
4,margin,2,1590,0.9798080047342009
4,margin,3,1590,1.0097605056771546
4,margin,4,1590,1.059019595266711
4,margin,5,1590,1.1225960350291484
4,margin,6,1590,1.11923994051678
4,margin,7,1590,1.1686259254979567
4,margin,8,1590,1.151235603291364
4,margin,9,1590,1.2037264664438807
4,confidence,0,1590,0.9502407077579722
4,confidence,1,1590,1.054846052819335
4,confidence,2,1590,0.9798080047342009
4,confidence,3,1590,1.0097605056771546
4,confidence,4,1590,1.059019595266711
4,confidence,5,1590,1.1225960350291484
4,confidence,6,1590,1.11923994051678
4,confidence,7,1590,1.1686259254979567
4,confidence,8,1590,1.151235603291364
4,confidence,9,1590,1.2037264664438807
4,entropy,0,1590,0.9502407077579722
4,entropy,1,1590,1.054846052819335
4,entropy,2,1590,0.9798080047342009
