seed,method,n_iter,dataset,value
0,random,0,42395,1.957942223149654
0,random,1,42395,0.552769152288002
0,random,2,42395,0.2958652341615191
0,random,3,42395,0.2554166663574436
0,random,4,42395,0.13485376559605766
0,random,5,42395,0.11381439747106789
0,random,6,42395,0.09526556654753199
0,random,7,42395,0.08014828863481527
0,random,8,42395,0.06090204169656851
0,random,9,42395,0.06804856301774485
0,margin,0,42395,2.0445032314705784
0,margin,1,42395,0.7126120247691023
0,margin,2,42395,0.37477499309901086
0,margin,3,42395,0.25706588450255197
0,margin,4,42395,0.2254093004277702
0,margin,5,42395,0.12593986783030733
0,margin,6,42395,0.14322372840995415
0,margin,7,42395,0.07405019246475032
0,margin,8,42395,0.08048171170498714
0,margin,9,42395,0.0550267705036799
0,confidence,0,42395,2.0445032314705784
0,confidence,1,42395,0.7126120247691023
0,confidence,2,42395,0.37477499309901086
0,confidence,3,42395,0.25706588450255197
0,confidence,4,42395,0.2254093004277702
0,confidence,5,42395,0.12593986783030733
0,confidence,6,42395,0.14322372840995415
0,confidence,7,42395,0.07405019246475032
0,confidence,8,42395,0.08048171170498714
0,confidence,9,42395,0.0550267705036799
0,entropy,0,42395,2.0445032314705784
0,entropy,1,42395,0.7126120247691023
0,entropy,2,42395,0.37477499309901086
0,entropy,3,42395,0.25706588450255197
0,entropy,4,42395,0.2254093004277702
0,entropy,5,42395,0.12593986783030733
0,entropy,6,42395,0.14322372840995415
0,entropy,7,42395,0.07405019246475032
0,entropy,8,42395,0.08048171170498714
0,entropy,9,42395,0.0550267705036799
0,kmeans,0,42395,1.9037540590422553
0,kmeans,1,42395,0.5805101412462605
0,kmeans,2,42395,0.2688751087412419
0,kmeans,3,42395,0.2504594056989615
0,kmeans,4,42395,0.1414743421059566
0,kmeans,5,42395,0.11742977251250813
0,kmeans,6,42395,0.08280812693751044
0,kmeans,7,42395,0.0770666233656199
0,kmeans,8,42395,0.06658740444572817
0,kmeans,9,42395,0.0674982349220232
0,wkmeans,0,42395,2.1664750136042006
0,wkmeans,1,42395,0.7129068580370741
0,wkmeans,2,42395,0.35513726965190173
0,wkmeans,3,42395,0.22154599512248652
0,wkmeans,4,42395,0.1763780256656628
0,wkmeans,5,42395,0.11642174948750994
0,wkmeans,6,42395,0.09230075818803263
0,wkmeans,7,42395,0.11268297605841066
0,wkmeans,8,42395,0.06423147146494383
0,wkmeans,9,42395,0.0689348163725871
1,random,0,42395,1.8659795143989277
1,random,1,42395,0.5642916704295982
1,random,2,42395,0.347975126717636
1,random,3,42395,0.1865863159325731
1,random,4,42395,0.16468658796324698
1,random,5,42395,0.09647320888007832
1,random,6,42395,0.09445853737236712
1,random,7,42395,0.0829740010072496
1,random,8,42395,0.061264190214933026
1,random,9,42395,0.05676990664046354
1,margin,0,42395,2.193561707529841
1,margin,1,42395,0.6288070363130597
1,margin,2,42395,0.36522187904979564
1,margin,3,42395,0.2536748204615217
1,margin,4,42395,0.14479754324399274
1,margin,5,42395,0.11001454262577653
1,margin,6,42395,0.12276650929346876
1,margin,7,42395,0.06311593263592269
1,margin,8,42395,0.060254014085005726
1,margin,9,42395,0.061288090998737665
1,confidence,0,42395,2.193561707529841
1,confidence,1,42395,0.6288070363130597
1,confidence,2,42395,0.36522187904979564
1,confidence,3,42395,0.2536748204615217
1,confidence,4,42395,0.14479754324399274
1,confidence,5,42395,0.11001454262577653
1,confidence,6,42395,0.12276650929346876
1,confidence,7,42395,0.06311593263592269
1,confidence,8,42395,0.060254014085005726
1,confidence,9,42395,0.061288090998737665
1,entropy,0,42395,2.193561707529841
1,entropy,1,42395,0.6288070363130597
1,entropy,2,42395,0.36522187904979564
1,entropy,3,42395,0.2536748204615217
1,entropy,4,42395,0.14479754324399274
1,entropy,5,42395,0.11001454262577653
1,entropy,6,42395,0.12276650929346876
1,entropy,7,42395,0.06311593263592269
1,entropy,8,42395,0.060254014085005726
1,entropy,9,42395,0.061288090998737665
1,kmeans,0,42395,1.7740143299712798
1,kmeans,1,42395,0.6013367495816007
1,kmeans,2,42395,0.31899691733437147
1,kmeans,3,42395,0.2573604707819251
1,kmeans,4,42395,0.15878486391468072
1,kmeans,5,42395,0.12023597995934857
1,kmeans,6,42395,0.0844141322163433
1,kmeans,7,42395,0.059901432517759826
1,kmeans,8,42395,0.08329150642010712
1,kmeans,9,42395,0.043572855212709954
1,wkmeans,0,42395,2.0070594586092287
1,wkmeans,1,42395,0.6720842013021388
1,wkmeans,2,42395,0.3062947032888739
1,wkmeans,3,42395,0.21455340077320204
1,wkmeans,4,42395,0.1729832404364391
1,wkmeans,5,42395,0.10189803234021477
1,wkmeans,6,42395,0.09791671078260838
1,wkmeans,7,42395,0.0909355736337353
1,wkmeans,8,42395,0.06921687181055322
1,wkmeans,9,42395,0.056260661109766366
2,random,0,42395,1.803625370259799
2,random,1,42395,0.5206885606383761
2,random,2,42395,0.2771241125059786
2,random,3,42395,0.19105509169955823
2,random,4,42395,0.1419513831270464
2,random,5,42395,0.12368600465291034
2,random,6,42395,0.09448791910090604
2,random,7,42395,0.08768882418265314
