seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.0
0,my_custom_sampler,1,1461,1.0
0,my_custom_sampler,2,1461,1.0
0,my_custom_sampler,3,1461,0.9944444444444445
0,my_custom_sampler,4,1461,0.9911111111111112
0,my_custom_sampler,5,1461,0.9925925925925926
0,my_custom_sampler,6,1461,0.9809523809523809
0,my_custom_sampler,7,1461,0.9555555555555556
0,my_custom_sampler,8,1461,0.9481481481481482
0,my_custom_sampler,9,1461,0.9377777777777778
1,my_custom_sampler,0,1461,1.0
1,my_custom_sampler,1,1461,1.0
1,my_custom_sampler,2,1461,1.0
1,my_custom_sampler,3,1461,0.9777777777777777
1,my_custom_sampler,4,1461,0.9777777777777777
1,my_custom_sampler,5,1461,0.9814814814814815
1,my_custom_sampler,6,1461,0.9777777777777777
1,my_custom_sampler,7,1461,0.975
1,my_custom_sampler,8,1461,0.9629629629629629
1,my_custom_sampler,9,1461,0.9622222222222222
