seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.5555555555555556
0,my_custom_sampler,1,1461,0.5777777777777777
0,my_custom_sampler,2,1461,0.5555555555555556
0,my_custom_sampler,3,1461,0.4666666666666667
0,my_custom_sampler,4,1461,0.5555555555555556
0,my_custom_sampler,5,1461,0.5555555555555556
0,my_custom_sampler,6,1461,0.5111111111111111
0,my_custom_sampler,7,1461,0.4
0,my_custom_sampler,8,1461,0.5555555555555556
0,my_custom_sampler,9,1461,0.5555555555555556
1,my_custom_sampler,0,1461,0.9111111111111111
1,my_custom_sampler,1,1461,0.5555555555555556
1,my_custom_sampler,2,1461,0.6888888888888889
1,my_custom_sampler,3,1461,0.4888888888888889
1,my_custom_sampler,4,1461,0.5111111111111111
1,my_custom_sampler,5,1461,0.5111111111111111
1,my_custom_sampler,6,1461,0.4666666666666667
1,my_custom_sampler,7,1461,0.4222222222222222
1,my_custom_sampler,8,1461,0.5111111111111111
1,my_custom_sampler,9,1461,0.5111111111111111
