seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,4.366832175909314
0,my_custom_sampler,1,1461,1.5224068070241352
0,my_custom_sampler,2,1461,0.38769599702997615
0,my_custom_sampler,3,1461,0.3859517469065784
0,my_custom_sampler,4,1461,0.18153445840368262
0,my_custom_sampler,5,1461,0.15656815278275102
0,my_custom_sampler,6,1461,0.019834785671271688
0,my_custom_sampler,7,1461,0.15557733536635998
0,my_custom_sampler,8,1461,0.0
0,my_custom_sampler,9,1461,0.0
1,my_custom_sampler,0,1461,4.311686515632515
1,my_custom_sampler,1,1461,1.0130081733150396
1,my_custom_sampler,2,1461,0.18478196061238145
1,my_custom_sampler,3,1461,0.32734885070129116
1,my_custom_sampler,4,1461,1.0669694111589194
1,my_custom_sampler,5,1461,0.24207883212051853
1,my_custom_sampler,6,1461,0.22705037008798842
1,my_custom_sampler,7,1461,0.1612329711502071
1,my_custom_sampler,8,1461,0.0
1,my_custom_sampler,9,1461,0.5260148444345121
