seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.0
0,my_custom_sampler,1,1461,1.0
0,my_custom_sampler,2,1461,1.0
0,my_custom_sampler,3,1461,1.0
0,my_custom_sampler,4,1461,1.0
0,my_custom_sampler,5,1461,1.0
0,my_custom_sampler,6,1461,1.0
0,my_custom_sampler,7,1461,1.0
0,my_custom_sampler,8,1461,1.0
0,my_custom_sampler,9,1461,1.0
1,my_custom_sampler,0,1461,1.0
1,my_custom_sampler,1,1461,1.0
1,my_custom_sampler,2,1461,1.0
1,my_custom_sampler,3,1461,1.0
1,my_custom_sampler,4,1461,1.0
1,my_custom_sampler,5,1461,1.0
1,my_custom_sampler,6,1461,1.0
1,my_custom_sampler,7,1461,1.0
1,my_custom_sampler,8,1461,1.0
1,my_custom_sampler,9,1461,1.0
