seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,2.4071800799622847
0,my_custom_sampler,1,1461,1.3696141671422346
0,my_custom_sampler,2,1461,1.2223882468101332
0,my_custom_sampler,3,1461,1.1631403585840496
0,my_custom_sampler,4,1461,1.1345421342615671
0,my_custom_sampler,5,1461,1.1004119357674134
0,my_custom_sampler,6,1461,1.0922720221074362
0,my_custom_sampler,7,1461,1.0929899765501188
0,my_custom_sampler,8,1461,1.0851098451480752
0,my_custom_sampler,9,1461,1.0809218312048037
1,my_custom_sampler,0,1461,2.9925342297976574
1,my_custom_sampler,1,1461,1.6751342983377833
1,my_custom_sampler,2,1461,1.3362243187760687
1,my_custom_sampler,3,1461,1.2403555156926138
1,my_custom_sampler,4,1461,1.2014068649757177
1,my_custom_sampler,5,1461,1.1903835198785608
1,my_custom_sampler,6,1461,1.1550752399398205
1,my_custom_sampler,7,1461,1.1442227952060453
1,my_custom_sampler,8,1461,1.1237566598146065
1,my_custom_sampler,9,1461,1.1141970869455708
