seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.3968164768349055
0,my_custom_sampler,1,1461,0.5142622252384078
0,my_custom_sampler,2,1461,0.6339610786024801
0,my_custom_sampler,3,1461,0.683579731145961
0,my_custom_sampler,4,1461,0.6978426060078673
0,my_custom_sampler,5,1461,0.683051201187118
0,my_custom_sampler,6,1461,0.690662214719426
0,my_custom_sampler,7,1461,0.6876333725387379
0,my_custom_sampler,8,1461,0.7022173565010618
0,my_custom_sampler,9,1461,0.7179757171027144
1,my_custom_sampler,0,1461,0.32451271853517727
1,my_custom_sampler,1,1461,0.5118244080625993
1,my_custom_sampler,2,1461,0.5938978062361472
1,my_custom_sampler,3,1461,0.5785698037228426
1,my_custom_sampler,4,1461,0.6291815676647042
1,my_custom_sampler,5,1461,0.6815551258717913
1,my_custom_sampler,6,1461,0.7034355781216658
1,my_custom_sampler,7,1461,0.712843823493889
1,my_custom_sampler,8,1461,0.7145231320045377
1,my_custom_sampler,9,1461,0.7157138402161274
