seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.3929652732097877
0,my_custom_sampler,1,1461,1.090503443786353
0,my_custom_sampler,2,1461,1.0299571529809235
0,my_custom_sampler,3,1461,0.9706551630565354
0,my_custom_sampler,4,1461,1.0256043690501833
0,my_custom_sampler,5,1461,1.0037259065755817
0,my_custom_sampler,6,1461,0.9998511169208826
0,my_custom_sampler,7,1461,1.0038772501433746
0,my_custom_sampler,8,1461,0.9939813579356678
0,my_custom_sampler,9,1461,0.9812522386896294
1,my_custom_sampler,0,1461,1.8195050686356675
1,my_custom_sampler,1,1461,1.020673884327408
1,my_custom_sampler,2,1461,1.0315924536949652
1,my_custom_sampler,3,1461,0.965312694911464
1,my_custom_sampler,4,1461,0.9914514366857934
1,my_custom_sampler,5,1461,0.9884421980010256
1,my_custom_sampler,6,1461,1.0329422136777715
1,my_custom_sampler,7,1461,1.0230133585219447
1,my_custom_sampler,8,1461,1.023459675640729
1,my_custom_sampler,9,1461,1.00609525307517
0,my_custom_sampler,0,1461,1.4042482566780305
0,my_custom_sampler,1,1461,1.012334155586761
0,my_custom_sampler,2,1461,1.0049990782461165
0,my_custom_sampler,3,1461,1.0250541624603047
0,my_custom_sampler,4,1461,1.0185661815709561
0,my_custom_sampler,5,1461,1.0020806123085755
0,my_custom_sampler,6,1461,0.9945855655762362
0,my_custom_sampler,7,1461,1.0165196831077328
0,my_custom_sampler,8,1461,1.0334630691686277
0,my_custom_sampler,9,1461,1.027147359932358
1,my_custom_sampler,0,1461,1.8195050686356673
1,my_custom_sampler,1,1461,1.020673884327408
1,my_custom_sampler,2,1461,1.0315924536949652
1,my_custom_sampler,3,1461,0.9653126949114639
1,my_custom_sampler,4,1461,0.9914514366857934
1,my_custom_sampler,5,1461,0.9884421980010256
1,my_custom_sampler,6,1461,1.0329422136777717
1,my_custom_sampler,7,1461,1.0230133585219447
1,my_custom_sampler,8,1461,1.023459675640729
1,my_custom_sampler,9,1461,1.0060952530751701
