seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,4.366832175909314
0,my_custom_sampler,1,1461,1.5224068070241352
0,my_custom_sampler,2,1461,0.3876959970299761
0,my_custom_sampler,3,1461,0.3859517469065784
0,my_custom_sampler,4,1461,0.1815344584036826
0,my_custom_sampler,5,1461,0.156568152782751
0,my_custom_sampler,6,1461,0.0198347856712716
0,my_custom_sampler,7,1461,0.1555773353663599
0,my_custom_sampler,8,1461,0.0
0,my_custom_sampler,9,1461,0.0
1,my_custom_sampler,0,1461,4.311686515632515
1,my_custom_sampler,1,1461,1.0130081733150396
1,my_custom_sampler,2,1461,0.1847819606123814
1,my_custom_sampler,3,1461,0.3273488507012911
1,my_custom_sampler,4,1461,1.0669694111589194
1,my_custom_sampler,5,1461,0.2420788321205185
1,my_custom_sampler,6,1461,0.2270503700879884
1,my_custom_sampler,7,1461,0.1612329711502071
1,my_custom_sampler,8,1461,0.0
1,my_custom_sampler,9,1461,0.5260148444345121
0,my_custom_sampler,0,1461,4.8140400959159955
0,my_custom_sampler,1,1461,1.1285810963172047
0,my_custom_sampler,2,1461,0.8276508424935315
0,my_custom_sampler,3,1461,0.09432275659301231
0,my_custom_sampler,4,1461,0.6198622930958972
0,my_custom_sampler,5,1461,0.01296810473481648
0,my_custom_sampler,6,1461,0.04039024229494015
0,my_custom_sampler,7,1461,0.16222025677804255
0,my_custom_sampler,8,1461,0.023645784061053665
0,my_custom_sampler,9,1461,0.10991996177973137
1,my_custom_sampler,0,1461,4.311686515632515
1,my_custom_sampler,1,1461,1.0130081733150396
1,my_custom_sampler,2,1461,0.18478196061238145
1,my_custom_sampler,3,1461,0.32734885070129116
1,my_custom_sampler,4,1461,1.0669694111589194
1,my_custom_sampler,5,1461,0.24207883212051853
1,my_custom_sampler,6,1461,0.22705037008798842
1,my_custom_sampler,7,1461,0.1612329711502071
1,my_custom_sampler,8,1461,0.0
1,my_custom_sampler,9,1461,0.5260148444345121
