seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,0.0643202302753796
0,my_custom_sampler,1,1461,0.2594325736477774
0,my_custom_sampler,2,1461,0.3909547654641961
0,my_custom_sampler,3,1461,0.3854895095387282
0,my_custom_sampler,4,1461,0.3821141756652358
0,my_custom_sampler,5,1461,0.6211715687982797
0,my_custom_sampler,6,1461,0.627293994013354
0,my_custom_sampler,7,1461,0.8490702887463417
0,my_custom_sampler,8,1461,0.8492960949573402
0,my_custom_sampler,9,1461,1.0095232902540867
1,my_custom_sampler,0,1461,0.0745975985660608
1,my_custom_sampler,1,1461,0.0887897400823316
1,my_custom_sampler,2,1461,0.1719184216912527
1,my_custom_sampler,3,1461,0.2558765975605823
1,my_custom_sampler,4,1461,0.5317752055645691
1,my_custom_sampler,5,1461,0.7495068864777161
1,my_custom_sampler,6,1461,0.8337162804714298
1,my_custom_sampler,7,1461,0.9637245713666271
1,my_custom_sampler,8,1461,1.1472023711883086
1,my_custom_sampler,9,1461,1.2796878903228452
0,my_custom_sampler,0,1461,0.06432023027537963
0,my_custom_sampler,1,1461,0.2095109167144004
0,my_custom_sampler,2,1461,0.4039377089792275
0,my_custom_sampler,3,1461,0.5458799779019936
0,my_custom_sampler,4,1461,0.5347311574244292
0,my_custom_sampler,5,1461,0.8833819484155303
0,my_custom_sampler,6,1461,0.8023220294669609
0,my_custom_sampler,7,1461,0.7693149816172592
0,my_custom_sampler,8,1461,0.7299263582481683
0,my_custom_sampler,9,1461,0.7746235115304787
1,my_custom_sampler,0,1461,0.07459759856606088
1,my_custom_sampler,1,1461,0.08878974008233163
1,my_custom_sampler,2,1461,0.17191842169125274
1,my_custom_sampler,3,1461,0.2558765975605823
1,my_custom_sampler,4,1461,0.5317752055645691
1,my_custom_sampler,5,1461,0.7495068864777161
1,my_custom_sampler,6,1461,0.8337162804714298
1,my_custom_sampler,7,1461,0.9637245713666271
1,my_custom_sampler,8,1461,1.1472023711883086
1,my_custom_sampler,9,1461,1.2796878903228452
