seed,method,n_iter,dataset,value
0,my_custom_sampler,0,1461,1.0
0,my_custom_sampler,1,1461,1.0
0,my_custom_sampler,2,1461,0.9925925925925926
0,my_custom_sampler,3,1461,1.0
0,my_custom_sampler,4,1461,0.9866666666666667
0,my_custom_sampler,5,1461,0.9777777777777777
0,my_custom_sampler,6,1461,0.9904761904761905
0,my_custom_sampler,7,1461,0.975
0,my_custom_sampler,8,1461,0.9604938271604938
0,my_custom_sampler,9,1461,0.9555555555555556
1,my_custom_sampler,0,1461,1.0
1,my_custom_sampler,1,1461,0.9888888888888889
1,my_custom_sampler,2,1461,0.9925925925925926
1,my_custom_sampler,3,1461,0.9888888888888889
1,my_custom_sampler,4,1461,0.9822222222222222
1,my_custom_sampler,5,1461,0.9703703703703703
1,my_custom_sampler,6,1461,0.9809523809523809
1,my_custom_sampler,7,1461,0.9666666666666667
1,my_custom_sampler,8,1461,0.9555555555555556
1,my_custom_sampler,9,1461,0.9533333333333334
2,my_custom_sampler,0,1461,1.0
2,my_custom_sampler,1,1461,1.0
2,my_custom_sampler,2,1461,1.0
2,my_custom_sampler,3,1461,0.9888888888888889
2,my_custom_sampler,4,1461,0.9822222222222222
2,my_custom_sampler,5,1461,0.9777777777777777
2,my_custom_sampler,6,1461,0.9714285714285714
2,my_custom_sampler,7,1461,0.9777777777777777
2,my_custom_sampler,8,1461,0.9703703703703703
2,my_custom_sampler,9,1461,0.9755555555555555
3,my_custom_sampler,0,1461,1.0
3,my_custom_sampler,1,1461,1.0
3,my_custom_sampler,2,1461,1.0
3,my_custom_sampler,3,1461,0.9888888888888889
3,my_custom_sampler,4,1461,0.9866666666666667
3,my_custom_sampler,5,1461,0.9814814814814815
3,my_custom_sampler,6,1461,0.9809523809523809
3,my_custom_sampler,7,1461,0.9611111111111111
3,my_custom_sampler,8,1461,0.9679012345679012
3,my_custom_sampler,9,1461,0.9666666666666667
4,my_custom_sampler,0,1461,1.0
4,my_custom_sampler,1,1461,1.0
4,my_custom_sampler,2,1461,1.0
4,my_custom_sampler,3,1461,0.9944444444444445
4,my_custom_sampler,4,1461,0.9822222222222222
4,my_custom_sampler,5,1461,0.9925925925925926
4,my_custom_sampler,6,1461,0.9841269841269841
4,my_custom_sampler,7,1461,0.9916666666666667
4,my_custom_sampler,8,1461,0.980246913580247
4,my_custom_sampler,9,1461,0.9733333333333334
5,my_custom_sampler,0,1461,1.0
5,my_custom_sampler,1,1461,1.0
5,my_custom_sampler,2,1461,0.9925925925925926
5,my_custom_sampler,3,1461,0.9888888888888889
5,my_custom_sampler,4,1461,0.9955555555555555
5,my_custom_sampler,5,1461,0.9851851851851852
5,my_custom_sampler,6,1461,0.9904761904761905
5,my_custom_sampler,7,1461,0.9722222222222222
5,my_custom_sampler,8,1461,0.9629629629629629
5,my_custom_sampler,9,1461,0.9555555555555556
6,my_custom_sampler,0,1461,1.0
6,my_custom_sampler,1,1461,1.0
6,my_custom_sampler,2,1461,0.9925925925925926
6,my_custom_sampler,3,1461,0.9888888888888889
6,my_custom_sampler,4,1461,0.9866666666666667
6,my_custom_sampler,5,1461,0.9777777777777777
6,my_custom_sampler,6,1461,0.9873015873015873
6,my_custom_sampler,7,1461,0.95
6,my_custom_sampler,8,1461,0.9407407407407408
6,my_custom_sampler,9,1461,0.9488888888888889
7,my_custom_sampler,0,1461,1.0
7,my_custom_sampler,1,1461,1.0
7,my_custom_sampler,2,1461,0.9925925925925926
7,my_custom_sampler,3,1461,0.9944444444444445
7,my_custom_sampler,4,1461,0.9866666666666667
7,my_custom_sampler,5,1461,0.9777777777777777
7,my_custom_sampler,6,1461,0.9873015873015873
7,my_custom_sampler,7,1461,0.9833333333333333
7,my_custom_sampler,8,1461,0.9728395061728395
7,my_custom_sampler,9,1461,0.9888888888888889
8,my_custom_sampler,0,1461,1.0
8,my_custom_sampler,1,1461,1.0
8,my_custom_sampler,2,1461,1.0
8,my_custom_sampler,3,1461,0.9888888888888889
8,my_custom_sampler,4,1461,0.9822222222222222
8,my_custom_sampler,5,1461,0.9925925925925926
8,my_custom_sampler,6,1461,0.9841269841269841
8,my_custom_sampler,7,1461,0.9833333333333333
8,my_custom_sampler,8,1461,0.9876543209876543
8,my_custom_sampler,9,1461,0.9688888888888889
9,my_custom_sampler,0,1461,1.0
9,my_custom_sampler,1,1461,0.9888888888888889
9,my_custom_sampler,2,1461,0.9851851851851852
9,my_custom_sampler,3,1461,0.9944444444444445
9,my_custom_sampler,4,1461,0.9866666666666667
9,my_custom_sampler,5,1461,0.9777777777777777
9,my_custom_sampler,6,1461,0.9746031746031746
9,my_custom_sampler,7,1461,0.9555555555555556
9,my_custom_sampler,8,1461,0.9580246913580247
9,my_custom_sampler,9,1461,0.9577777777777777
